index,running,waiting,started,step,time,relative_time,broken,timedout,agreement,results,n_negotiators,has_error,error_details,erred_negotiator,erred_agent,threads,last_thread,left_negotiators,current_offer,current_proposer,current_proposer_agent,n_acceptances,new_offers,new_offerer_agents,last_negotiator,current_data,new_data,utilities,max_utils,min_utils,reserved_values,partners,params,run_id,execution_time,negotiator_names,negotiator_ids,negotiator_types,negotiator_times,n_steps,time_limit,shared_n_steps,shared_time_limit,pend,pend_per_second,step_time_limit,negotiator_time_limit,annotation,scenario,mechanism_name,mechanism_type,effective_scenario_name,last_step,last_time,scored_indices,rep,n_repetitions,pareto_optimality,nash_optimality,kalai_optimality,modified_kalai_optimality,max_welfare_optimality,ks_optimality,modified_ks_optimality,__python_class__,fairness
10,False,False,True,42,0.01748825,0.8431372549019608,False,False,"(7, 10, 8, 'standard')",,2,False,,,,{},,[],"[7, 10, 8, 'standard']",GeniusBOABaselineNegotiator@0,,2,"[['GeniusBOABaselineNegotiator@0', [7, 10, 8, 'standard']]]",[None],GeniusBOABaselineNegotiator@0,,"[['GeniusBOABaselineNegotiator@0', None]]","(0.559779077322937, 0.7894736842105263)","[1.0, 1.0]","[0.046783625730994156, 0.09356725146198831]","(0.0007811278057266481, 0.0009639366705748589)","['GeniusBOABaselineNegotiator', 'GeniusBOABaselineNegotiator']",,uDs7yomae3s,0.0176912079914473,"['GeniusBOABaselineNegotiator@0', 'GeniusBOABaselineNegotiator@1']","['GeniusBOABaselineNegotiator@0', 'GeniusBOABaselineNegotiator@1']","['src.negotiators.GeniusBOABaselineNegotiator', 'src.negotiators.GeniusBOABaselineNegotiator']","[0.007120164926163852, 0.007351995795033872]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 1, 'n_repetitions': 2}",S5_F-1,uDs7yomae3s,negmas.sao.mechanism.SAOMechanism,uDs7yomae3s,42,0.01748825,,1,2,0.9573599675039428,0.8625646620321361,0.8625646620321361,0.8474798110912376,0.8921745256681245,0.8474798110912376,0.8474798110912376,negmas.preferences.ops.OutcomeOptimality,0.8625646620321361
11,False,False,True,35,0.040094292,0.7058823529411765,False,False,"(7, 10, 1, 'premium')",,2,False,,,,{},,[],"[7, 10, 1, 'premium']",BoulwareTBNegotiator@0,,2,"[['BoulwareTBNegotiator@0', [7, 10, 1, 'premium']]]",[None],BoulwareTBNegotiator@0,,"[['BoulwareTBNegotiator@0', None]]","(0.7994924177520258, 0.3667966211825861)","[1.0, 1.0]","[0.09356725146198831, 0.046783625730994156]","(0.0009639366705748589, 0.0007811278057266481)","['BoulwareTBNegotiator', 'LinearTBNegotiator']",,8dY7nYLZ_Gs,0.04031554103130475,"['BoulwareTBNegotiator@0', 'LinearTBNegotiator@1']","['BoulwareTBNegotiator@0', 'LinearTBNegotiator@1']","['negmas.gb.negotiators.timebased.BoulwareTBNegotiator', 'negmas.gb.negotiators.timebased.LinearTBNegotiator']","[0.017828290234319866, 0.019715995877049863]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 1, 'n_repetitions': 2}",S5_F,8dY7nYLZ_Gs,negmas.sao.mechanism.SAOMechanism,8dY7nYLZ_Gs,35,0.040094292,,1,2,0.9391382745772429,0.7157177189149243,0.7157177189149243,0.701145103828247,0.7711923219788893,0.701145103828247,0.701145103828247,negmas.preferences.ops.OutcomeOptimality,0.7157177189149243
12,False,False,True,31,0.036386334,0.6274509803921569,False,False,"(9, 9, 9, 'basic')",,2,False,,,,{},,[],"[9, 9, 9, 'basic']",BoulwareTBNegotiator@0,,2,"[['BoulwareTBNegotiator@0', [9, 9, 9, 'basic']]]",[None],BoulwareTBNegotiator@0,,"[['BoulwareTBNegotiator@0', None]]","(0.8700454840805718, 0.48862897985705)","[1.0, 1.0]","[0.046783625730994156, 0.09356725146198831]","(0.0007811278057266481, 0.0009639366705748589)","['BoulwareTBNegotiator', 'LinearTBNegotiator']",,FTARFwC_WOg,0.03660433297045529,"['BoulwareTBNegotiator@0', 'LinearTBNegotiator@1']","['BoulwareTBNegotiator@0', 'LinearTBNegotiator@1']","['negmas.gb.negotiators.timebased.BoulwareTBNegotiator', 'negmas.gb.negotiators.timebased.LinearTBNegotiator']","[0.016196758078876883, 0.01792345999274403]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 0, 'n_repetitions': 2}",S5_F-1,FTARFwC_WOg,negmas.sao.mechanism.SAOMechanism,FTARFwC_WOg,31,0.036386334,,0,2,1.0,0.7625130806021299,0.7625130806021299,0.7805360810361862,0.8984044946650847,0.7805360810361862,0.7805360810361862,negmas.preferences.ops.OutcomeOptimality,0.7805360810361862
13,False,False,True,36,0.029477167,0.7254901960784313,False,False,"(7, 10, 4, 'premium')",,2,False,,,,{},,[],"[7, 10, 4, 'premium']",GeniusBOABaselineNegotiator@0,,2,"[['GeniusBOABaselineNegotiator@0', [7, 10, 4, 'premium']]]",[None],GeniusBOABaselineNegotiator@0,,"[['GeniusBOABaselineNegotiator@0', None]]","(0.7735117533991136, 0.4194282001299545)","[1.0, 1.0]","[0.09356725146198831, 0.046783625730994156]","(0.0009639366705748589, 0.0007811278057266481)","['GeniusBOABaselineNegotiator', 'LinearTBNegotiator']",,_F2egaXY-To,0.029749416979029775,"['GeniusBOABaselineNegotiator@0', 'LinearTBNegotiator@1']","['GeniusBOABaselineNegotiator@0', 'LinearTBNegotiator@1']","['src.negotiators.GeniusBOABaselineNegotiator', 'negmas.gb.negotiators.timebased.LinearTBNegotiator']","[0.007238119316753, 0.019615081837400794]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 0, 'n_repetitions': 2}",S5_F,_F2egaXY-To,negmas.sao.mechanism.SAOMechanism,_F2egaXY-To,36,0.029477167,,0,2,0.9278759254536693,0.7564675455445156,0.7564675455445156,0.7427200277162486,0.7888148666679268,0.7427200277162486,0.7427200277162486,negmas.preferences.ops.OutcomeOptimality,0.7564675455445156
14,False,False,True,43,0.030564541,0.8627450980392157,False,False,"(9, 10, 1, 'basic')",,2,False,,,,{},,[],"[9, 10, 1, 'basic']",BoulwareTBNegotiator@0,,2,"[['BoulwareTBNegotiator@0', [9, 10, 1, 'basic']]]",[None],BoulwareTBNegotiator@0,,"[['BoulwareTBNegotiator@0', None]]","(0.503182396799418, 0.5465949820788529)","[0.9999999999999999, 0.9999999999999999]","[0.016366612111292964, 0.0]","(0.0007574209704742231, 0.0010624744725208587)","['BoulwareTBNegotiator', 'GeniusBOABaselineNegotiator']",,0I4elsPGZ-w,0.030818125000223517,"['BoulwareTBNegotiator@0', 'GeniusBOABaselineNegotiator@1']","['BoulwareTBNegotiator@0', 'GeniusBOABaselineNegotiator@1']","['negmas.gb.negotiators.timebased.BoulwareTBNegotiator', 'src.negotiators.GeniusBOABaselineNegotiator']","[0.02030146081233397, 0.007131743477657437]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 0, 'n_repetitions': 2}",S3_E-1,0I4elsPGZ-w,negmas.sao.mechanism.SAOMechanism,0I4elsPGZ-w,43,0.030564541,,0,2,0.9210437943802361,0.9101795645181664,0.9126584534033798,0.9210437943802361,0.8546350332788867,0.9210437943802361,0.9210437943802361,negmas.preferences.ops.OutcomeOptimality,0.9210437943802361
15,False,False,True,32,0.027630083,0.6470588235294118,False,False,"(9, 10, 9, 'basic')",,2,False,,,,{},,[],"[9, 10, 9, 'basic']",GeniusBOABaselineNegotiator@1,,2,[],"[None, None]",GeniusBOABaselineNegotiator@1,,[],"(0.5935672514619883, 0.868421052631579)","[1.0, 1.0]","[0.09356725146198831, 0.046783625730994156]","(0.0008771261662935939, 0.0007442816259952948)","['LinearTBNegotiator', 'GeniusBOABaselineNegotiator']",,sD6buU6oUuY,0.02784504200099036,"['LinearTBNegotiator@0', 'GeniusBOABaselineNegotiator@1']","['LinearTBNegotiator@0', 'GeniusBOABaselineNegotiator@1']","['negmas.gb.negotiators.timebased.LinearTBNegotiator', 'src.negotiators.GeniusBOABaselineNegotiator']","[0.018273250898346305, 0.006994331837631762]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 0, 'n_repetitions': 2}",S0_F,sD6buU6oUuY,negmas.sao.mechanism.SAOMechanism,sD6buU6oUuY,32,0.027630083,,0,2,1.0,0.8324241332371594,0.8324241332371594,0.8513976513554027,0.9667193271145101,0.8513976513554027,0.8513976513554027,negmas.preferences.ops.OutcomeOptimality,0.8513976513554027
16,False,False,True,31,0.033611,0.6274509803921569,False,False,"(9, 3, 5, 'basic')",,2,False,,,,{},,[],"[9, 3, 5, 'basic']",SmartAspirationNegotiator@0,,2,"[['SmartAspirationNegotiator@0', [9, 3, 5, 'basic']]]",[None],SmartAspirationNegotiator@0,,"[['SmartAspirationNegotiator@0', None]]","(0.8778427550357375, 0.2059779077322937)","[1.0, 1.0]","[0.046783625730994156, 0.09356725146198831]","(0.0007442816259952948, 0.0008771261662935939)","['SmartAspirationNegotiator', 'ConcederTBNegotiator']",,kSxuA2xXjZk,0.03982341702794656,"['SmartAspirationNegotiator@0', 'ConcederTBNegotiator@1']","['SmartAspirationNegotiator@0', 'ConcederTBNegotiator@1']","['src.negotiators.SmartAspirationNegotiator', 'negmas.gb.negotiators.timebased.ConcederTBNegotiator']","[0.013917250675149262, 0.023326117603573948]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 0, 'n_repetitions': 2}",S0_F-1,kSxuA2xXjZk,negmas.sao.mechanism.SAOMechanism,kSxuA2xXjZk,31,0.033611,,0,2,0.977991611797476,0.5566644835268639,0.5566644835268639,0.5731311073045606,0.7166612611675568,0.5731311073045606,0.5731311073045606,negmas.preferences.ops.OutcomeOptimality,0.5731311073045606
17,False,False,True,37,0.032663,0.7450980392156863,False,False,"(4, 10, 4, 'basic')",,2,False,,,,{},,[],"[4, 10, 4, 'basic']",SmartAspirationNegotiator@1,,2,[],"[None, None]",SmartAspirationNegotiator@1,,[],"(0.3794671864847304, 0.7793597066154879)","[1.0, 1.0]","[0.046783625730994156, 0.09356725146198831]","(0.0007442816259952948, 0.0008771261662935939)","['LinearTBNegotiator', 'SmartAspirationNegotiator']",,PIqG1l33nLY,0.038693167036399245,"['LinearTBNegotiator@0', 'SmartAspirationNegotiator@1']","['LinearTBNegotiator@0', 'SmartAspirationNegotiator@1']","['negmas.gb.negotiators.timebased.LinearTBNegotiator', 'src.negotiators.SmartAspirationNegotiator']","[0.02099807793274522, 0.014610570622608066]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 0, 'n_repetitions': 2}",S0_F-1,PIqG1l33nLY,negmas.sao.mechanism.SAOMechanism,PIqG1l33nLY,37,0.032663,,0,2,0.9239956174677784,0.7260400905445881,0.7260400905445881,0.7121247880259337,0.7662580823685883,0.7121247880259337,0.7121247880259337,negmas.preferences.ops.OutcomeOptimality,0.7260400905445881
18,False,False,True,32,0.033528875,0.6470588235294118,False,False,"(9, 10, 9, 'basic')",,2,False,,,,{},,[],"[9, 10, 9, 'basic']",GeniusBOABaselineNegotiator@1,,2,[],"[None, None]",GeniusBOABaselineNegotiator@1,,[],"(0.5935672514619883, 0.868421052631579)","[1.0, 1.0]","[0.09356725146198831, 0.046783625730994156]","(0.0008771261662935939, 0.0007442816259952948)","['ConcederTBNegotiator', 'GeniusBOABaselineNegotiator']",,SBwod-OyZh8,0.033820124983321875,"['ConcederTBNegotiator@0', 'GeniusBOABaselineNegotiator@1']","['ConcederTBNegotiator@0', 'GeniusBOABaselineNegotiator@1']","['negmas.gb.negotiators.timebased.ConcederTBNegotiator', 'src.negotiators.GeniusBOABaselineNegotiator']","[0.024143914924934506, 0.007062828924972564]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 0, 'n_repetitions': 2}",S0_F,SBwod-OyZh8,negmas.sao.mechanism.SAOMechanism,SBwod-OyZh8,32,0.033528875,,0,2,1.0,0.8324241332371594,0.8324241332371594,0.8513976513554027,0.9667193271145101,0.8513976513554027,0.8513976513554027,negmas.preferences.ops.OutcomeOptimality,0.8513976513554027
19,False,False,True,37,0.029896208,0.7450980392156863,False,False,"(9, 10, 8, 'standard')",,2,False,,,,{},,[],"[9, 10, 8, 'standard']",SmartAspirationNegotiator@0,,2,"[['SmartAspirationNegotiator@0', [9, 10, 8, 'standard']]]",[None],SmartAspirationNegotiator@0,,"[['SmartAspirationNegotiator@0', None]]","(0.7543859649122808, 0.7573099415204678)","[1.0, 1.0]","[0.09356725146198831, 0.046783625730994156]","(0.0008771261662935939, 0.0007442816259952948)","['SmartAspirationNegotiator', 'BoulwareTBNegotiator']",,_F3qO16198E,0.035778332967311144,"['SmartAspirationNegotiator@0', 'BoulwareTBNegotiator@1']","['SmartAspirationNegotiator@0', 'BoulwareTBNegotiator@1']","['src.negotiators.SmartAspirationNegotiator', 'negmas.gb.negotiators.timebased.BoulwareTBNegotiator']","[0.01466158585390076, 0.01819457398960367]",50,inf,50,inf,0.0,0.0,inf,inf,"{'rep': 0, 'n_repetitions': 2}",S0_F,_F3qO16198E,negmas.sao.mechanism.SAOMechanism,_F3qO16198E,37,0.029896208,,0,2,1.0,0.9807999989329749,0.9807999989329749,1.0,0.9995877842364035,1.0,1.0,negmas.preferences.ops.OutcomeOptimality,1.0
