index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,ks_optimality,max_welfare_optimality,pareto_optimality,fairness,modified_kalai_optimality,modified_ks_optimality
18,BoulwareTBNegotiator,0.7725532264198727,0.0009639366705748589,0.7723337705926955,0.7397660818713451,0.7561596541456088,S5_F,SmartAspirationNegotiator,0.018715874291956425,BoulwareTBNegotiator@0,False,False,False,,61nSkhkGALA,1.0,1.0,0.9807999989329749,1.0,1.0,1.0,0.9807999989329749,0.9807999989329749
19,SmartAspirationNegotiator,0.7397660818713451,0.0007811278057266481,0.7395626470132772,0.7725532264198727,0.7561596541456088,S5_F,BoulwareTBNegotiator,0.01369778928346932,SmartAspirationNegotiator@1,False,False,False,,61nSkhkGALA,1.0,1.0,0.9807999989329749,1.0,1.0,1.0,0.9807999989329749,0.9807999989329749
20,GeniusBOABaselineNegotiator,0.559779077322937,0.0007811278057266481,0.5594349397041082,0.7894736842105263,0.6746263807667316,S5_F-1,GeniusBOABaselineNegotiator,0.007120164926163852,GeniusBOABaselineNegotiator@0,False,False,False,,uDs7yomae3s,0.8625646620321361,0.8625646620321361,0.8474798110912376,0.8921745256681245,0.9573599675039428,0.8625646620321361,0.8474798110912376,0.8474798110912376
21,GeniusBOABaselineNegotiator,0.7894736842105263,0.0009639366705748589,0.789270554370314,0.559779077322937,0.6746263807667316,S5_F-1,GeniusBOABaselineNegotiator,0.007351995795033872,GeniusBOABaselineNegotiator@1,False,False,False,,uDs7yomae3s,0.8625646620321361,0.8625646620321361,0.8474798110912376,0.8921745256681245,0.9573599675039428,0.8625646620321361,0.8474798110912376,0.8474798110912376
22,BoulwareTBNegotiator,0.7994924177520258,0.0009639366705748589,0.7992989546545947,0.3667966211825861,0.5831445194673059,S5_F,LinearTBNegotiator,0.017828290234319866,BoulwareTBNegotiator@0,False,False,False,,8dY7nYLZ_Gs,0.7157177189149243,0.7157177189149243,0.701145103828247,0.7711923219788893,0.9391382745772429,0.7157177189149243,0.701145103828247,0.701145103828247
23,LinearTBNegotiator,0.3667966211825861,0.0007811278057266481,0.36630162175889813,0.7994924177520258,0.5831445194673059,S5_F,BoulwareTBNegotiator,0.019715995877049863,LinearTBNegotiator@1,False,False,False,,8dY7nYLZ_Gs,0.7157177189149243,0.7157177189149243,0.701145103828247,0.7711923219788893,0.9391382745772429,0.7157177189149243,0.701145103828247,0.701145103828247
24,BoulwareTBNegotiator,0.8700454840805718,0.0007811278057266481,0.8699438936395891,0.48862897985705,0.6793372319688109,S5_F-1,LinearTBNegotiator,0.016196758078876883,BoulwareTBNegotiator@0,False,False,False,,FTARFwC_WOg,0.7625130806021299,0.7625130806021299,0.7805360810361862,0.8984044946650847,1.0,0.7805360810361862,0.7805360810361862,0.7805360810361862
25,LinearTBNegotiator,0.48862897985705,0.0009639366705748589,0.48813557496739834,0.8700454840805718,0.6793372319688109,S5_F-1,BoulwareTBNegotiator,0.01792345999274403,LinearTBNegotiator@1,False,False,False,,FTARFwC_WOg,0.7625130806021299,0.7625130806021299,0.7805360810361862,0.8984044946650847,1.0,0.7805360810361862,0.7805360810361862,0.7805360810361862
26,GeniusBOABaselineNegotiator,0.7735117533991136,0.0009639366705748589,0.773293222422739,0.4194282001299545,0.5964699767645341,S5_F,LinearTBNegotiator,0.007238119316753,GeniusBOABaselineNegotiator@0,False,False,False,,_F2egaXY-To,0.7564675455445156,0.7564675455445156,0.7427200277162486,0.7888148666679268,0.9278759254536693,0.7564675455445156,0.7427200277162486,0.7427200277162486
27,LinearTBNegotiator,0.4194282001299545,0.0007811278057266481,0.4189743448348645,0.7735117533991136,0.5964699767645341,S5_F,GeniusBOABaselineNegotiator,0.019615081837400794,LinearTBNegotiator@1,False,False,False,,_F2egaXY-To,0.7564675455445156,0.7564675455445156,0.7427200277162486,0.7888148666679268,0.9278759254536693,0.7564675455445156,0.7427200277162486,0.7427200277162486
