run_id,seed,profile_id,n_steps,n_agents,agreement,agreement_outcome,rounds,u_buyer,u_supplier_avg,u_supplier_min,u_supplier_max,welfare,min_utility,utility_range,pareto_distance,money_left_on_table,welfare_regret,nash_gap,strategy_buyer,strategy_supplier_1,u_supplier_1,strategy_supplier_2,u_supplier_2
20,0,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,LinearTBNegotiator,0.6075290952567117
21,1,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,LinearTBNegotiator,0.6075290952567117
22,2,M1,20,3,0,,9,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,LinearTBNegotiator,0.0009692888480767269
23,3,M1,20,3,0,,15,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,LinearTBNegotiator,0.0009692888480767269
24,4,M1,20,3,0,,9,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,LinearTBNegotiator,0.0009692888480767269
25,5,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,LinearTBNegotiator,0.6075290952567117
26,6,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,LinearTBNegotiator,0.6075290952567117
27,7,M1,20,3,0,,6,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,LinearTBNegotiator,0.0009692888480767269
28,8,M1,20,3,0,,7,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,LinearTBNegotiator,0.0009692888480767269
29,9,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,LinearTBNegotiator,0.6075290952567117
