run_id,seed,profile_id,n_steps,n_agents,agreement,agreement_outcome,rounds,u_buyer,u_supplier_avg,u_supplier_min,u_supplier_max,welfare,min_utility,utility_range,pareto_distance,money_left_on_table,welfare_regret,nash_gap,strategy_buyer,strategy_supplier_1,u_supplier_1,strategy_supplier_2,u_supplier_2
40,0,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,ConcederTBNegotiator,0.6075290952567117
41,1,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,ConcederTBNegotiator,0.6075290952567117
42,2,M1,20,3,0,,9,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,ConcederTBNegotiator,0.0009692888480767269
43,3,M1,20,3,0,,15,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,ConcederTBNegotiator,0.0009692888480767269
44,4,M1,20,3,0,,9,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,ConcederTBNegotiator,0.0009692888480767269
45,5,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,ConcederTBNegotiator,0.6075290952567117
46,6,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,ConcederTBNegotiator,0.6075290952567117
47,7,M1,20,3,0,,6,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,ConcederTBNegotiator,0.0009692888480767269
48,8,M1,20,3,0,,7,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,ConcederTBNegotiator,0.0009692888480767269
49,9,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,ConcederTBNegotiator,0.6075290952567117
50,10,M1,20,3,0,,2,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,ConcederTBNegotiator,0.0009692888480767269
51,11,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,ConcederTBNegotiator,0.6075290952567117
52,12,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,ConcederTBNegotiator,0.6075290952567117
53,13,M1,20,3,0,,9,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,ConcederTBNegotiator,0.0009692888480767269
54,14,M1,20,3,0,,1,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,ConcederTBNegotiator,0.0009692888480767269
55,15,M1,20,3,0,,16,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,ConcederTBNegotiator,0.0009692888480767269
56,16,M1,20,3,0,,0,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,ConcederTBNegotiator,0.0009692888480767269
57,17,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,ConcederTBNegotiator,0.6075290952567117
58,18,M1,20,3,1,"[5, 5, ""standard"", ""premium""]",17,0.624074074074074,0.6688566929137378,0.6075290952567117,0.7301842905707638,1.9617874599015495,0.6075290952567117,0.12265519531405211,0.08248080929573616,0.2986282918185501,0.13211210884161648,0.2986282918185501,BoulwareTBNegotiator,BoulwareTBNegotiator,0.7301842905707638,ConcederTBNegotiator,0.6075290952567117
59,19,M1,20,3,0,,2,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,ConcederTBNegotiator,0.0009692888480767269
60,0,M1,20,3,1,"[8, 9, ""standard"", ""premium""]",17,0.5727938108612989,0.8100106663379476,0.7540345729693289,0.8659867597065662,2.192815143537194,0.5727938108612989,0.29319294884526736,0.0,0.06760060818290548,0.029906271946416808,0.06760060818290548,BoulwareTBNegotiator,BoulwareTBNegotiator,0.8659867597065662,SmartAspirationNegotiator,0.7540345729693289
61,1,M1,20,3,1,"[8, 9, ""standard"", ""premium""]",17,0.5727938108612989,0.8100106663379476,0.7540345729693289,0.8659867597065662,2.192815143537194,0.5727938108612989,0.29319294884526736,0.0,0.06760060818290548,0.029906271946416808,0.06760060818290548,BoulwareTBNegotiator,BoulwareTBNegotiator,0.8659867597065662,SmartAspirationNegotiator,0.7540345729693289
62,2,M1,20,3,0,,9,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,SmartAspirationNegotiator,0.0009692888480767269
63,3,M1,20,3,0,,15,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,SmartAspirationNegotiator,0.0009692888480767269
64,4,M1,20,3,0,,9,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,SmartAspirationNegotiator,0.0009692888480767269
65,5,M1,20,3,1,"[8, 9, ""standard"", ""premium""]",17,0.5727938108612989,0.8100106663379476,0.7540345729693289,0.8659867597065662,2.192815143537194,0.5727938108612989,0.29319294884526736,0.0,0.06760060818290548,0.029906271946416808,0.06760060818290548,BoulwareTBNegotiator,BoulwareTBNegotiator,0.8659867597065662,SmartAspirationNegotiator,0.7540345729693289
66,6,M1,20,3,1,"[8, 9, ""standard"", ""premium""]",17,0.5727938108612989,0.8100106663379476,0.7540345729693289,0.8659867597065662,2.192815143537194,0.5727938108612989,0.29319294884526736,0.0,0.06760060818290548,0.029906271946416808,0.06760060818290548,BoulwareTBNegotiator,BoulwareTBNegotiator,0.8659867597065662,SmartAspirationNegotiator,0.7540345729693289
67,7,M1,20,3,0,,6,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,SmartAspirationNegotiator,0.0009692888480767269
68,8,M1,20,3,0,,7,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,SmartAspirationNegotiator,0.0009692888480767269
69,9,M1,20,3,1,"[8, 9, ""standard"", ""premium""]",17,0.5727938108612989,0.8100106663379476,0.7540345729693289,0.8659867597065662,2.192815143537194,0.5727938108612989,0.29319294884526736,0.0,0.06760060818290548,0.029906271946416808,0.06760060818290548,BoulwareTBNegotiator,BoulwareTBNegotiator,0.8659867597065662,SmartAspirationNegotiator,0.7540345729693289
70,10,M1,20,3,0,,2,0.0010802469135802468,0.0008930553554486647,0.0008168218628206024,0.0009692888480767269,0.0028663576244775764,0.0008168218628206024,0.0002634250507596444,1.029831537625471,2.257549394095622,0.9987319334408741,2.257549394095622,BoulwareTBNegotiator,BoulwareTBNegotiator,0.0008168218628206024,SmartAspirationNegotiator,0.0009692888480767269
71,11,M1,20,3,1,"[8, 9, ""standard"", ""premium""]",17,0.5727938108612989,0.8100106663379476,0.7540345729693289,0.8659867597065662,2.192815143537194,0.5727938108612989,0.29319294884526736,0.0,0.06760060818290548,0.029906271946416808,0.06760060818290548,BoulwareTBNegotiator,BoulwareTBNegotiator,0.8659867597065662,SmartAspirationNegotiator,0.7540345729693289
