profile_id,n_steps,strategy_buyer,strategy_supplier_1,strategy_supplier_2,agreement_mean,agreement_std,agreement_count,rounds_mean,rounds_std,rounds_count,u_buyer_mean,u_buyer_std,u_buyer_count,u_supplier_avg_mean,u_supplier_avg_std,u_supplier_avg_count,u_supplier_min_mean,u_supplier_min_std,u_supplier_min_count,u_supplier_max_mean,u_supplier_max_std,u_supplier_max_count,welfare_mean,welfare_std,welfare_count,min_utility_mean,min_utility_std,min_utility_count,utility_range_mean,utility_range_std,utility_range_count,pareto_distance_mean,pareto_distance_std,pareto_distance_count,money_left_on_table_mean,money_left_on_table_std,money_left_on_table_count,welfare_regret_mean,welfare_regret_std,welfare_regret_count,nash_gap_mean,nash_gap_std,nash_gap_count,agreement_ci95,rounds_ci95,u_buyer_ci95,u_supplier_avg_ci95,u_supplier_min_ci95,u_supplier_max_ci95,welfare_ci95,min_utility_ci95,utility_range_ci95,pareto_distance_ci95,money_left_on_table_ci95,welfare_regret_ci95,nash_gap_ci95,agreement_boot_ci_low,agreement_boot_ci_high,rounds_boot_ci_low,rounds_boot_ci_high,u_buyer_boot_ci_low,u_buyer_boot_ci_high,u_supplier_avg_boot_ci_low,u_supplier_avg_boot_ci_high,u_supplier_min_boot_ci_low,u_supplier_min_boot_ci_high,u_supplier_max_boot_ci_low,u_supplier_max_boot_ci_high,welfare_boot_ci_low,welfare_boot_ci_high,min_utility_boot_ci_low,min_utility_boot_ci_high,utility_range_boot_ci_low,utility_range_boot_ci_high,pareto_distance_boot_ci_low,pareto_distance_boot_ci_high,money_left_on_table_boot_ci_low,money_left_on_table_boot_ci_high,welfare_regret_boot_ci_low,welfare_regret_boot_ci_high,nash_gap_boot_ci_low,nash_gap_boot_ci_high
M1,20,BoulwareTBNegotiator,BoulwareTBNegotiator,BoulwareTBNegotiator,0.45,0.5104177855340404,20,11.45,6.476475649773205,20,0.2583513506900536,0.2918127712699685,20,0.3649959802975732,0.41298801923428025,20,0.3397648098607493,0.38445573654471393,20,0.390227150734397,0.4415203019238465,20,0.9883433112852,1.1177888097385291,20,0.25820646691213583,0.2919472281010315,20,0.13208171075828812,0.14951643885273364,20,0.5664073456940091,0.5256443329079087,20,1.2720724404348995,1.1177888097385291,20,0.5627603857683683,0.49450584870855274,20,1.2720724404348995,1.1177888097385291,20,0.22370045761428853,2.8384406022729407,0.12789258587940044,0.18099997984056487,0.16849515560573117,0.19350480407539855,0.48989254556053025,0.1279515141838025,0.06552846852156699,0.23037378623244423,0.48989254556053025,0.21672674382477589,0.48989254556053025,0.25,0.65,8.75,14.201249999999998,0.14400863790050988,0.3734087054345313,0.20317245810107337,0.526819502494073,0.18912125963944765,0.4904083600820511,0.21722365656269904,0.5643119167446671,0.5503535541026565,1.4263330684677435,0.14381106911244013,0.37260186471183154,0.07349580599938657,0.19103377742193253,0.3604410381689148,0.7723736532191032,0.7245852439567205,1.710062197617443,0.36899525346947687,0.7565255180672598,0.8340826832523561,1.710062197617443
M1,20,BoulwareTBNegotiator,BoulwareTBNegotiator,ConcederTBNegotiator,0.45,0.5104177855340404,20,11.45,6.476475649773205,20,0.2814274691358024,0.3179871296606359,20,0.30147669225667884,0.3409405206997644,20,0.2738373448900716,0.30967673504203325,20,0.3291160396232859,0.3722043063574954,20,0.8843808536491599,0.9998681710601646,20,0.2738373448900716,0.30967673504203325,20,0.05533972166924126,0.062470936345380756,20,0.6035237098770903,0.4835446608781236,20,1.3760348980709396,0.9998681710601646,20,0.6087530123712082,0.4423381717718516,20,1.3760348980709396,0.9998681710601646,20,0.22370045761428853,2.8384406022729407,0.1393640042266794,0.14942377139149407,0.13572181319841878,0.1631257295845693,0.4382115470096675,0.13572181319841878,0.02737909501612139,0.21192279144859122,0.4382115470096675,0.19386325134046836,0.4382115470096675,0.25,0.65,8.69875,14.15,0.15682870370370366,0.4060262345679012,0.16788396474502096,0.43506941976833674,0.15249489021129334,0.4255154132385443,0.18327303927874844,0.4749590399678234,0.4925966331937454,1.2761650741045745,0.12215927654159883,0.39593818991059154,0.03086136761658275,0.07981807572189975,0.41286937580073224,0.7929938555430374,0.9842506776155251,1.7678191185263539,0.4354290474513566,0.7820769772910596,0.8863046225016717,1.7678191185263539
M1,20,BoulwareTBNegotiator,BoulwareTBNegotiator,GeniusBOABaselineNegotiator,0.45,0.5104177855340404,20,11.9,6.889351050333903,20,0.3505941358024692,0.3964402337334607,20,0.28369787737060925,0.32077469109183715,20,0.27265974732405157,0.30834103117114825,20,0.2947360074171668,0.3332083510125258,20,0.9179898905436875,1.037989615917135,20,0.27265974732405157,0.30834103117114825,20,0.07793438847841758,0.08809920256231243,20,0.5664073456940091,0.5256443329079087,20,1.342425861176412,1.037989615917135,20,0.5938844923350368,0.45920296526303184,20,1.342425861176412,1.037989615917135,20,0.22370045761428853,3.0193912248036114,0.17374759308220897,0.14058570688959743,0.1351364151664095,0.14603499861278524,0.4549190068614038,0.1351364151664095,0.03861117791579943,0.23037378623244423,0.4549190068614038,0.20125457297633229,0.4549190068614038,0.25,0.65,9.19875,14.75,0.19525462962962964,0.5059336419753089,0.1572212764138298,0.4101744783273886,0.15108555010389058,0.4236835948025132,0.16417302138646006,0.4252989934478736,0.5112683203573718,1.3247114607300028,0.15108555010389058,0.39347882530682093,0.043413960288347375,0.1124548166684878,0.3604410381689148,0.7723736532191032,0.8340238984435178,1.7491474313627275,0.41395229628799807,0.7738166883820756,0.9357042909900967,1.7491474313627275
M1,20,BoulwareTBNegotiator,BoulwareTBNegotiator,LinearTBNegotiator,0.45,0.5104177855340404,20,11.45,6.476475649773205,20,0.2814274691358024,0.3179871296606359,20,0.30147669225667884,0.3409405206997644,20,0.2738373448900716,0.30967673504203325,20,0.3291160396232859,0.3722043063574954,20,0.8843808536491599,0.9998681710601646,20,0.2738373448900716,0.30967673504203325,20,0.05533972166924126,0.062470936345380756,20,0.6035237098770903,0.4835446608781236,20,1.3760348980709396,0.9998681710601646,20,0.6087530123712082,0.4423381717718516,20,1.3760348980709396,0.9998681710601646,20,0.22370045761428853,2.8384406022729407,0.1393640042266794,0.14942377139149407,0.13572181319841878,0.1631257295845693,0.4382115470096675,0.13572181319841878,0.02737909501612139,0.21192279144859122,0.4382115470096675,0.19386325134046836,0.4382115470096675,0.25,0.65,8.5,14.2,0.15682870370370366,0.4060262345679013,0.16788396474502096,0.43506941976833674,0.15173649986955168,0.39517979956884985,0.18327303927874844,0.4749590399678233,0.394650578079892,1.2761650741045745,0.15249489021129334,0.39517979956884985,0.03086136761658275,0.07981807572189974,0.4140535642111434,0.8403613919595239,0.9842506776155251,1.7678191185263539,0.4354290474513566,0.7820769772910596,0.981802026237681,1.7678191185263539
M1,20,BoulwareTBNegotiator,BoulwareTBNegotiator,SmartAspirationNegotiator,0.45,0.5104177855340404,20,11.45,6.476475649773205,20,0.2583513506900536,0.2918127712699685,20,0.3649959802975732,0.41298801923428025,20,0.3397648098607493,0.38445573654471393,20,0.390227150734397,0.4415203019238465,20,0.9883433112852,1.1177888097385291,20,0.25820646691213583,0.2919472281010315,20,0.13208171075828812,0.14951643885273364,20,0.5664073456940091,0.5256443329079087,20,1.2720724404348995,1.1177888097385291,20,0.5627603857683683,0.49450584870855274,20,1.2720724404348995,1.1177888097385291,20,0.22370045761428853,2.8384406022729407,0.12789258587940044,0.18099997984056487,0.16849515560573117,0.19350480407539855,0.48989254556053025,0.1279515141838025,0.06552846852156699,0.23037378623244423,0.48989254556053025,0.21672674382477589,0.48989254556053025,0.25,0.65,8.6,14.1,0.14400863790050988,0.3726940634795973,0.20317245810107343,0.526819502494073,0.18912125963944765,0.4904083600820511,0.2172236565626991,0.5632306449060949,0.5503535541026565,1.4263330684677435,0.14381106911244013,0.37260186471183154,0.07349580599938657,0.19066761551718972,0.3604410381689148,0.8238652301003768,0.7245852439567204,1.710062197617443,0.36899525346947687,0.7565255180672598,0.8340826832523561,1.710062197617443
M1,20,BoulwareTBNegotiator,ConcederTBNegotiator,BoulwareTBNegotiator,0.5,0.512989176042577,20,11.0,6.078434701553735,20,0.33219225413412257,0.33971375152373967,20,0.3077748549620978,0.31485408304535634,20,0.27174496487665983,0.27796640970282976,20,0.3438047450475356,0.3517417563878828,20,0.947741964058318,0.9694219176144523,20,0.27174496487665983,0.27796640970282976,20,0.07211525920362757,0.07371842639845523,20,0.5418839014049512,0.500623711713375,20,1.3126737876617816,0.9694219176144523,20,0.5807222793695723,0.42886885603975955,20,1.3126737876617816,0.9694219176144523,20,0.2248274191931505,2.663991465135688,0.1488861160945167,0.13799088600582501,0.12182415036118856,0.15415762165046146,0.4248678881061667,0.12182415036118856,0.03230852487376713,0.2194080155057154,0.4248678881061667,0.1879600634453448,0.4248678881061667,0.3,0.7,8.25,13.601249999999999,0.19974745124590565,0.49774825774439374,0.18502213511943813,0.4305275748047574,0.16337370767112408,0.38011622208219553,0.20667056256775201,0.4809389275273193,0.5697917214847817,1.3256922066318544,0.16337370767112408,0.38011622208219553,0.043194895957098384,0.10085599286477473,0.3467048469167432,0.737062955893159,0.9347235450882451,1.7851115908787016,0.41351841774105164,0.7479261409980931,0.9347235450882451,1.6906240302353175
M1,20,BoulwareTBNegotiator,ConcederTBNegotiator,ConcederTBNegotiator,0.8,0.4103913408340616,20,4.25,1.5852942612451615,20,0.8002160493827161,0.4099480168547656,20,0.33532719839359004,0.17156109547764153,20,0.2762576404668402,0.14129815858416894,20,0.39439675632033994,0.20182403237111407,20,1.4708704461698963,0.7530702078100486,20,0.2762576404668402,0.14129815858416894,20,0.5239584089158759,0.2686498582705966,20,0.2059663075250942,0.42263394555932043,20,0.7895453055502033,0.7530702078100486,20,0.3492920737919058,0.3331556184905311,20,0.7895453055502033,0.7530702078100486,20,0.17986193535452039,0.6947858435669603,0.17966764005398314,0.07518996526933829,0.06192664838719045,0.0884532821514861,0.3300475705926597,0.06192664838719045,0.11774099166679267,0.18522749344643882,0.3300475705926597,0.14601188756603942,0.3300475705926597,0.6,0.95,3.5,4.85,0.650378086419753,0.9500540123456791,0.2720982432254419,0.3980336002132415,0.2073974358158353,0.3279027939550939,0.2960398894522741,0.46816440647138924,1.1038694240335416,1.7461212127721624,0.2073974358158353,0.32790279395509386,0.39303466294959677,0.6221512183905853,0.05149157688127355,0.4119326150501884,0.5142945389479374,1.156546327686558,0.22752210010772428,0.5116520387041479,0.5142945389479374,1.156546327686558
M1,20,BoulwareTBNegotiator,ConcederTBNegotiator,GeniusBOABaselineNegotiator,0.5,0.512989176042577,20,11.0,6.078434701553735,20,0.33219225413412257,0.33971375152373967,20,0.3077748549620978,0.31485408304535634,20,0.27174496487665983,0.27796640970282976,20,0.3438047450475356,0.3517417563878828,20,0.947741964058318,0.9694219176144523,20,0.27174496487665983,0.27796640970282976,20,0.07211525920362757,0.07371842639845523,20,0.5418839014049512,0.500623711713375,20,1.3126737876617816,0.9694219176144523,20,0.5807222793695723,0.42886885603975955,20,1.3126737876617816,0.9694219176144523,20,0.2248274191931505,2.663991465135688,0.1488861160945167,0.13799088600582501,0.12182415036118856,0.15415762165046146,0.4248678881061667,0.12182415036118856,0.03230852487376713,0.2194080155057154,0.4248678881061667,0.1879600634453448,0.4248678881061667,0.3,0.7,8.25,13.4,0.19891967122785506,0.4646370570223396,0.18502213511943813,0.4305275748047574,0.16337370767112408,0.38011622208219553,0.20581347392725416,0.4809389275273193,0.5697917214847817,1.4201797672752385,0.16337370767112408,0.38011622208219553,0.04337452554248039,0.10085599286477473,0.3467048469167432,0.785857719515211,0.8402359844448613,1.6906240302353175,0.41351841774105164,0.7479261409980931,0.934723545088245,1.6906240302353175
M1,20,BoulwareTBNegotiator,ConcederTBNegotiator,LinearTBNegotiator,0.55,0.5104177855340404,20,8.85,4.319783132958121,20,0.4956738252265471,0.45899883451247553,20,0.2777725815442553,0.25695315384910006,20,0.2529976930728807,0.23403200334015264,20,0.3025474700156298,0.2798743043580475,20,1.0512189883150576,0.9729051422106756,20,0.2529976930728807,0.23403200334015264,20,0.2426761321536664,0.2249668311723229,20,0.46342419193146195,0.5256443329079087,20,1.209196763405042,0.9729051422106756,20,0.5349444067910446,0.43040982238348313,20,1.209196763405042,0.9729051422106756,20,0.22370045761428853,1.8932284317368686,0.20116510873036206,0.11261468493175168,0.10256904780229167,0.12266032206121173,0.4263944785938654,0.10256904780229167,0.09859606092807041,0.23037378623244423,0.4263944785938654,0.18863542172248343,0.4263944785938654,0.35,0.75,7.05,10.6,0.2708585623570167,0.6755260355221715,0.15191825145843413,0.37845604561291235,0.1612955580874043,0.3446998280583572,0.1928826768637923,0.4122122631674673,0.6676172302669157,1.4324381267479958,0.1612955580874043,0.3446998280583572,0.1545260568435185,0.33082620746381425,0.25745788440636774,0.6693904994565562,0.8279776249721037,1.5904159018379804,0.3662943971001975,0.7035944164818917,0.8279776249721037,1.5904159018379804
M1,20,BoulwareTBNegotiator,ConcederTBNegotiator,SmartAspirationNegotiator,0.5,0.512989176042577,20,11.0,6.078434701553735,20,0.33219225413412257,0.33971375152373967,20,0.3077748549620978,0.31485408304535634,20,0.27174496487665983,0.27796640970282976,20,0.3438047450475356,0.3517417563878828,20,0.947741964058318,0.9694219176144523,20,0.27174496487665983,0.27796640970282976,20,0.07211525920362757,0.07371842639845523,20,0.5418839014049512,0.500623711713375,20,1.3126737876617816,0.9694219176144523,20,0.5807222793695723,0.42886885603975955,20,1.3126737876617816,0.9694219176144523,20,0.2248274191931505,2.663991465135688,0.1488861160945167,0.13799088600582501,0.12182415036118856,0.15415762165046146,0.4248678881061667,0.12182415036118856,0.03230852487376713,0.2194080155057154,0.4248678881061667,0.1879600634453448,0.4248678881061667,0.3,0.7,8.45,13.55,0.19974745124590565,0.4646370570223396,0.18502213511943813,0.4312947793037733,0.16337370767112408,0.38011622208219553,0.20581347392725416,0.4809389275273193,0.5697917214847817,1.3256922066318544,0.16337370767112408,0.40720903638357936,0.043194895957098384,0.10085599286477473,0.3467048469167432,0.737062955893159,0.9347235450882451,1.7851115908787016,0.37171745233392145,0.7479261409980931,0.934723545088245,1.7851115908787016
M1,20,BoulwareTBNegotiator,GeniusBOABaselineNegotiator,BoulwareTBNegotiator,0.45,0.5104177855340404,20,11.45,6.476475649773205,20,0.2583513506900536,0.2918127712699685,20,0.3649959802975732,0.41298801923428025,20,0.3397648098607493,0.38445573654471393,20,0.390227150734397,0.4415203019238465,20,0.9883433112852,1.1177888097385291,20,0.25820646691213583,0.2919472281010315,20,0.13208171075828812,0.14951643885273364,20,0.5664073456940091,0.5256443329079087,20,1.2720724404348995,1.1177888097385291,20,0.5627603857683683,0.49450584870855274,20,1.2720724404348995,1.1177888097385291,20,0.22370045761428853,2.8384406022729407,0.12789258587940044,0.18099997984056487,0.16849515560573117,0.19350480407539855,0.48989254556053025,0.1279515141838025,0.06552846852156699,0.23037378623244423,0.48989254556053025,0.21672674382477589,0.48989254556053025,0.25,0.65,8.3,14.15125,0.14400863790050988,0.3726940634795973,0.1627165775519485,0.526819502494073,0.18912125963944765,0.4904083600820511,0.21614238472412692,0.5632306449060949,0.5503535541026565,1.4290705044501322,0.14381106911244013,0.37260186471183154,0.07349580599938657,0.20531409170691503,0.3089494612876413,0.7723736532191032,0.7245852439567204,1.710062197617443,0.32055397039475403,0.7577365501441268,0.8340826832523561,1.710062197617443
M1,20,BoulwareTBNegotiator,GeniusBOABaselineNegotiator,ConcederTBNegotiator,0.45,0.5104177855340404,20,11.45,6.476475649773205,20,0.2583513506900536,0.2918127712699685,20,0.3649959802975732,0.41298801923428025,20,0.3397648098607493,0.38445573654471393,20,0.390227150734397,0.4415203019238465,20,0.9883433112852,1.1177888097385291,20,0.25820646691213583,0.2919472281010315,20,0.13208171075828812,0.14951643885273364,20,0.5664073456940091,0.5256443329079087,20,1.2720724404348995,1.1177888097385291,20,0.5627603857683683,0.49450584870855274,20,1.2720724404348995,1.1177888097385291,20,0.22370045761428853,2.8384406022729407,0.12789258587940044,0.18099997984056487,0.16849515560573117,0.19350480407539855,0.48989254556053025,0.1279515141838025,0.06552846852156699,0.23037378623244423,0.48989254556053025,0.21672674382477589,0.48989254556053025,0.24875000000000114,0.65,8.55,14.1,0.14400863790050988,0.3726940634795973,0.20317245810107343,0.526819502494073,0.18912125963944765,0.4904083600820511,0.2172236565626991,0.5632306449060949,0.5503535541026566,1.4263330684677435,0.14381106911244013,0.37260186471183154,0.07349580599938657,0.20531409170691503,0.3604410381689148,0.7723736532191032,0.8340826832523561,1.710062197617443,0.36899525346947687,0.7577365501441268,0.8340826832523561,1.710062197617443
