time,relative_time,step,negotiator,offer,responses,state,text,data,SmartAspirationNegotiator@0,SmartAspirationNegotiator@1
0.0,0.0196078431372549,0,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.0,0.0196078431372549,0,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.009368292,0.0392156862745098,1,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.009368292,0.0392156862745098,1,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.009555458,0.058823529411764705,2,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.009555458,0.058823529411764705,2,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.00973775,0.0784313725490196,3,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.00973775,0.0784313725490196,3,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.009918792,0.09803921568627451,4,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.009918792,0.09803921568627451,4,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.010099292,0.11764705882352941,5,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.010099292,0.11764705882352941,5,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.01028175,0.13725490196078433,6,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.01028175,0.13725490196078433,6,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.010462417,0.1568627450980392,7,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.010462417,0.1568627450980392,7,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.010645792,0.17647058823529413,8,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.010645792,0.17647058823529413,8,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.010828583,0.19607843137254902,9,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.010828583,0.19607843137254902,9,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.01100975,0.21568627450980393,10,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.01100975,0.21568627450980393,10,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011193583,0.23529411764705882,11,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
