time,relative_time,step,negotiator,offer,responses,state,text,data,BoulwareTBNegotiator@0,LinearTBNegotiator@1
0.017070709,0.21568627450980393,10,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.017070709,0.21568627450980393,10,LinearTBNegotiator@1,"(2, 8, 0, 'standard')",{},continuing,,,0.21052631578947367,0.7894736842105262
0.017783917,0.23529411764705882,11,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.017783917,0.23529411764705882,11,LinearTBNegotiator@1,"(2, 5, 1, 'premium')",{},continuing,,,0.23391812865497075,0.7660818713450291
0.018503917,0.2549019607843137,12,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.018503917,0.2549019607843137,12,LinearTBNegotiator@1,"(2, 7, 0, 'standard')",{},continuing,,,0.23976608187134502,0.7602339181286548
0.019252542,0.27450980392156865,13,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.019252542,0.27450980392156865,13,LinearTBNegotiator@1,"(1, 6, 1, 'standard')",{},continuing,,,0.26900584795321636,0.7309941520467835
0.019987917,0.29411764705882354,14,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.019987917,0.29411764705882354,14,LinearTBNegotiator@1,"(1, 3, 2, 'premium')",{},continuing,,,0.29239766081871343,0.7076023391812865
0.020730917,0.3137254901960784,15,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.020730917,0.3137254901960784,15,LinearTBNegotiator@1,"(2, 7, 2, 'standard')",{},continuing,,,0.2982456140350877,0.7017543859649121
0.021524375,0.3333333333333333,16,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.021524375,0.3333333333333333,16,LinearTBNegotiator@1,"(2, 5, 1, 'standard')",{},continuing,,,0.32748538011695905,0.6725146198830408
0.022297875,0.35294117647058826,17,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.022297875,0.35294117647058826,17,LinearTBNegotiator@1,"(1, 8, 9, 'premium')",{},continuing,,,0.3508771929824561,0.6491228070175438
0.023085375,0.37254901960784315,18,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.023085375,0.37254901960784315,18,LinearTBNegotiator@1,"(2, 8, 5, 'standard')",{},continuing,,,0.3567251461988304,0.6432748538011694
0.023906167,0.39215686274509803,19,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.023906167,0.39215686274509803,19,LinearTBNegotiator@1,"(0, 5, 5, 'standard')",{},continuing,,,0.38596491228070173,0.6140350877192982
0.024733042,0.4117647058823529,20,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.024733042,0.4117647058823529,20,LinearTBNegotiator@1,"(3, 1, 2, 'premium')",{},continuing,,,0.4093567251461988,0.5906432748538011
0.025553584,0.43137254901960786,21,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.025553584,0.43137254901960786,21,LinearTBNegotiator@1,"(7, 8, 2, 'standard')",{},continuing,,,0.415204678362573,0.5847953216374268
0.026417292,0.45098039215686275,22,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.026417292,0.45098039215686275,22,LinearTBNegotiator@1,"(5, 5, 2, 'standard')",{},continuing,,,0.4444444444444444,0.5555555555555555
0.027298792,0.47058823529411764,23,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.027298792,0.47058823529411764,23,LinearTBNegotiator@1,"(9, 8, 5, 'premium')",{},continuing,,,0.4678362573099415,0.5321637426900584
0.028206417,0.49019607843137253,24,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.028206417,0.49019607843137253,24,LinearTBNegotiator@1,"(9, 8, 2, 'standard')",{},continuing,,,0.47368421052631576,0.5263157894736841
0.029117584,0.5098039215686274,25,BoulwareTBNegotiator@0,"(9, 1, 7, 'basic')",{},continuing,,,0.9415204678362572,0.05847953216374269
0.029117584,0.5098039215686274,25,LinearTBNegotiator@1,"(7, 5, 2, 'standard')",{},continuing,,,0.5029239766081871,0.4970760233918128
0.030032167,0.5294117647058824,26,BoulwareTBNegotiator@0,"(9, 1, 7, 'basic')",{},continuing,,,0.9415204678362572,0.05847953216374269
0.030032167,0.5294117647058824,26,LinearTBNegotiator@1,"(2, 1, 7, 'premium')",{},continuing,,,0.5263157894736842,0.4736842105263157
0.030940542,0.5490196078431373,27,BoulwareTBNegotiator@0,"(7, 1, 8, 'basic')",{},continuing,,,0.9122807017543859,0.08771929824561404
0.030940542,0.5490196078431373,27,LinearTBNegotiator@1,"(7, 8, 2, 'basic')",{},continuing,,,0.5321637426900584,0.4678362573099414
0.0319325,0.5686274509803921,28,BoulwareTBNegotiator@0,"(7, 1, 8, 'basic')",{},continuing,,,0.9122807017543859,0.08771929824561404
0.0319325,0.5686274509803921,28,LinearTBNegotiator@1,"(7, 8, 3, 'basic')",{},continuing,,,0.5614035087719298,0.4385964912280701
