time,relative_time,step,negotiator,offer,responses,state,text,data,BoulwareTBNegotiator@0,ConcederTBNegotiator@1
0.022919291,0.27450980392156865,13,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.022919291,0.27450980392156865,13,ConcederTBNegotiator@1,"(4, 8, 9, 'premium')",{},continuing,,,0.5305393112410657,0.3099415204678363
0.023872083,0.29411764705882354,14,BoulwareTBNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.023872083,0.29411764705882354,14,ConcederTBNegotiator@1,"(2, 2, 7, 'premium')",{},continuing,,,0.3313576448734139,0.2982456140350877
0.024798041,0.3137254901960784,15,BoulwareTBNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.024798041,0.3137254901960784,15,ConcederTBNegotiator@1,"(3, 1, 3, 'premium')",{},continuing,,,0.35304779573610434,0.2865497076023392
0.025744458,0.3333333333333333,16,BoulwareTBNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.025744458,0.3333333333333333,16,ConcederTBNegotiator@1,"(1, 8, 3, 'basic')",{},continuing,,,0.643821025105825,0.2758284600389864
0.026697583,0.35294117647058826,17,BoulwareTBNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.026697583,0.35294117647058826,17,ConcederTBNegotiator@1,"(4, 7, 2, 'standard')",{},continuing,,,0.6365095604268096,0.2654320987654321
0.0276395,0.37254901960784315,18,BoulwareTBNegotiator@0,"(1, 10, 0, 'standard')",{},continuing,,,0.9824561403508771,0.12313190383365824
0.0276395,0.37254901960784315,18,ConcederTBNegotiator@1,"(2, 6, 5, 'standard')",{},continuing,,,0.5753736192332684,0.25536062378167645
0.028641875,0.39215686274509803,19,BoulwareTBNegotiator@0,"(1, 10, 0, 'standard')",{},continuing,,,0.9824561403508771,0.12313190383365824
0.028641875,0.39215686274509803,19,ConcederTBNegotiator@1,"(2, 2, 4, 'premium')",{},continuing,,,0.36740389115090055,0.24561403508771928
0.02960275,0.4117647058823529,20,BoulwareTBNegotiator@0,"(1, 10, 1, 'standard')",{},continuing,,,0.9749310142432539,0.14067576348278105
0.02960275,0.4117647058823529,20,ConcederTBNegotiator@1,"(0, 6, 0, 'basic')",{},continuing,,,0.5373619233268357,0.23651721897335937
0.030591708,0.43137254901960786,21,BoulwareTBNegotiator@0,"(1, 10, 1, 'standard')",{},continuing,,,0.9749310142432539,0.14067576348278105
0.030591708,0.43137254901960786,21,ConcederTBNegotiator@1,"(0, 5, 8, 'premium')",{},continuing,,,0.4408706952566602,0.22774528914879794
0.031555625,0.45098039215686275,22,BoulwareTBNegotiator@0,"(2, 10, 0, 'standard')",{},continuing,,,0.9649122807017545,0.14165042235217676
0.031555625,0.45098039215686275,22,ConcederTBNegotiator@1,"(1, 6, 8, 'premium')",{},continuing,,,0.47888239116309295,0.2192982456140351
0.032523125,0.47058823529411764,23,BoulwareTBNegotiator@0,"(0, 10, 5, 'standard')",{},continuing,,,0.9561403508771931,0.20467836257309946
0.032523125,0.47058823529411764,23,ConcederTBNegotiator@1,"(2, 2, 2, 'premium')",{},continuing,,,0.38537245841251455,0.21052631578947367
0.03349125,0.49019607843137253,24,BoulwareTBNegotiator@0,"(1, 10, 4, 'standard')",{},continuing,,,0.9489503498903418,0.19330734243014946
0.03349125,0.49019607843137253,24,ConcederTBNegotiator@1,"(2, 6, 6, 'premium')",{},continuing,,,0.49344602307400864,0.20272904483430798
0.034472291,0.5098039215686274,25,BoulwareTBNegotiator@0,"(3, 10, 1, 'standard')",{},continuing,,,0.9398432949450084,0.19005847953216376
0.034472291,0.5098039215686274,25,ConcederTBNegotiator@1,"(1, 9, 8, 'premium')",{},continuing,,,0.7196231319038336,0.19493177387914232
0.035478583,0.5294117647058824,26,BoulwareTBNegotiator@0,"(4, 10, 0, 'standard')",{'BoulwareTBNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.9298245614035088,0.21572449642625083
