time,relative_time,step,negotiator,offer,responses,state,text,data,SmartAspirationNegotiator@0,LinearTBNegotiator@1
0.0,0.0196078431372549,0,SmartAspirationNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.0,0.0196078431372549,0,LinearTBNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.011545125,0.0392156862745098,1,SmartAspirationNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.011545125,0.0392156862745098,1,LinearTBNegotiator@1,"(9, 1, 7, 'basic')",{},continuing,,,0.15559416209238722,0.9649122807017545
0.01201625,0.058823529411764705,2,SmartAspirationNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.01201625,0.058823529411764705,2,LinearTBNegotiator@1,"(9, 1, 6, 'basic')",{},continuing,,,0.16953439214483385,0.9473684210526316
0.012478417,0.0784313725490196,3,SmartAspirationNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.012478417,0.0784313725490196,3,LinearTBNegotiator@1,"(9, 4, 9, 'basic')",{},continuing,,,0.14912280701754388,0.9269005847953218
0.012941708,0.09803921568627451,4,SmartAspirationNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.012941708,0.09803921568627451,4,LinearTBNegotiator@1,"(9, 5, 9, 'basic')",{},continuing,,,0.19233268356075373,0.9090318388564003
0.013403417,0.11764705882352941,5,SmartAspirationNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.013403417,0.11764705882352941,5,LinearTBNegotiator@1,"(9, 1, 8, 'standard')",{},continuing,,,0.25438596491228077,0.8888888888888888
0.013868417,0.13725490196078433,6,SmartAspirationNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.013868417,0.13725490196078433,6,LinearTBNegotiator@1,"(9, 9, 9, 'basic')",{},continuing,,,0.48862897985705,0.8700454840805718
0.014328375,0.1568627450980392,7,SmartAspirationNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.014328375,0.1568627450980392,7,LinearTBNegotiator@1,"(9, 10, 8, 'basic')",{},continuing,,,0.6374269005847953,0.8508771929824561
