time,relative_time,step,negotiator,offer,responses,state,text,data,SmartAspirationNegotiator@0,GeniusBOABaselineNegotiator@1
0.013266,0.47058823529411764,23,GeniusBOABaselineNegotiator@1,"(0, 9, 0, 'premium')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.013447959,0.49019607843137253,24,SmartAspirationNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.013447959,0.49019607843137253,24,GeniusBOABaselineNegotiator@1,"(0, 8, 0, 'premium')",{},continuing,,,0.05847953216374269,0.9415204678362572
0.013629834,0.5098039215686274,25,SmartAspirationNegotiator@0,"(8, 1, 8, 'basic')",{},continuing,,,0.9415204678362572,0.058479532163742715
0.013629834,0.5098039215686274,25,GeniusBOABaselineNegotiator@1,"(0, 8, 0, 'premium')",{},continuing,,,0.05847953216374269,0.9415204678362572
0.013820834,0.5294117647058824,26,SmartAspirationNegotiator@0,"(9, 1, 7, 'basic')",{},continuing,,,0.9415204678362572,0.05847953216374269
0.013820834,0.5294117647058824,26,GeniusBOABaselineNegotiator@1,"(0, 8, 0, 'premium')",{},continuing,,,0.05847953216374269,0.9415204678362572
0.0140135,0.5490196078431373,27,SmartAspirationNegotiator@0,"(7, 1, 8, 'basic')",{},continuing,,,0.9122807017543859,0.08771929824561404
0.0140135,0.5490196078431373,27,GeniusBOABaselineNegotiator@1,"(0, 9, 2, 'premium')",{},continuing,,,0.08771929824561404,0.9122807017543859
0.014206417,0.5686274509803921,28,SmartAspirationNegotiator@0,"(6, 1, 9, 'basic')",{},continuing,,,0.9122807017543859,0.08771929824561404
0.014206417,0.5686274509803921,28,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.0935672514619883,0.9064327485380117
0.01439925,0.5882352941176471,29,SmartAspirationNegotiator@0,"(5, 1, 9, 'basic')",{},continuing,,,0.8830409356725146,0.11695906432748537
0.01439925,0.5882352941176471,29,GeniusBOABaselineNegotiator@1,"(1, 9, 2, 'premium')",{},continuing,,,0.11695906432748539,0.8830409356725145
0.014600917,0.6078431372549019,30,SmartAspirationNegotiator@0,"(5, 1, 9, 'basic')",{},continuing,,,0.8830409356725146,0.11695906432748537
0.014600917,0.6078431372549019,30,GeniusBOABaselineNegotiator@1,"(1, 10, 0, 'standard')",{},continuing,,,0.12280701754385964,0.8771929824561403
0.01480275,0.6274509803921569,31,SmartAspirationNegotiator@0,"(4, 1, 9, 'basic')",{},continuing,,,0.8538011695906432,0.14619883040935672
0.01480275,0.6274509803921569,31,GeniusBOABaselineNegotiator@1,"(0, 9, 1, 'standard')",{},continuing,,,0.15204678362573099,0.8479532163742689
0.015015917,0.6470588235294118,32,SmartAspirationNegotiator@0,"(4, 1, 9, 'basic')",{},continuing,,,0.8538011695906432,0.14619883040935672
0.015015917,0.6470588235294118,32,GeniusBOABaselineNegotiator@1,"(0, 4, 0, 'premium')",{},continuing,,,0.1754385964912281,0.8245614035087718
0.015227959,0.6666666666666666,33,SmartAspirationNegotiator@0,"(3, 1, 9, 'basic')",{},continuing,,,0.8245614035087718,0.1754385964912281
0.015227959,0.6666666666666666,33,GeniusBOABaselineNegotiator@1,"(0, 7, 0, 'standard')",{},continuing,,,0.18128654970760233,0.8187134502923976
0.015459167,0.6862745098039216,34,SmartAspirationNegotiator@0,"(2, 1, 9, 'basic')",{},continuing,,,0.7953216374269005,0.20467836257309938
0.015459167,0.6862745098039216,34,GeniusBOABaselineNegotiator@1,"(1, 9, 2, 'standard')",{},continuing,,,0.21052631578947367,0.7894736842105262
0.015713292,0.7058823529411765,35,SmartAspirationNegotiator@0,"(1, 1, 9, 'basic')",{},continuing,,,0.7660818713450293,0.23391812865497075
0.015713292,0.7058823529411765,35,GeniusBOABaselineNegotiator@1,"(2, 7, 0, 'standard')",{},continuing,,,0.23976608187134502,0.7602339181286548
0.015999875,0.7254901960784313,36,SmartAspirationNegotiator@0,"(6, 1, 3, 'basic')",{},continuing,,,0.7368421052631579,0.26315789473684215
0.015999875,0.7254901960784313,36,GeniusBOABaselineNegotiator@1,"(1, 7, 2, 'standard')",{},continuing,,,0.26900584795321636,0.7309941520467835
0.016327542,0.7450980392156863,37,SmartAspirationNegotiator@0,"(6, 1, 2, 'basic')",{},continuing,,,0.7076023391812865,0.29239766081871343
0.016327542,0.7450980392156863,37,GeniusBOABaselineNegotiator@1,"(2, 7, 2, 'standard')",{},continuing,,,0.2982456140350877,0.7017543859649121
0.016727209,0.7647058823529411,38,SmartAspirationNegotiator@0,"(2, 1, 5, 'basic')",{},continuing,,,0.6783625730994152,0.3216374269005847
0.016727209,0.7647058823529411,38,GeniusBOABaselineNegotiator@1,"(4, 8, 2, 'standard')",{},continuing,,,0.32748538011695905,0.6725146198830408
0.017185042,0.7843137254901961,39,SmartAspirationNegotiator@0,"(6, 1, 0, 'basic')",{},continuing,,,0.6491228070175439,0.3508771929824561
0.017185042,0.7843137254901961,39,GeniusBOABaselineNegotiator@1,"(2, 3, 0, 'standard')",{},continuing,,,0.35672514619883033,0.6432748538011694
0.017725042,0.803921568627451,40,SmartAspirationNegotiator@0,"(4, 1, 0, 'basic')",{},continuing,,,0.5906432748538011,0.4093567251461988
0.017725042,0.803921568627451,40,GeniusBOABaselineNegotiator@1,"(2, 7, 2, 'basic')",{},continuing,,,0.4152046783625731,0.5847953216374268
0.018446792,0.8235294117647058,41,SmartAspirationNegotiator@0,"(2, 1, 0, 'basic')",{},continuing,,,0.5321637426900585,0.4678362573099415
0.018446792,0.8235294117647058,41,GeniusBOABaselineNegotiator@1,"(2, 7, 3, 'basic')",{},continuing,,,0.4444444444444444,0.5555555555555555
0.019417459,0.8431372549019608,42,SmartAspirationNegotiator@0,"(1, 3, 1, 'basic')",{'SmartAspirationNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.4736842105263157,0.5263157894736842
