time,relative_time,step,negotiator,offer,responses,state,text,data,GeniusBOABaselineNegotiator@0,ConcederTBNegotiator@1
0.0,0.0196078431372549,0,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.0,0.0196078431372549,0,ConcederTBNegotiator@1,"(1, 7, 5, 'standard')",{},continuing,,,0.22547108512020797,0.6608187134502925
0.011777292,0.0392156862745098,1,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.011777292,0.0392156862745098,1,ConcederTBNegotiator@1,"(8, 9, 8, 'premium')",{},continuing,,,0.5838206627680312,0.5968161143599741
0.012303583,0.058823529411764705,2,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.012303583,0.058823529411764705,2,ConcederTBNegotiator@1,"(7, 8, 6, 'premium')",{},continuing,,,0.46101364522417154,0.5538748729765427
0.012833792,0.0784313725490196,3,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.012833792,0.0784313725490196,3,ConcederTBNegotiator@1,"(5, 7, 5, 'premium')",{},continuing,,,0.3034437946718649,0.52046783625731
0.013395458,0.09803921568627451,4,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.013395458,0.09803921568627451,4,ConcederTBNegotiator@1,"(7, 8, 7, 'basic')",{},continuing,,,0.6423001949317739,0.49315101719310195
0.013960708,0.11764705882352941,5,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.013960708,0.11764705882352941,5,ConcederTBNegotiator@1,"(0, 3, 6, 'standard')",{},continuing,,,0.30181936322287206,0.4690795513391159
0.014539917,0.13725490196078433,6,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.014539917,0.13725490196078433,6,ConcederTBNegotiator@1,"(0, 5, 4, 'basic')",{},continuing,,,0.3213125406107863,0.4483005773107446
0.015125417,0.1568627450980392,7,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.015125417,0.1568627450980392,7,ConcederTBNegotiator@1,"(4, 4, 6, 'standard')",{},continuing,,,0.37946718648473043,0.42976831027348883
0.015736167,0.17647058823529413,8,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.015736167,0.17647058823529413,8,ConcederTBNegotiator@1,"(1, 3, 3, 'premium')",{},continuing,,,0.1851851851851852,0.4128268730590413
0.016370583,0.19607843137254902,9,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.016370583,0.19607843137254902,9,ConcederTBNegotiator@1,"(1, 1, 2, 'premium')",{},continuing,,,0.21962313190383367,0.39674347855546455
0.017058125,0.21568627450980393,10,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.017058125,0.21568627450980393,10,ConcederTBNegotiator@1,"(4, 6, 9, 'premium')",{},continuing,,,0.3294346978557505,0.38239116309291754
0.017765667,0.23529411764705882,11,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.017765667,0.23529411764705882,11,ConcederTBNegotiator@1,"(4, 3, 2, 'premium')",{},continuing,,,0.260233918128655,0.36880325763278754
0.018435417,0.2549019607843137,12,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.018435417,0.2549019607843137,12,ConcederTBNegotiator@1,"(6, 4, 3, 'premium')",{},continuing,,,0.3801169590643275,0.3559717723442915
0.019095167,0.27450980392156865,13,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.019095167,0.27450980392156865,13,ConcederTBNegotiator@1,"(4, 1, 2, 'premium')",{},continuing,,,0.31221572449642626,0.3441118996080962
0.019753542,0.29411764705882354,14,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.019753542,0.29411764705882354,14,ConcederTBNegotiator@1,"(2, 1, 2, 'basic')",{},continuing,,,0.40188434048083177,0.3324159931753476
0.02041675,0.3137254901960784,15,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.02041675,0.3137254901960784,15,ConcederTBNegotiator@1,"(7, 1, 6, 'standard')",{},continuing,,,0.6562703053931125,0.3215811757705649
0.021095042,0.3333333333333333,16,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.021095042,0.3333333333333333,16,ConcederTBNegotiator@1,"(9, 3, 6, 'standard')",{},continuing,,,0.801819363222872,0.31118481449701063
0.021779917,0.35294117647058826,17,GeniusBOABaselineNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.021779917,0.35294117647058826,17,ConcederTBNegotiator@1,"(5, 2, 0, 'basic')",{},continuing,,,0.4688109161793373,0.30149447693307346
