time,relative_time,step,negotiator,offer,responses,state,text,data,SmartAspirationNegotiator@0,LinearTBNegotiator@1
0.032090708,0.45098039215686275,22,SmartAspirationNegotiator@0,"(9, 3, 9, 'basic')",{},continuing,,,0.9607201309328969,0.06842968850192394
0.032090708,0.45098039215686275,22,LinearTBNegotiator@1,"(3, 7, 4, 'premium')",{},continuing,,,0.18021458446990363,0.5495272814608347
0.032641458,0.47058823529411764,23,SmartAspirationNegotiator@0,"(9, 3, 9, 'basic')",{},continuing,,,0.9607201309328969,0.06842968850192394
0.032641458,0.47058823529411764,23,LinearTBNegotiator@1,"(9, 1, 1, 'premium')",{},continuing,,,0.5653755228223313,0.5304659498207884
0.033205083,0.49019607843137253,24,SmartAspirationNegotiator@0,"(9, 3, 9, 'basic')",{},continuing,,,0.9607201309328969,0.06842968850192394
0.033205083,0.49019607843137253,24,LinearTBNegotiator@1,"(3, 8, 4, 'standard')",{},continuing,,,0.20967448627023094,0.5106367121841289
0.033786666,0.5098039215686274,25,SmartAspirationNegotiator@0,"(9, 4, 9, 'basic')",{},continuing,,,0.9410801963993453,0.08380891004365534
0.033786666,0.5098039215686274,25,LinearTBNegotiator@1,"(5, 6, 4, 'premium')",{},continuing,,,0.2725950172758684,0.4908133250761547
0.03447875,0.5294117647058824,26,SmartAspirationNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9319876341152936,0.006272401433691762
0.03447875,0.5294117647058824,26,LinearTBNegotiator@1,"(2, 10, 4, 'basic')",{},continuing,,,0.2131296599381706,0.4713261648745519
0.035082833,0.5490196078431373,27,SmartAspirationNegotiator@0,"(9, 2, 8, 'basic')",{},continuing,,,0.912347699581742,0.0546594982078853
0.035082833,0.5490196078431373,27,LinearTBNegotiator@1,"(2, 10, 6, 'standard')",{},continuing,,,0.2276777595926532,0.4516129032258064
0.035698083,0.5686274509803921,28,SmartAspirationNegotiator@0,"(9, 6, 9, 'basic')",{},continuing,,,0.9018003273322422,0.10819683762095757
0.035698083,0.5686274509803921,28,LinearTBNegotiator@1,"(0, 8, 8, 'standard')",{},continuing,,,0.36079287143116934,0.43267972293681706
0.03631475,0.5882352941176471,29,SmartAspirationNegotiator@0,"(9, 1, 9, 'premium')",{},continuing,,,0.8854337152209492,0.12903225806451613
0.03631475,0.5882352941176471,29,LinearTBNegotiator@1,"(1, 7, 5, 'basic')",{},continuing,,,0.29441716675759233,0.4124305072672864
0.036953541,0.6078431372549019,30,SmartAspirationNegotiator@0,"(9, 2, 9, 'premium')",{},continuing,,,0.8657937806873975,0.17741935483870966
0.036953541,0.6078431372549019,30,LinearTBNegotiator@1,"(2, 9, 8, 'standard')",{},continuing,,,0.35933806146572106,0.3931317784375396
0.037619083,0.6274509803921569,31,SmartAspirationNegotiator@0,"(9, 2, 9, 'premium')",{},continuing,,,0.8657937806873975,0.17741935483870966
0.037619083,0.6274509803921569,31,LinearTBNegotiator@1,"(3, 8, 5, 'basic')",{},continuing,,,0.31114748136024734,0.37353993799058055
0.038288791,0.6470588235294118,32,SmartAspirationNegotiator@0,"(9, 3, 9, 'premium')",{},continuing,,,0.8461538461538461,0.19746194656644006
0.038288791,0.6470588235294118,32,LinearTBNegotiator@1,"(3, 6, 5, 'basic')",{},continuing,,,0.35042735042735046,0.35371655088260634
0.038973958,0.6666666666666666,33,SmartAspirationNegotiator@0,"(9, 5, 9, 'premium')",{},continuing,,,0.8068739770867429,0.2258064516129032
0.038973958,0.6666666666666666,33,LinearTBNegotiator@1,"(9, 5, 4, 'standard')",{},continuing,,,0.5959265320967448,0.33422939068100355
0.039697041,0.6862745098039216,34,SmartAspirationNegotiator@0,"(9, 6, 9, 'premium')",{},continuing,,,0.7872340425531915,0.23722909568547368
0.039697041,0.6862745098039216,34,LinearTBNegotiator@1,"(0, 5, 9, 'basic')",{},continuing,,,0.5531914893617021,0.314516129032258
0.040444666,0.7058823529411765,35,SmartAspirationNegotiator@0,"(9, 6, 9, 'premium')",{},continuing,,,0.7872340425531915,0.23722909568547368
0.040444666,0.7058823529411765,35,LinearTBNegotiator@1,"(4, 3, 7, 'standard')",{},continuing,,,0.4717221312965994,0.29513219746249736
0.0412045,0.7254901960784313,36,SmartAspirationNegotiator@0,"(8, 5, 9, 'premium')",{},continuing,,,0.729587197672304,0.25
0.0412045,0.7254901960784313,36,LinearTBNegotiator@1,"(4, 3, 8, 'standard')",{},continuing,,,0.5317330423713402,0.2763149931614221
0.041993625,0.7450980392156863,37,SmartAspirationNegotiator@0,"(8, 6, 9, 'premium')",{'SmartAspirationNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.7099472631387526,0.2614226440725705
