time,relative_time,step,negotiator,offer,responses,state,text,data,LinearTBNegotiator@0,SmartAspirationNegotiator@1
0.0229845,0.47058823529411764,23,LinearTBNegotiator@0,"(9, 1, 1, 'premium')",{},continuing,,,0.5304659498207884,0.5653755228223313
0.0229845,0.47058823529411764,23,SmartAspirationNegotiator@1,"(9, 3, 9, 'basic')",{},continuing,,,0.06842968850192394,0.9607201309328969
0.023568292,0.49019607843137253,24,LinearTBNegotiator@0,"(3, 8, 4, 'standard')",{},continuing,,,0.5106367121841289,0.20967448627023094
0.023568292,0.49019607843137253,24,SmartAspirationNegotiator@1,"(9, 3, 9, 'basic')",{},continuing,,,0.06842968850192394,0.9607201309328969
0.024192375,0.5098039215686274,25,LinearTBNegotiator@0,"(5, 6, 4, 'premium')",{},continuing,,,0.4908133250761547,0.2725950172758684
0.024192375,0.5098039215686274,25,SmartAspirationNegotiator@1,"(9, 4, 9, 'basic')",{},continuing,,,0.08380891004365534,0.9410801963993453
0.024803542,0.5294117647058824,26,LinearTBNegotiator@0,"(7, 9, 4, 'premium')",{},continuing,,,0.4710887676848515,0.32278596108383345
0.024803542,0.5294117647058824,26,SmartAspirationNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.006272401433691762,0.9319876341152936
0.025431292,0.5490196078431373,27,LinearTBNegotiator@0,"(0, 8, 7, 'standard')",{},continuing,,,0.4514969272378923,0.30078196035642846
0.025431292,0.5490196078431373,27,SmartAspirationNegotiator@1,"(9, 5, 9, 'basic')",{},continuing,,,0.09677419354838708,0.9214402618657936
0.026075958,0.5686274509803921,28,LinearTBNegotiator@0,"(0, 8, 8, 'standard')",{},continuing,,,0.43267972293681706,0.36079287143116934
0.026075958,0.5686274509803921,28,SmartAspirationNegotiator@1,"(9, 6, 9, 'basic')",{},continuing,,,0.10819683762095757,0.9018003273322422
0.0267215,0.5882352941176471,29,LinearTBNegotiator@0,"(1, 7, 5, 'basic')",{},continuing,,,0.4124305072672864,0.29441716675759233
0.0267215,0.5882352941176471,29,SmartAspirationNegotiator@1,"(9, 1, 9, 'premium')",{},continuing,,,0.12903225806451613,0.8854337152209492
0.027375375,0.6078431372549019,30,LinearTBNegotiator@0,"(3, 7, 9, 'premium')",{},continuing,,,0.3927172456185409,0.4402618657937807
0.027375375,0.6078431372549019,30,SmartAspirationNegotiator@1,"(9, 2, 9, 'premium')",{},continuing,,,0.17741935483870966,0.8657937806873975
0.02805625,0.6274509803921569,31,LinearTBNegotiator@0,"(3, 8, 5, 'basic')",{},continuing,,,0.37353993799058055,0.31114748136024734
0.02805625,0.6274509803921569,31,SmartAspirationNegotiator@1,"(9, 2, 9, 'premium')",{},continuing,,,0.17741935483870966,0.8657937806873975
0.028754708,0.6470588235294118,32,LinearTBNegotiator@0,"(3, 6, 5, 'basic')",{},continuing,,,0.35371655088260634,0.35042735042735046
0.028754708,0.6470588235294118,32,SmartAspirationNegotiator@1,"(9, 3, 9, 'premium')",{},continuing,,,0.19746194656644006,0.8461538461538461
0.029456292,0.6666666666666666,33,LinearTBNegotiator@0,"(5, 9, 5, 'basic')",{},continuing,,,0.33399199349130304,0.36424804509910896
0.029456292,0.6666666666666666,33,SmartAspirationNegotiator@1,"(9, 5, 9, 'premium')",{},continuing,,,0.2258064516129032,0.8068739770867429
0.030179167,0.6862745098039216,34,LinearTBNegotiator@0,"(0, 5, 9, 'basic')",{},continuing,,,0.314516129032258,0.5531914893617021
0.030179167,0.6862745098039216,34,SmartAspirationNegotiator@1,"(9, 6, 9, 'premium')",{},continuing,,,0.23722909568547368,0.7872340425531915
0.030939458,0.7058823529411765,35,LinearTBNegotiator@0,"(4, 3, 7, 'standard')",{},continuing,,,0.29513219746249736,0.4717221312965994
0.030939458,0.7058823529411765,35,SmartAspirationNegotiator@1,"(9, 7, 9, 'premium')",{},continuing,,,0.24755595529596022,0.7675941080196399
0.031725667,0.7254901960784313,36,LinearTBNegotiator@0,"(9, 7, 4, 'basic')",{},continuing,,,0.275333733073738,0.6221131114748135
0.031725667,0.7254901960784313,36,SmartAspirationNegotiator@1,"(9, 7, 9, 'premium')",{},continuing,,,0.24755595529596022,0.7675941080196399
0.032584292,0.7450980392156863,37,LinearTBNegotiator@0,"(9, 7, 6, 'standard')",{},continuing,,,0.25562047142499245,0.6366612111292962
0.033469042,0.7647058823529411,38,SmartAspirationNegotiator@1,"(9, 7, 8, 'premium')",{'SmartAspirationNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.253828356729652,0.6995817421349336
