time,relative_time,step,negotiator,offer,responses,state,text,data,BoulwareTBNegotiator@0,ConcederTBNegotiator@1
0.0,0.0196078431372549,0,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,0.9999999999999999,0.0
0.0,0.0196078431372549,0,ConcederTBNegotiator@1,"(5, 8, 1, 'basic')",{},continuing,,,0.28787052191307516,0.6262281100335912
0.012254458,0.0392156862745098,1,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,0.9999999999999999,0.0
0.012254458,0.0392156862745098,1,ConcederTBNegotiator@1,"(4, 8, 3, 'standard')",{},continuing,,,0.21349336242953265,0.5554395795676415
0.0131175,0.058823529411764705,2,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,0.9999999999999999,0.0
0.0131175,0.058823529411764705,2,ConcederTBNegotiator@1,"(6, 8, 2, 'basic')",{},continuing,,,0.34988179669030733,0.5079485401411181
0.013973958,0.0784313725490196,3,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,0.9999999999999999,0.0
0.013973958,0.0784313725490196,3,ConcederTBNegotiator@1,"(2, 10, 4, 'basic')",{},continuing,,,0.2131296599381706,0.4713261648745519
0.014854,0.09803921568627451,4,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,0.9999999999999999,0.0
0.014854,0.09803921568627451,4,ConcederTBNegotiator@1,"(5, 7, 3, 'basic')",{},continuing,,,0.33951627568648846,0.44110434239273444
0.015776417,0.11764705882352941,5,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,0.9999999999999999,0.0
0.015776417,0.11764705882352941,5,ConcederTBNegotiator@1,"(2, 10, 5, 'basic')",{},continuing,,,0.2491362065830151,0.4148745519713261
0.016691417,0.13725490196078433,6,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,0.9999999999999999,0.0
0.016691417,0.13725490196078433,6,ConcederTBNegotiator@1,"(0, 3, 7, 'standard')",{},continuing,,,0.39898163302418627,0.3919063910108845
0.017622708,0.1568627450980392,7,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,0.9999999999999999,0.0
0.017622708,0.1568627450980392,7,ConcederTBNegotiator@1,"(0, 1, 7, 'premium')",{},continuing,,,0.38916166575741046,0.37186379928315405
0.018576375,0.17647058823529413,8,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,0.9999999999999999,0.0
0.018576375,0.17647058823529413,8,ConcederTBNegotiator@1,"(0, 1, 8, 'premium')",{},continuing,,,0.4491725768321513,0.3530465949820788
0.019509542,0.19607843137254902,9,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,0.9999999999999999,0.0
