time,relative_time,step,negotiator,offer,responses,state,text,data,GeniusBOABaselineNegotiator@0,ConcederTBNegotiator@1
0.0,0.0196078431372549,0,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.0,0.0196078431372549,0,ConcederTBNegotiator@1,"(7, 2, 7, 'premium')",{},continuing,,,0.3567251461988304,0.6432748538011694
0.009935625,0.0392156862745098,1,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.009935625,0.0392156862745098,1,ConcederTBNegotiator@1,"(2, 3, 7, 'standard')",{},continuing,,,0.4385964912280701,0.5614035087719297
0.010495417,0.058823529411764705,2,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.010495417,0.058823529411764705,2,ConcederTBNegotiator@1,"(7, 6, 7, 'premium')",{},continuing,,,0.47368421052631576,0.5263157894736841
0.011085208,0.0784313725490196,3,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.011085208,0.0784313725490196,3,ConcederTBNegotiator@1,"(1, 3, 5, 'standard')",{},continuing,,,0.5263157894736842,0.4736842105263157
0.01170375,0.09803921568627451,4,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.01170375,0.09803921568627451,4,ConcederTBNegotiator@1,"(4, 3, 1, 'standard')",{},continuing,,,0.5555555555555556,0.44444444444444436
0.012338833,0.11764705882352941,5,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.012338833,0.11764705882352941,5,ConcederTBNegotiator@1,"(7, 9, 7, 'premium')",{},continuing,,,0.5614035087719298,0.4385964912280701
0.01302075,0.13725490196078433,6,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.01302075,0.13725490196078433,6,ConcederTBNegotiator@1,"(4, 3, 3, 'premium')",{},continuing,,,0.5906432748538012,0.40935672514619875
0.013682292,0.1568627450980392,7,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.013682292,0.1568627450980392,7,ConcederTBNegotiator@1,"(4, 3, 2, 'premium')",{},continuing,,,0.6198830409356725,0.3801169590643274
0.014361375,0.17647058823529413,8,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.014361375,0.17647058823529413,8,ConcederTBNegotiator@1,"(2, 3, 0, 'standard')",{},continuing,,,0.6432748538011694,0.35672514619883033
0.015044583,0.19607843137254902,9,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.015044583,0.19607843137254902,9,ConcederTBNegotiator@1,"(2, 3, 3, 'premium')",{},continuing,,,0.6491228070175438,0.35087719298245607
0.015737042,0.21568627450980393,10,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.015737042,0.21568627450980393,10,ConcederTBNegotiator@1,"(0, 6, 7, 'premium')",{},continuing,,,0.6783625730994152,0.3216374269005847
0.01644425,0.23529411764705882,11,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.01644425,0.23529411764705882,11,ConcederTBNegotiator@1,"(0, 6, 7, 'premium')",{},continuing,,,0.6783625730994152,0.3216374269005847
0.01713375,0.2549019607843137,12,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.01713375,0.2549019607843137,12,ConcederTBNegotiator@1,"(7, 8, 1, 'premium')",{},continuing,,,0.7076023391812865,0.2923976608187134
0.017831917,0.27450980392156865,13,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.017831917,0.27450980392156865,13,ConcederTBNegotiator@1,"(7, 8, 1, 'premium')",{},continuing,,,0.7076023391812865,0.2923976608187134
0.018546667,0.29411764705882354,14,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.018546667,0.29411764705882354,14,ConcederTBNegotiator@1,"(0, 10, 2, 'basic')",{},continuing,,,0.7309941520467835,0.26900584795321636
0.019255125,0.3137254901960784,15,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.019255125,0.3137254901960784,15,ConcederTBNegotiator@1,"(1, 3, 1, 'premium')",{},continuing,,,0.7368421052631579,0.26315789473684204
0.019966583,0.3333333333333333,16,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.019966583,0.3333333333333333,16,ConcederTBNegotiator@1,"(1, 3, 1, 'premium')",{},continuing,,,0.7368421052631579,0.26315789473684204
0.020690917,0.35294117647058826,17,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.020690917,0.35294117647058826,17,ConcederTBNegotiator@1,"(1, 3, 0, 'premium')",{},continuing,,,0.7660818713450293,0.23391812865497072
0.021468792,0.37254901960784315,18,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.021468792,0.37254901960784315,18,ConcederTBNegotiator@1,"(1, 3, 0, 'premium')",{},continuing,,,0.7660818713450293,0.23391812865497072
0.022203333,0.39215686274509803,19,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.0
0.022203333,0.39215686274509803,19,ConcederTBNegotiator@1,"(1, 3, 0, 'premium')",{},continuing,,,0.7660818713450293,0.23391812865497072
0.022921333,0.4117647058823529,20,GeniusBOABaselineNegotiator@0,"(0, 9, 0, 'premium')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.022921333,0.4117647058823529,20,ConcederTBNegotiator@1,"(7, 10, 0, 'premium')",{},continuing,,,0.7953216374269005,0.20467836257309938
0.023643167,0.43137254901960786,21,GeniusBOABaselineNegotiator@0,"(0, 9, 0, 'premium')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.023643167,0.43137254901960786,21,ConcederTBNegotiator@1,"(7, 10, 0, 'premium')",{},continuing,,,0.7953216374269005,0.20467836257309938
0.024390917,0.45098039215686275,22,GeniusBOABaselineNegotiator@0,"(0, 9, 0, 'premium')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.024390917,0.45098039215686275,22,ConcederTBNegotiator@1,"(7, 10, 0, 'premium')",{},continuing,,,0.7953216374269005,0.20467836257309938
0.02511525,0.47058823529411764,23,GeniusBOABaselineNegotiator@0,"(0, 9, 0, 'premium')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.02511525,0.47058823529411764,23,ConcederTBNegotiator@1,"(0, 7, 3, 'premium')",{},continuing,,,0.8245614035087719,0.17543859649122806
