time,relative_time,step,negotiator,offer,responses,state,text,data,GeniusBOABaselineNegotiator@0,LinearTBNegotiator@1
0.014469458,0.1568627450980392,7,LinearTBNegotiator@1,"(9, 3, 9, 'premium')",{},continuing,,,0.19746194656644006,0.8461538461538461
0.014915208,0.17647058823529413,8,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,0.9999999999999999,0.016366612111292964
0.014915208,0.17647058823529413,8,LinearTBNegotiator@1,"(9, 4, 9, 'premium')",{},continuing,,,0.21284116810817147,0.8265139116202945
0.015360958,0.19607843137254902,9,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,0.9999999999999999,0.016366612111292964
0.015360958,0.19607843137254902,9,LinearTBNegotiator@1,"(9, 4, 8, 'standard')",{},continuing,,,0.17072647276766967,0.8076013820694672
0.015852875,0.21568627450980393,10,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,0.9999999999999999,0.016366612111292964
0.015852875,0.21568627450980393,10,LinearTBNegotiator@1,"(9, 5, 8, 'standard')",{},continuing,,,0.18369175627240142,0.7879614475359156
0.016303875,0.23529411764705882,11,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,0.9999999999999999,0.016366612111292964
0.016303875,0.23529411764705882,11,LinearTBNegotiator@1,"(8, 3, 9, 'premium')",{},continuing,,,0.22165549495353684,0.7688670667394072
0.016754083,0.2549019607843137,12,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,0.9999999999999999,0.016366612111292964
0.016754083,0.2549019607843137,12,LinearTBNegotiator@1,"(8, 4, 9, 'premium')",{},continuing,,,0.23703471649526825,0.7492271322058556
0.017215583,0.27450980392156865,13,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,0.9999999999999999,0.016366612111292964
0.017215583,0.27450980392156865,13,LinearTBNegotiator@1,"(6, 1, 9, 'standard')",{},continuing,,,0.15322580645161288,0.7299509001636661
0.017672666,0.29411764705882354,14,GeniusBOABaselineNegotiator@0,"(0, 9, 0, 'premium')",{},continuing,,,0.9916980866812671,0.036006546644844525
0.017672666,0.29411764705882354,14,LinearTBNegotiator@1,"(8, 5, 8, 'standard')",{},continuing,,,0.2078853046594982,0.7106746681214766
0.018134208,0.3137254901960784,15,GeniusBOABaselineNegotiator@0,"(0, 9, 0, 'premium')",{},continuing,,,0.9916980866812671,0.036006546644844525
0.018134208,0.3137254901960784,15,LinearTBNegotiator@1,"(9, 1, 2, 'basic')",{},continuing,,,0.30734767025089604,0.6919439898163302
0.018594833,0.3333333333333333,16,GeniusBOABaselineNegotiator@0,"(0, 9, 0, 'premium')",{},continuing,,,0.9916980866812671,0.036006546644844525
0.018594833,0.3333333333333333,16,LinearTBNegotiator@1,"(9, 2, 2, 'basic')",{},continuing,,,0.3557347670250896,0.6723040552827786
0.019063125,0.35294117647058826,17,GeniusBOABaselineNegotiator@0,"(0, 8, 0, 'premium')",{},continuing,,,0.9828589344063511,0.05564648117839607
0.019063125,0.35294117647058826,17,LinearTBNegotiator@1,"(9, 4, 3, 'basic')",{},continuing,,,0.3096153616565586,0.6530278232405892
0.019545291,0.37254901960784315,18,GeniusBOABaselineNegotiator@0,"(0, 8, 0, 'premium')",{},continuing,,,0.9828589344063511,0.05564648117839607
0.019545291,0.37254901960784315,18,LinearTBNegotiator@1,"(8, 1, 3, 'basic')",{},continuing,,,0.25000000000000006,0.6346608474268048
0.020013458,0.39215686274509803,19,GeniusBOABaselineNegotiator@0,"(1, 10, 0, 'premium')",{},continuing,,,0.9758064516129031,0.020912893253318784
