time,relative_time,step,negotiator,offer,responses,state,text,data,LinearTBNegotiator@0,GeniusBOABaselineNegotiator@1
0.01638625,0.23529411764705882,11,LinearTBNegotiator@0,"(3, 9, 6, 'standard')",{},continuing,,,0.7868183427621178,0.27940220922677067
0.01638625,0.23529411764705882,11,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.016836833,0.2549019607843137,12,LinearTBNegotiator@0,"(6, 10, 6, 'premium')",{},continuing,,,0.7689495968231964,0.37426900584795325
0.016836833,0.2549019607843137,12,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.017302875,0.27450980392156865,13,LinearTBNegotiator@0,"(7, 10, 6, 'premium')",{},continuing,,,0.7514057371740736,0.45451591942820013
0.017302875,0.27450980392156865,13,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.017771625,0.29411764705882354,14,LinearTBNegotiator@0,"(8, 10, 6, 'premium')",{},continuing,,,0.7338618775249508,0.5471085120207927
0.017771625,0.29411764705882354,14,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.01829425,0.3137254901960784,15,LinearTBNegotiator@0,"(9, 10, 6, 'premium')",{},continuing,,,0.7163180178758279,0.652046783625731
0.01829425,0.3137254901960784,15,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.018767375,0.3333333333333333,16,LinearTBNegotiator@0,"(2, 8, 7, 'standard')",{},continuing,,,0.6978293797662014,0.27095516569200784
0.018767375,0.3333333333333333,16,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.019260875,0.35294117647058826,17,LinearTBNegotiator@0,"(3, 8, 7, 'standard')",{},continuing,,,0.6802855201170785,0.30181936322287206
0.019260875,0.35294117647058826,17,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.019772458,0.37254901960784315,18,LinearTBNegotiator@0,"(0, 8, 7, 'premium')",{},continuing,,,0.6627416604679558,0.17608836907082523
0.019772458,0.37254901960784315,18,GeniusBOABaselineNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.020288458,0.39215686274509803,19,LinearTBNegotiator@0,"(0, 7, 1, 'premium')",{},continuing,,,0.6445216575181077,0.07894736842105265
0.020288458,0.39215686274509803,19,GeniusBOABaselineNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.020840208,0.4117647058823529,20,LinearTBNegotiator@0,"(1, 7, 1, 'premium')",{},continuing,,,0.626977797868985,0.0851202079272255
0.020840208,0.4117647058823529,20,GeniusBOABaselineNegotiator@1,"(9, 2, 9, 'basic')",{},continuing,,,0.09974009096816115,0.9723846653671215
0.021378833,0.43137254901960786,21,LinearTBNegotiator@0,"(2, 7, 1, 'premium')",{},continuing,,,0.6094339382198622,0.10363872644574401
0.021378833,0.43137254901960786,21,GeniusBOABaselineNegotiator@1,"(9, 2, 9, 'basic')",{},continuing,,,0.09974009096816115,0.9723846653671215
0.021914833,0.45098039215686275,22,LinearTBNegotiator@0,"(4, 8, 3, 'basic')",{},continuing,,,0.5911894461584566,0.368421052631579
0.021914833,0.45098039215686275,22,GeniusBOABaselineNegotiator@1,"(9, 1, 7, 'basic')",{},continuing,,,0.15559416209238722,0.9649122807017545
0.022460875,0.47058823529411764,23,LinearTBNegotiator@0,"(5, 8, 3, 'basic')",{},continuing,,,0.5736455865093337,0.42397660818713456
0.022460875,0.47058823529411764,23,GeniusBOABaselineNegotiator@1,"(9, 2, 8, 'basic')",{},continuing,,,0.14359974009096818,0.9548408057179987
0.023004625,0.49019607843137253,24,LinearTBNegotiator@0,"(6, 8, 3, 'basic')",{},continuing,,,0.5561017268602109,0.4918778427550358
0.023004625,0.49019607843137253,24,GeniusBOABaselineNegotiator@1,"(9, 1, 6, 'basic')",{},continuing,,,0.16953439214483385,0.9473684210526316
0.023554458,0.5098039215686274,25,LinearTBNegotiator@0,"(8, 7, 5, 'standard')",{},continuing,,,0.5380116959064328,0.6143599740090968
0.023554458,0.5098039215686274,25,GeniusBOABaselineNegotiator@1,"(9, 2, 7, 'basic')",{},continuing,,,0.16176700159856006,0.937296946068876
0.024122166,0.5294117647058824,26,LinearTBNegotiator@0,"(9, 8, 1, 'basic')",{},continuing,,,0.5200902085252553,0.734567901234568
0.024122166,0.5294117647058824,26,GeniusBOABaselineNegotiator@1,"(9, 4, 9, 'basic')",{},continuing,,,0.14912280701754388,0.9269005847953218
0.024684833,0.5490196078431373,27,LinearTBNegotiator@0,"(2, 6, 0, 'basic')",{},continuing,,,0.50227420402859,0.2612085769980507
0.024684833,0.5490196078431373,27,GeniusBOABaselineNegotiator@1,"(9, 1, 4, 'basic')",{},continuing,,,0.19164040836987384,0.9122807017543859
0.0252625,0.5686274509803921,28,LinearTBNegotiator@0,"(3, 6, 0, 'basic')",{},continuing,,,0.4847303443794672,0.29207277452891495
0.0252625,0.5686274509803921,28,GeniusBOABaselineNegotiator@1,"(9, 2, 5, 'basic')",{},continuing,,,0.1874593892137752,0.9022092267706303
0.025855958,0.5882352941176471,29,LinearTBNegotiator@0,"(7, 7, 2, 'basic')",{},continuing,,,0.46691891715195577,0.5627030539311242
0.025855958,0.5882352941176471,29,GeniusBOABaselineNegotiator@1,"(9, 2, 4, 'basic')",{},continuing,,,0.1978132478760467,0.8846653671215075
0.026471041,0.6078431372549019,30,LinearTBNegotiator@0,"(7, 7, 4, 'basic')",{},continuing,,,0.4489503498903417,0.5977907732293698
0.027093791,0.6274509803921569,31,GeniusBOABaselineNegotiator@1,"(9, 10, 9, 'basic')",{'GeniusBOABaselineNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.5935672514619883,0.868421052631579
