time,relative_time,step,negotiator,offer,responses,state,text,data,BoulwareTBNegotiator@0,BoulwareTBNegotiator@1
0.031693542,0.5490196078431373,27,BoulwareTBNegotiator@0,"(2, 10, 5, 'standard')",{},continuing,,,0.9210526315789476,0.22936972059779082
0.031693542,0.5490196078431373,27,BoulwareTBNegotiator@1,"(9, 2, 6, 'basic')",{},continuing,,,0.17570723165100666,0.9197530864197532
0.0324415,0.5686274509803921,28,BoulwareTBNegotiator@0,"(0, 10, 3, 'premium')",{},continuing,,,0.9056793746834728,0.09941520467836258
0.0324415,0.5686274509803921,28,BoulwareTBNegotiator@1,"(9, 2, 5, 'basic')",{},continuing,,,0.1874593892137752,0.9022092267706303
0.033188709,0.5882352941176471,29,BoulwareTBNegotiator@0,"(3, 10, 6, 'standard')",{},continuing,,,0.8917566143670561,0.2777777777777778
0.033188709,0.5882352941176471,29,BoulwareTBNegotiator@1,"(9, 1, 8, 'standard')",{},continuing,,,0.25438596491228077,0.8888888888888888
0.033933792,0.6078431372549019,30,BoulwareTBNegotiator@0,"(3, 10, 0, 'premium')",{},continuing,,,0.8771929824561404,0.10233918128654972
0.033933792,0.6078431372549019,30,BoulwareTBNegotiator@1,"(9, 9, 9, 'basic')",{},continuing,,,0.48862897985705,0.8700454840805718
0.034749042,0.6274509803921569,31,BoulwareTBNegotiator@0,"(4, 10, 0, 'premium')",{},continuing,,,0.8596491228070176,0.14554905782975958
0.034749042,0.6274509803921569,31,BoulwareTBNegotiator@1,"(9, 9, 8, 'basic')",{},continuing,,,0.532488628979857,0.852501624431449
0.035592209,0.6470588235294118,32,BoulwareTBNegotiator@0,"(1, 10, 3, 'basic')",{},continuing,,,0.8413518893033558,0.269330734243015
0.035592209,0.6470588235294118,32,BoulwareTBNegotiator@1,"(9, 4, 9, 'standard')",{},continuing,,,0.2660818713450293,0.8333333333333334
0.036363709,0.6666666666666666,33,BoulwareTBNegotiator@0,"(3, 10, 6, 'premium')",{},continuing,,,0.8215811757705648,0.20760233918128657
0.036363709,0.6666666666666666,33,BoulwareTBNegotiator@1,"(9, 7, 5, 'basic')",{},continuing,,,0.4035087719298246,0.8128654970760234
0.037129584,0.6862745098039216,34,BoulwareTBNegotiator@0,"(7, 10, 1, 'premium')",{},continuing,,,0.7994924177520258,0.3667966211825861
0.037129584,0.6862745098039216,34,BoulwareTBNegotiator@1,"(9, 6, 3, 'basic')",{},continuing,,,0.35532199976469436,0.7891487979207279
0.037907084,0.7058823529411765,35,BoulwareTBNegotiator@0,"(1, 8, 1, 'standard')",{},continuing,,,0.777400150045723,0.14717348927875246
0.037907084,0.7058823529411765,35,BoulwareTBNegotiator@1,"(8, 10, 9, 'basic')",{},continuing,,,0.6111111111111112,0.7634827810266407
0.038673667,0.7254901960784313,36,BoulwareTBNegotiator@0,"(3, 8, 0, 'standard')",{},continuing,,,0.7498375568551008,0.17901234567901236
0.038673667,0.7254901960784313,36,BoulwareTBNegotiator@1,"(9, 6, 0, 'basic')",{},continuing,,,0.3794671864847304,0.7365172189733593
0.039455042,0.7450980392156863,37,BoulwareTBNegotiator@0,"(8, 9, 4, 'standard')",{},continuing,,,0.7212050607415437,0.5838206627680312
0.040260667,0.7647058823529411,38,BoulwareTBNegotiator@1,"(9, 9, 5, 'standard')",{'BoulwareTBNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.6933073424301495,0.7063027940220923
