time,relative_time,step,negotiator,offer,responses,state,text,data,ConcederTBNegotiator@0,SmartAspirationNegotiator@1
0.021480125,0.3333333333333333,16,SmartAspirationNegotiator@1,"(0, 10, 1, 'standard')",{},continuing,,,0.1345029239766082,0.9924748738923768
0.022190167,0.35294117647058826,17,ConcederTBNegotiator@0,"(4, 7, 2, 'standard')",{},continuing,,,0.2654320987654321,0.6365095604268096
0.022190167,0.35294117647058826,17,SmartAspirationNegotiator@1,"(0, 10, 1, 'standard')",{},continuing,,,0.1345029239766082,0.9924748738923768
0.022907083,0.37254901960784315,18,ConcederTBNegotiator@0,"(2, 6, 5, 'standard')",{},continuing,,,0.25536062378167645,0.5753736192332684
0.022907083,0.37254901960784315,18,SmartAspirationNegotiator@1,"(0, 10, 2, 'standard')",{},continuing,,,0.152046783625731,0.9844627768010787
0.023632167,0.39215686274509803,19,ConcederTBNegotiator@0,"(2, 2, 4, 'premium')",{},continuing,,,0.24561403508771928,0.36740389115090055
0.023632167,0.39215686274509803,19,SmartAspirationNegotiator@1,"(0, 10, 2, 'standard')",{},continuing,,,0.152046783625731,0.9844627768010787
0.024364292,0.4117647058823529,20,ConcederTBNegotiator@0,"(0, 6, 0, 'basic')",{},continuing,,,0.23651721897335937,0.5373619233268357
0.024364292,0.4117647058823529,20,SmartAspirationNegotiator@1,"(0, 10, 3, 'standard')",{},continuing,,,0.16959064327485382,0.975854813279964
0.0250805,0.43137254901960786,21,ConcederTBNegotiator@0,"(0, 5, 8, 'premium')",{},continuing,,,0.22774528914879794,0.4408706952566602
0.0250805,0.43137254901960786,21,SmartAspirationNegotiator@1,"(0, 10, 3, 'standard')",{},continuing,,,0.16959064327485382,0.975854813279964
0.025826292,0.45098039215686275,22,ConcederTBNegotiator@0,"(1, 6, 8, 'premium')",{},continuing,,,0.2192982456140351,0.47888239116309295
0.025826292,0.45098039215686275,22,SmartAspirationNegotiator@1,"(0, 10, 4, 'standard')",{},continuing,,,0.18713450292397665,0.9664942095394646
0.026590917,0.47058823529411764,23,ConcederTBNegotiator@0,"(2, 2, 2, 'premium')",{},continuing,,,0.21052631578947367,0.38537245841251455
0.026590917,0.47058823529411764,23,SmartAspirationNegotiator@1,"(1, 10, 3, 'standard')",{},continuing,,,0.17576348278102666,0.9583109536308412
0.027349708,0.49019607843137253,24,ConcederTBNegotiator@0,"(2, 6, 6, 'premium')",{},continuing,,,0.20272904483430798,0.49344602307400864
0.027349708,0.49019607843137253,24,SmartAspirationNegotiator@1,"(1, 10, 4, 'standard')",{},continuing,,,0.19330734243014946,0.9489503498903418
0.028131208,0.5098039215686274,25,ConcederTBNegotiator@0,"(1, 9, 8, 'premium')",{},continuing,,,0.19493177387914232,0.7196231319038336
0.028927208,0.5294117647058824,26,SmartAspirationNegotiator@1,"(2, 10, 3, 'standard')",{'SmartAspirationNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.19428200129954518,0.9407670939817185
