time,relative_time,step,negotiator,offer,responses,state,text,data,GeniusBOABaselineNegotiator@0,ConcederTBNegotiator@1
0.026130333,0.47058823529411764,23,ConcederTBNegotiator@1,"(5, 8, 2, 'premium')",{},continuing,,,0.661174346592731,0.18530641934897257
0.0268925,0.49019607843137253,24,GeniusBOABaselineNegotiator@0,"(0, 9, 0, 'standard')",{},continuing,,,0.9433109899070735,0.08510638297872342
0.0268925,0.49019607843137253,24,ConcederTBNegotiator@1,"(3, 9, 5, 'premium')",{},continuing,,,0.5114113483300127,0.17694126204764504
0.027696875,0.5098039215686274,25,GeniusBOABaselineNegotiator@0,"(0, 8, 0, 'standard')",{},continuing,,,0.9344718376321575,0.10474631751227496
0.027696875,0.5098039215686274,25,ConcederTBNegotiator@1,"(2, 9, 0, 'basic')",{},continuing,,,0.8142787318425575,0.16875795599199855
0.028471167,0.5294117647058824,26,GeniusBOABaselineNegotiator@0,"(0, 3, 0, 'premium')",{},continuing,,,0.9232683981793433,0.15384615384615385
0.028471167,0.5294117647058824,26,ConcederTBNegotiator@1,"(3, 8, 2, 'standard')",{},continuing,,,0.6611743465927311,0.16166575741043826
0.029233458,0.5490196078431373,27,GeniusBOABaselineNegotiator@0,"(1, 8, 0, 'standard')",{},continuing,,,0.9102782892450607,0.10929259865430078
0.029233458,0.5490196078431373,27,ConcederTBNegotiator@1,"(5, 9, 1, 'premium')",{},continuing,,,0.7640995203730234,0.1536643026004728
0.030017125,0.5686274509803921,28,GeniusBOABaselineNegotiator@0,"(2, 9, 0, 'standard')",{},continuing,,,0.89492389313288,0.10329150754682671
0.030017125,0.5686274509803921,28,ConcederTBNegotiator@1,"(5, 10, 2, 'premium')",{},continuing,,,0.6783154121863799,0.14602655028186945
0.030789875,0.5882352941176471,29,GeniusBOABaselineNegotiator@0,"(3, 10, 0, 'standard')",{},continuing,,,0.879032258064516,0.10638297872340426
0.031559292,0.6078431372549019,30,ConcederTBNegotiator@1,"(1, 4, 0, 'premium')",{'ConcederTBNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.9144540713339779,0.1387525004546281
