time,relative_time,step,negotiator,offer,responses,state,text,data,ConcederTBNegotiator@0,SmartAspirationNegotiator@1
0.022843333,0.35294117647058826,17,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.0236985,0.37254901960784315,18,ConcederTBNegotiator@0,"(2, 2, 9, 'basic')",{},continuing,,,0.23391812865497072,0.7660818713450293
0.0236985,0.37254901960784315,18,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.024514583,0.39215686274509803,19,ConcederTBNegotiator@0,"(2, 2, 9, 'basic')",{},continuing,,,0.23391812865497072,0.7660818713450293
0.024514583,0.39215686274509803,19,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.025326417,0.4117647058823529,20,ConcederTBNegotiator@0,"(9, 1, 2, 'basic')",{},continuing,,,0.20467836257309938,0.7953216374269005
0.025326417,0.4117647058823529,20,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.026114917,0.43137254901960786,21,ConcederTBNegotiator@0,"(9, 1, 2, 'basic')",{},continuing,,,0.20467836257309938,0.7953216374269005
0.026114917,0.43137254901960786,21,SmartAspirationNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.026948917,0.45098039215686275,22,ConcederTBNegotiator@0,"(9, 1, 2, 'basic')",{},continuing,,,0.20467836257309938,0.7953216374269005
0.026948917,0.45098039215686275,22,SmartAspirationNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.02776025,0.47058823529411764,23,ConcederTBNegotiator@0,"(7, 1, 5, 'basic')",{},continuing,,,0.17543859649122806,0.8245614035087718
0.02776025,0.47058823529411764,23,SmartAspirationNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.028558625,0.49019607843137253,24,ConcederTBNegotiator@0,"(7, 1, 5, 'basic')",{},continuing,,,0.17543859649122806,0.8245614035087718
0.028558625,0.49019607843137253,24,SmartAspirationNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.029382792,0.5098039215686274,25,ConcederTBNegotiator@0,"(7, 1, 5, 'basic')",{},continuing,,,0.17543859649122806,0.8245614035087718
0.029382792,0.5098039215686274,25,SmartAspirationNegotiator@1,"(9, 1, 7, 'basic')",{},continuing,,,0.05847953216374269,0.9415204678362572
0.030179125,0.5294117647058824,26,ConcederTBNegotiator@0,"(7, 1, 5, 'basic')",{},continuing,,,0.17543859649122806,0.8245614035087718
0.030179125,0.5294117647058824,26,SmartAspirationNegotiator@1,"(9, 1, 7, 'basic')",{},continuing,,,0.05847953216374269,0.9415204678362572
0.031009917,0.5490196078431373,27,ConcederTBNegotiator@0,"(8, 1, 5, 'basic')",{},continuing,,,0.14619883040935672,0.8538011695906432
0.031009917,0.5490196078431373,27,SmartAspirationNegotiator@1,"(9, 1, 6, 'basic')",{},continuing,,,0.08771929824561404,0.9122807017543859
0.03185225,0.5686274509803921,28,ConcederTBNegotiator@0,"(8, 1, 5, 'basic')",{},continuing,,,0.14619883040935672,0.8538011695906432
0.03185225,0.5686274509803921,28,SmartAspirationNegotiator@1,"(9, 2, 7, 'basic')",{},continuing,,,0.08771929824561403,0.9122807017543859
0.03266175,0.5882352941176471,29,ConcederTBNegotiator@0,"(8, 1, 5, 'basic')",{},continuing,,,0.14619883040935672,0.8538011695906432
0.03266175,0.5882352941176471,29,SmartAspirationNegotiator@1,"(9, 2, 6, 'basic')",{},continuing,,,0.11695906432748539,0.8830409356725146
0.033543208,0.6078431372549019,30,ConcederTBNegotiator@0,"(8, 1, 5, 'basic')",{},continuing,,,0.14619883040935672,0.8538011695906432
0.034388958,0.6274509803921569,31,SmartAspirationNegotiator@1,"(9, 2, 6, 'basic')",{'SmartAspirationNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.11695906432748539,0.8830409356725146
