time,relative_time,step,negotiator,offer,responses,state,text,data,GeniusBOABaselineNegotiator@0,ConcederTBNegotiator@1
0.015859792,0.13725490196078433,6,ConcederTBNegotiator@1,"(0, 2, 6, 'basic')",{},continuing,,,0.33360196849311197,0.4197530864197532
0.016478209,0.1568627450980392,7,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.016478209,0.1568627450980392,7,ConcederTBNegotiator@1,"(6, 6, 6, 'premium')",{},continuing,,,0.4232705844775174,0.4002599090318389
0.017100875,0.17647058823529413,8,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.017100875,0.17647058823529413,8,ConcederTBNegotiator@1,"(4, 1, 6, 'premium')",{},continuing,,,0.304037316121442,0.3823911630929175
0.017722459,0.19607843137254902,9,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.017722459,0.19607843137254902,9,ConcederTBNegotiator@1,"(1, 1, 1, 'basic')",{},continuing,,,0.3579719499157686,0.3658219623131904
0.018392459,0.21568627450980393,10,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.018392459,0.21568627450980393,10,ConcederTBNegotiator@1,"(2, 2, 6, 'standard')",{},continuing,,,0.41547331352235173,0.3508771929824561
0.019075209,0.23529411764705882,11,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.019075209,0.23529411764705882,11,ConcederTBNegotiator@1,"(3, 4, 6, 'standard')",{},continuing,,,0.4473121699226117,0.3362573099415205
0.019779417,0.2549019607843137,12,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.019779417,0.2549019607843137,12,ConcederTBNegotiator@1,"(5, 2, 1, 'premium')",{},continuing,,,0.3407529765564444,0.3226120857699805
0.020464917,0.27450980392156865,13,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.020464917,0.27450980392156865,13,ConcederTBNegotiator@1,"(4, 8, 9, 'premium')",{},continuing,,,0.5305393112410657,0.3099415204678363
0.021159167,0.29411764705882354,14,GeniusBOABaselineNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.021159167,0.29411764705882354,14,ConcederTBNegotiator@1,"(2, 2, 7, 'premium')",{},continuing,,,0.3313576448734139,0.2982456140350877
0.021863084,0.3137254901960784,15,GeniusBOABaselineNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.021863084,0.3137254901960784,15,ConcederTBNegotiator@1,"(3, 1, 3, 'premium')",{},continuing,,,0.35304779573610434,0.2865497076023392
0.022586792,0.3333333333333333,16,GeniusBOABaselineNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.022586792,0.3333333333333333,16,ConcederTBNegotiator@1,"(1, 8, 3, 'basic')",{},continuing,,,0.643821025105825,0.2758284600389864
0.02330525,0.35294117647058826,17,GeniusBOABaselineNegotiator@0,"(0, 10, 2, 'standard')",{},continuing,,,0.9844627768010787,0.152046783625731
