time,relative_time,step,negotiator,offer,responses,state,text,data,ConcederTBNegotiator@0,GeniusBOABaselineNegotiator@1
0.017290084,0.21568627450980393,10,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.017916584,0.23529411764705882,11,ConcederTBNegotiator@0,"(3, 4, 6, 'standard')",{},continuing,,,0.3362573099415205,0.4473121699226117
0.017916584,0.23529411764705882,11,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.018550167,0.2549019607843137,12,ConcederTBNegotiator@0,"(5, 2, 1, 'premium')",{},continuing,,,0.3226120857699805,0.3407529765564444
0.018550167,0.2549019607843137,12,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.019189209,0.27450980392156865,13,ConcederTBNegotiator@0,"(4, 8, 9, 'premium')",{},continuing,,,0.3099415204678363,0.5305393112410657
0.019189209,0.27450980392156865,13,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.019842459,0.29411764705882354,14,ConcederTBNegotiator@0,"(2, 2, 7, 'premium')",{},continuing,,,0.2982456140350877,0.3313576448734139
0.019842459,0.29411764705882354,14,GeniusBOABaselineNegotiator@1,"(0, 10, 1, 'standard')",{},continuing,,,0.1345029239766082,0.9924748738923768
0.020505709,0.3137254901960784,15,ConcederTBNegotiator@0,"(3, 1, 3, 'premium')",{},continuing,,,0.2865497076023392,0.35304779573610434
0.020505709,0.3137254901960784,15,GeniusBOABaselineNegotiator@1,"(0, 10, 1, 'standard')",{},continuing,,,0.1345029239766082,0.9924748738923768
0.021168875,0.3333333333333333,16,ConcederTBNegotiator@0,"(1, 8, 3, 'basic')",{},continuing,,,0.2758284600389864,0.643821025105825
0.021168875,0.3333333333333333,16,GeniusBOABaselineNegotiator@1,"(0, 10, 1, 'standard')",{},continuing,,,0.1345029239766082,0.9924748738923768
0.021837875,0.35294117647058826,17,ConcederTBNegotiator@0,"(4, 7, 2, 'standard')",{},continuing,,,0.2654320987654321,0.6365095604268096
0.021837875,0.35294117647058826,17,GeniusBOABaselineNegotiator@1,"(0, 10, 2, 'standard')",{},continuing,,,0.152046783625731,0.9844627768010787
0.022521167,0.37254901960784315,18,ConcederTBNegotiator@0,"(2, 6, 5, 'standard')",{},continuing,,,0.25536062378167645,0.5753736192332684
0.022521167,0.37254901960784315,18,GeniusBOABaselineNegotiator@1,"(1, 10, 0, 'standard')",{},continuing,,,0.12313190383365824,0.9824561403508771
0.023245292,0.39215686274509803,19,ConcederTBNegotiator@0,"(2, 2, 4, 'premium')",{},continuing,,,0.24561403508771928,0.36740389115090055
0.023245292,0.39215686274509803,19,GeniusBOABaselineNegotiator@1,"(1, 10, 0, 'standard')",{},continuing,,,0.12313190383365824,0.9824561403508771
0.024004084,0.4117647058823529,20,ConcederTBNegotiator@0,"(0, 6, 0, 'basic')",{},continuing,,,0.23651721897335937,0.5373619233268357
0.024004084,0.4117647058823529,20,GeniusBOABaselineNegotiator@1,"(1, 10, 1, 'standard')",{},continuing,,,0.14067576348278105,0.9749310142432539
0.024720792,0.43137254901960786,21,ConcederTBNegotiator@0,"(0, 5, 8, 'premium')",{},continuing,,,0.22774528914879794,0.4408706952566602
0.024720792,0.43137254901960786,21,GeniusBOABaselineNegotiator@1,"(1, 10, 2, 'standard')",{},continuing,,,0.15821962313190385,0.9669189171519559
0.025462625,0.45098039215686275,22,ConcederTBNegotiator@0,"(1, 6, 8, 'premium')",{},continuing,,,0.2192982456140351,0.47888239116309295
0.025462625,0.45098039215686275,22,GeniusBOABaselineNegotiator@1,"(2, 10, 0, 'standard')",{},continuing,,,0.14165042235217676,0.9649122807017545
0.026176917,0.47058823529411764,23,ConcederTBNegotiator@0,"(2, 2, 2, 'premium')",{},continuing,,,0.21052631578947367,0.38537245841251455
0.026893792,0.49019607843137253,24,GeniusBOABaselineNegotiator@1,"(0, 10, 5, 'standard')",{'GeniusBOABaselineNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.20467836257309946,0.9561403508771931
