time,relative_time,step,negotiator,offer,responses,state,text,data,GeniusBOABaselineNegotiator@0,LinearTBNegotiator@1
0.025470083,0.6078431372549019,30,GeniusBOABaselineNegotiator@0,"(1, 10, 0, 'standard')",{},continuing,,,0.8771929824561403,0.12280701754385964
0.025470083,0.6078431372549019,30,LinearTBNegotiator@1,"(4, 3, 3, 'premium')",{},continuing,,,0.5906432748538012,0.40935672514619875
0.02616825,0.6274509803921569,31,GeniusBOABaselineNegotiator@0,"(0, 9, 1, 'standard')",{},continuing,,,0.8479532163742689,0.15204678362573099
0.02616825,0.6274509803921569,31,LinearTBNegotiator@1,"(4, 3, 2, 'premium')",{},continuing,,,0.6198830409356725,0.3801169590643274
0.0268945,0.6470588235294118,32,GeniusBOABaselineNegotiator@0,"(0, 4, 0, 'premium')",{},continuing,,,0.8245614035087718,0.1754385964912281
0.0268945,0.6470588235294118,32,LinearTBNegotiator@1,"(2, 3, 0, 'standard')",{},continuing,,,0.6432748538011694,0.35672514619883033
0.027582417,0.6666666666666666,33,GeniusBOABaselineNegotiator@0,"(0, 7, 0, 'standard')",{},continuing,,,0.8187134502923976,0.18128654970760233
0.027582417,0.6666666666666666,33,LinearTBNegotiator@1,"(2, 3, 3, 'premium')",{},continuing,,,0.6491228070175438,0.35087719298245607
0.02827425,0.6862745098039216,34,GeniusBOABaselineNegotiator@0,"(1, 9, 2, 'standard')",{},continuing,,,0.7894736842105262,0.21052631578947367
0.02827425,0.6862745098039216,34,LinearTBNegotiator@1,"(0, 6, 7, 'premium')",{},continuing,,,0.6783625730994152,0.3216374269005847
0.029019042,0.7058823529411765,35,GeniusBOABaselineNegotiator@0,"(2, 7, 0, 'standard')",{},continuing,,,0.7602339181286548,0.23976608187134502
0.029019042,0.7058823529411765,35,LinearTBNegotiator@1,"(0, 10, 7, 'standard')",{},continuing,,,0.7017543859649122,0.29824561403508765
0.029788708,0.7254901960784313,36,GeniusBOABaselineNegotiator@0,"(1, 7, 2, 'standard')",{},continuing,,,0.7309941520467835,0.26900584795321636
0.03053325,0.7450980392156863,37,LinearTBNegotiator@1,"(7, 8, 1, 'premium')",{'LinearTBNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.7076023391812865,0.2923976608187134
