time,relative_time,step,negotiator,offer,responses,state,text,data,GeniusBOABaselineNegotiator@0,LinearTBNegotiator@1
0.0,0.0196078431372549,0,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.0,0.0196078431372549,0,LinearTBNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.011762333,0.0392156862745098,1,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.011762333,0.0392156862745098,1,LinearTBNegotiator@1,"(9, 1, 7, 'basic')",{},continuing,,,0.15559416209238722,0.9649122807017545
0.01222675,0.058823529411764705,2,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.01222675,0.058823529411764705,2,LinearTBNegotiator@1,"(9, 1, 6, 'basic')",{},continuing,,,0.16953439214483385,0.9473684210526316
0.012698166,0.0784313725490196,3,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.012698166,0.0784313725490196,3,LinearTBNegotiator@1,"(9, 4, 9, 'basic')",{},continuing,,,0.14912280701754388,0.9269005847953218
0.013154333,0.09803921568627451,4,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.013154333,0.09803921568627451,4,LinearTBNegotiator@1,"(9, 5, 9, 'basic')",{},continuing,,,0.19233268356075373,0.9090318388564003
0.013615041,0.11764705882352941,5,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.013615041,0.11764705882352941,5,LinearTBNegotiator@1,"(9, 1, 8, 'standard')",{},continuing,,,0.25438596491228077,0.8888888888888888
0.014081083,0.13725490196078433,6,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.014081083,0.13725490196078433,6,LinearTBNegotiator@1,"(9, 9, 9, 'basic')",{},continuing,,,0.48862897985705,0.8700454840805718
0.014538916,0.1568627450980392,7,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.014538916,0.1568627450980392,7,LinearTBNegotiator@1,"(9, 10, 8, 'basic')",{},continuing,,,0.6374269005847953,0.8508771929824561
0.014996083,0.17647058823529413,8,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.014996083,0.17647058823529413,8,LinearTBNegotiator@1,"(9, 2, 1, 'basic')",{},continuing,,,0.22379391222895895,0.8320337881741391
0.015458583,0.19607843137254902,9,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.015458583,0.19607843137254902,9,LinearTBNegotiator@1,"(9, 2, 0, 'basic')",{},continuing,,,0.23131903833658224,0.8144899285250162
0.015916875,0.21568627450980393,10,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.015916875,0.21568627450980393,10,LinearTBNegotiator@1,"(9, 7, 4, 'basic')",{},continuing,,,0.41386263059209605,0.7953216374269005
0.016377583,0.23529411764705882,11,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.016377583,0.23529411764705882,11,LinearTBNegotiator@1,"(9, 9, 9, 'standard')",{},continuing,,,0.6055880441845354,0.7764782326185835
0.01684225,0.2549019607843137,12,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.01684225,0.2549019607843137,12,LinearTBNegotiator@1,"(9, 10, 8, 'standard')",{},continuing,,,0.7543859649122808,0.7573099415204678
0.017338416,0.27450980392156865,13,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.017338416,0.27450980392156865,13,LinearTBNegotiator@1,"(9, 2, 1, 'standard')",{},continuing,,,0.3407529765564444,0.7384665367121508
0.017838208,0.29411764705882354,14,GeniusBOABaselineNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.017838208,0.29411764705882354,14,LinearTBNegotiator@1,"(8, 3, 2, 'basic')",{},continuing,,,0.2518441933053021,0.7202729044834308
0.018332833,0.3137254901960784,15,GeniusBOABaselineNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.018332833,0.3137254901960784,15,LinearTBNegotiator@1,"(8, 6, 4, 'basic')",{},continuing,,,0.36350525567331765,0.7017543859649122
0.018833041,0.3333333333333333,16,GeniusBOABaselineNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.018833041,0.3333333333333333,16,LinearTBNegotiator@1,"(8, 8, 4, 'basic')",{},continuing,,,0.5116534038214658,0.6822612085769981
0.019362208,0.35294117647058826,17,GeniusBOABaselineNegotiator@0,"(0, 10, 2, 'standard')",{},continuing,,,0.9844627768010787,0.152046783625731
0.019362208,0.35294117647058826,17,LinearTBNegotiator@1,"(8, 5, 1, 'basic')",{},continuing,,,0.33393036447067437,0.6637426900584795
