time,relative_time,step,negotiator,offer,responses,state,text,data,LinearTBNegotiator@0,BoulwareTBNegotiator@1
0.028805792,0.45098039215686275,22,LinearTBNegotiator@0,"(4, 8, 3, 'basic')",{},continuing,,,0.5911894461584566,0.368421052631579
0.028805792,0.45098039215686275,22,BoulwareTBNegotiator@1,"(9, 1, 7, 'basic')",{},continuing,,,0.15559416209238722,0.9649122807017545
0.029640875,0.47058823529411764,23,LinearTBNegotiator@0,"(5, 8, 3, 'basic')",{},continuing,,,0.5736455865093337,0.42397660818713456
0.029640875,0.47058823529411764,23,BoulwareTBNegotiator@1,"(9, 2, 8, 'basic')",{},continuing,,,0.14359974009096818,0.9548408057179987
0.0305095,0.49019607843137253,24,LinearTBNegotiator@0,"(6, 8, 3, 'basic')",{},continuing,,,0.5561017268602109,0.4918778427550358
0.0305095,0.49019607843137253,24,BoulwareTBNegotiator@1,"(9, 1, 6, 'basic')",{},continuing,,,0.16953439214483385,0.9473684210526316
0.03139525,0.5098039215686274,25,LinearTBNegotiator@0,"(8, 7, 5, 'standard')",{},continuing,,,0.5380116959064328,0.6143599740090968
0.03139525,0.5098039215686274,25,BoulwareTBNegotiator@1,"(9, 2, 7, 'basic')",{},continuing,,,0.16176700159856006,0.937296946068876
0.032267167,0.5294117647058824,26,LinearTBNegotiator@0,"(9, 8, 1, 'basic')",{},continuing,,,0.5200902085252553,0.734567901234568
0.032267167,0.5294117647058824,26,BoulwareTBNegotiator@1,"(9, 4, 9, 'basic')",{},continuing,,,0.14912280701754388,0.9269005847953218
0.033148042,0.5490196078431373,27,LinearTBNegotiator@0,"(2, 6, 0, 'basic')",{},continuing,,,0.50227420402859,0.2612085769980507
0.033148042,0.5490196078431373,27,BoulwareTBNegotiator@1,"(9, 2, 6, 'basic')",{},continuing,,,0.17570723165100666,0.9197530864197532
0.034054584,0.5686274509803921,28,LinearTBNegotiator@0,"(3, 6, 0, 'basic')",{},continuing,,,0.4847303443794672,0.29207277452891495
0.034054584,0.5686274509803921,28,BoulwareTBNegotiator@1,"(9, 2, 5, 'basic')",{},continuing,,,0.1874593892137752,0.9022092267706303
0.034963292,0.5882352941176471,29,LinearTBNegotiator@0,"(7, 7, 2, 'basic')",{},continuing,,,0.46691891715195577,0.5627030539311242
0.034963292,0.5882352941176471,29,BoulwareTBNegotiator@1,"(9, 1, 8, 'standard')",{},continuing,,,0.25438596491228077,0.8888888888888888
0.035870584,0.6078431372549019,30,LinearTBNegotiator@0,"(7, 7, 4, 'basic')",{},continuing,,,0.4489503498903417,0.5977907732293698
0.036806625,0.6274509803921569,31,BoulwareTBNegotiator@1,"(9, 9, 9, 'basic')",{'BoulwareTBNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.48862897985705,0.8700454840805718
