time,relative_time,step,negotiator,offer,responses,state,text,data,SmartAspirationNegotiator@0,SmartAspirationNegotiator@1
0.013008083,0.21568627450980393,10,SmartAspirationNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.013008083,0.21568627450980393,10,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.013191625,0.23529411764705882,11,SmartAspirationNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.013191625,0.23529411764705882,11,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.013377292,0.2549019607843137,12,SmartAspirationNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.013377292,0.2549019607843137,12,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.013568167,0.27450980392156865,13,SmartAspirationNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.013568167,0.27450980392156865,13,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.013752958,0.29411764705882354,14,SmartAspirationNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,1.0,0.1169590643274854
0.013752958,0.29411764705882354,14,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.013938583,0.3137254901960784,15,SmartAspirationNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.013938583,0.3137254901960784,15,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.014154792,0.3333333333333333,16,SmartAspirationNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.014154792,0.3333333333333333,16,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.014344208,0.35294117647058826,17,SmartAspirationNegotiator@0,"(0, 10, 1, 'standard')",{},continuing,,,0.9924748738923768,0.1345029239766082
0.014344208,0.35294117647058826,17,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.014530958,0.37254901960784315,18,SmartAspirationNegotiator@0,"(0, 10, 2, 'standard')",{},continuing,,,0.9844627768010787,0.152046783625731
0.014530958,0.37254901960784315,18,SmartAspirationNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.014720208,0.39215686274509803,19,SmartAspirationNegotiator@0,"(1, 10, 0, 'standard')",{},continuing,,,0.9824561403508771,0.12313190383365824
0.014720208,0.39215686274509803,19,SmartAspirationNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.014912625,0.4117647058823529,20,SmartAspirationNegotiator@0,"(1, 10, 1, 'standard')",{},continuing,,,0.9749310142432539,0.14067576348278105
0.014912625,0.4117647058823529,20,SmartAspirationNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.01510525,0.43137254901960786,21,SmartAspirationNegotiator@0,"(1, 10, 1, 'standard')",{},continuing,,,0.9749310142432539,0.14067576348278105
0.01510525,0.43137254901960786,21,SmartAspirationNegotiator@1,"(9, 2, 9, 'basic')",{},continuing,,,0.09974009096816115,0.9723846653671215
0.015296625,0.45098039215686275,22,SmartAspirationNegotiator@0,"(2, 10, 0, 'standard')",{},continuing,,,0.9649122807017545,0.14165042235217676
0.015296625,0.45098039215686275,22,SmartAspirationNegotiator@1,"(9, 2, 9, 'basic')",{},continuing,,,0.09974009096816115,0.9723846653671215
0.015491667,0.47058823529411764,23,SmartAspirationNegotiator@0,"(2, 10, 1, 'standard')",{},continuing,,,0.9573871545941313,0.15919428200129956
0.015491667,0.47058823529411764,23,SmartAspirationNegotiator@1,"(9, 2, 8, 'basic')",{},continuing,,,0.14359974009096818,0.9548408057179987
0.015690042,0.49019607843137253,24,SmartAspirationNegotiator@0,"(2, 10, 2, 'standard')",{},continuing,,,0.949375057502833,0.17673814165042237
0.015690042,0.49019607843137253,24,SmartAspirationNegotiator@1,"(9, 3, 9, 'basic')",{},continuing,,,0.11825860948667967,0.9480181936322287
0.015891042,0.5098039215686274,25,SmartAspirationNegotiator@0,"(3, 10, 1, 'standard')",{},continuing,,,0.9398432949450084,0.19005847953216376
0.015891042,0.5098039215686274,25,SmartAspirationNegotiator@1,"(9, 3, 9, 'basic')",{},continuing,,,0.11825860948667967,0.9480181936322287
0.016095792,0.5294117647058824,26,SmartAspirationNegotiator@0,"(4, 10, 0, 'standard')",{},continuing,,,0.9298245614035088,0.21572449642625083
0.016095792,0.5294117647058824,26,SmartAspirationNegotiator@1,"(9, 4, 9, 'basic')",{},continuing,,,0.14912280701754388,0.9269005847953218
0.016304042,0.5490196078431373,27,SmartAspirationNegotiator@0,"(4, 10, 1, 'standard')",{},continuing,,,0.9222994352958855,0.23326835607537363
0.016304042,0.5490196078431373,27,SmartAspirationNegotiator@1,"(9, 4, 9, 'basic')",{},continuing,,,0.14912280701754388,0.9269005847953218
0.016516417,0.5686274509803921,28,SmartAspirationNegotiator@0,"(5, 10, 0, 'standard')",{},continuing,,,0.9122807017543859,0.2712800519818064
0.016516417,0.5686274509803921,28,SmartAspirationNegotiator@1,"(9, 5, 9, 'basic')",{},continuing,,,0.19233268356075373,0.9090318388564003
0.016738125,0.5882352941176471,29,SmartAspirationNegotiator@0,"(6, 10, 0, 'standard')",{},continuing,,,0.8947368421052633,0.33918128654970764
0.016738125,0.5882352941176471,29,SmartAspirationNegotiator@1,"(9, 6, 9, 'basic')",{},continuing,,,0.2478882391163093,0.8944119558154646
0.016968708,0.6078431372549019,30,SmartAspirationNegotiator@0,"(7, 10, 0, 'standard')",{},continuing,,,0.8771929824561404,0.4194282001299545
0.016968708,0.6078431372549019,30,SmartAspirationNegotiator@1,"(9, 9, 9, 'basic')",{},continuing,,,0.48862897985705,0.8700454840805718
0.017215792,0.6274509803921569,31,SmartAspirationNegotiator@0,"(8, 10, 0, 'standard')",{},continuing,,,0.8596491228070176,0.5120207927225471
0.017215792,0.6274509803921569,31,SmartAspirationNegotiator@1,"(9, 10, 9, 'basic')",{},continuing,,,0.5935672514619883,0.868421052631579
0.017485542,0.6470588235294118,32,SmartAspirationNegotiator@0,"(9, 10, 0, 'standard')",{},continuing,,,0.8421052631578947,0.6169590643274854
0.017485542,0.6470588235294118,32,SmartAspirationNegotiator@1,"(9, 10, 7, 'basic')",{},continuing,,,0.6555941620923872,0.8333333333333335
0.017780542,0.6666666666666666,33,SmartAspirationNegotiator@0,"(9, 10, 2, 'standard')",{},continuing,,,0.8265680399589734,0.652046783625731
0.017780542,0.6666666666666666,33,SmartAspirationNegotiator@1,"(9, 10, 6, 'basic')",{},continuing,,,0.6695343921448338,0.8157894736842106
0.018106667,0.6862745098039216,34,SmartAspirationNegotiator@0,"(9, 10, 4, 'standard')",{},continuing,,,0.8085994726973593,0.6871345029239766
0.018106667,0.6862745098039216,34,SmartAspirationNegotiator@1,"(9, 10, 5, 'basic')",{},continuing,,,0.6812865497076024,0.7982456140350878
0.018491542,0.7058823529411765,35,SmartAspirationNegotiator@0,"(9, 10, 6, 'standard')",{},continuing,,,0.7864934564723192,0.7222222222222222
0.018491542,0.7058823529411765,35,SmartAspirationNegotiator@1,"(9, 10, 9, 'standard')",{},continuing,,,0.7105263157894737,0.7748538011695907
0.018933042,0.7254901960784313,36,SmartAspirationNegotiator@0,"(9, 10, 8, 'standard')",{'SmartAspirationNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.7543859649122808,0.7573099415204678
