time,relative_time,step,negotiator,offer,responses,state,text,data,LinearTBNegotiator@0,BoulwareTBNegotiator@1
0.019088667,0.21568627450980393,10,LinearTBNegotiator@0,"(1, 4, 0, 'basic')",{},continuing,,,0.7854218132694618,0.25331878523367884
0.019088667,0.21568627450980393,10,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,0.9999999999999999
0.019834417,0.23529411764705882,11,LinearTBNegotiator@0,"(9, 8, 0, 'premium')",{},continuing,,,0.7651169989224802,0.4238952536824877
0.019834417,0.23529411764705882,11,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,0.9999999999999999
0.020592417,0.2549019607843137,12,LinearTBNegotiator@0,"(9, 6, 0, 'premium')",{},continuing,,,0.7452936118145059,0.46317512274959083
0.020592417,0.2549019607843137,12,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,0.9999999999999999
0.021358959,0.27450980392156865,13,LinearTBNegotiator@0,"(0, 1, 0, 'basic')",{},continuing,,,0.7258064516129032,0.3076923076923077
0.021358959,0.27450980392156865,13,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,0.9999999999999999
0.022132042,0.29411764705882354,14,LinearTBNegotiator@0,"(7, 8, 1, 'premium')",{},continuing,,,0.7068732713239138,0.2824149845426442
0.022132042,0.29411764705882354,14,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,0.9999999999999999
0.022913,0.3137254901960784,15,LinearTBNegotiator@0,"(4, 4, 1, 'standard')",{},continuing,,,0.6868555050257341,0.2600472813238771
0.022913,0.3137254901960784,15,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,0.9999999999999999
0.023694959,0.3333333333333333,16,LinearTBNegotiator@0,"(9, 9, 1, 'premium')",{},continuing,,,0.6673253268246363,0.4082560465539189
0.023694959,0.3333333333333333,16,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,0.9999999999999999
0.024469709,0.35294117647058826,17,LinearTBNegotiator@0,"(0, 10, 4, 'premium')",{},continuing,,,0.6487455197132616,0.08037825059101655
0.024469709,0.35294117647058826,17,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,0.9999999999999999
0.025263,0.37254901960784315,18,LinearTBNegotiator@0,"(1, 8, 3, 'standard')",{},continuing,,,0.6280202247289317,0.1452991452991453
0.025263,0.37254901960784315,18,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,0.9999999999999999
0.026122834,0.39215686274509803,19,LinearTBNegotiator@0,"(3, 6, 3, 'premium')",{},continuing,,,0.6081968376209577,0.1718494271685761
0.026122834,0.39215686274509803,19,BoulwareTBNegotiator@1,"(9, 2, 9, 'basic')",{},continuing,,,0.04838709677419354,0.9803600654664483
0.026945042,0.4117647058823529,20,LinearTBNegotiator@0,"(6, 8, 2, 'standard')",{},continuing,,,0.5885937014314406,0.2844153482451355
0.026945042,0.4117647058823529,20,BoulwareTBNegotiator@1,"(9, 2, 9, 'basic')",{},continuing,,,0.04838709677419354,0.9803600654664483
0.027768417,0.43137254901960786,21,LinearTBNegotiator@0,"(1, 3, 2, 'basic')",{},continuing,,,0.5693257458495942,0.2889616293871613
0.027768417,0.43137254901960786,21,BoulwareTBNegotiator@1,"(9, 2, 9, 'basic')",{},continuing,,,0.04838709677419354,0.9803600654664483
0.028585584,0.45098039215686275,22,LinearTBNegotiator@0,"(3, 7, 4, 'premium')",{},continuing,,,0.5495272814608347,0.18021458446990363
0.028585584,0.45098039215686275,22,BoulwareTBNegotiator@1,"(9, 3, 9, 'basic')",{},continuing,,,0.06842968850192394,0.9607201309328969
0.029426125,0.47058823529411764,23,LinearTBNegotiator@0,"(9, 1, 1, 'premium')",{},continuing,,,0.5304659498207884,0.5653755228223313
0.029426125,0.47058823529411764,23,BoulwareTBNegotiator@1,"(9, 3, 9, 'basic')",{},continuing,,,0.06842968850192394,0.9607201309328969
0.030267042,0.49019607843137253,24,LinearTBNegotiator@0,"(3, 8, 4, 'standard')",{},continuing,,,0.5106367121841289,0.20967448627023094
0.030267042,0.49019607843137253,24,BoulwareTBNegotiator@1,"(9, 3, 9, 'basic')",{},continuing,,,0.06842968850192394,0.9607201309328969
0.031106542,0.5098039215686274,25,LinearTBNegotiator@0,"(5, 6, 4, 'premium')",{},continuing,,,0.4908133250761547,0.2725950172758684
0.031106542,0.5098039215686274,25,BoulwareTBNegotiator@1,"(9, 1, 9, 'standard')",{},continuing,,,0.08064516129032256,0.9345335515548281
0.031944792,0.5294117647058824,26,LinearTBNegotiator@0,"(7, 9, 4, 'premium')",{},continuing,,,0.4710887676848515,0.32278596108383345
0.031944792,0.5294117647058824,26,BoulwareTBNegotiator@1,"(8, 1, 9, 'basic')",{},continuing,,,0.024193548387096784,0.9227132205855609
0.0328015,0.5490196078431373,27,LinearTBNegotiator@0,"(0, 8, 7, 'standard')",{},continuing,,,0.4514969272378923,0.30078196035642846
0.0328015,0.5490196078431373,27,BoulwareTBNegotiator@1,"(9, 2, 8, 'basic')",{},continuing,,,0.0546594982078853,0.912347699581742
0.033678959,0.5686274509803921,28,LinearTBNegotiator@0,"(0, 8, 8, 'standard')",{},continuing,,,0.43267972293681706,0.36079287143116934
0.033678959,0.5686274509803921,28,BoulwareTBNegotiator@1,"(9, 6, 9, 'basic')",{},continuing,,,0.10819683762095757,0.9018003273322422
0.034631584,0.5882352941176471,29,LinearTBNegotiator@0,"(1, 7, 5, 'basic')",{},continuing,,,0.4124305072672864,0.29441716675759233
0.034631584,0.5882352941176471,29,BoulwareTBNegotiator@1,"(9, 7, 9, 'basic')",{},continuing,,,0.1185236972314441,0.8821603927986906
0.035563292,0.6078431372549019,30,LinearTBNegotiator@0,"(3, 7, 9, 'premium')",{},continuing,,,0.3927172456185409,0.4402618657937807
0.035563292,0.6078431372549019,30,BoulwareTBNegotiator@1,"(9, 2, 9, 'premium')",{},continuing,,,0.17741935483870966,0.8657937806873975
0.036472792,0.6274509803921569,31,LinearTBNegotiator@0,"(3, 8, 5, 'basic')",{},continuing,,,0.37353993799058055,0.31114748136024734
0.036472792,0.6274509803921569,31,BoulwareTBNegotiator@1,"(9, 2, 7, 'basic')",{},continuing,,,0.07347670250896056,0.8523367885070012
0.03740575,0.6470588235294118,32,LinearTBNegotiator@0,"(3, 6, 5, 'basic')",{},continuing,,,0.35371655088260634,0.35042735042735046
0.03740575,0.6470588235294118,32,BoulwareTBNegotiator@1,"(9, 3, 7, 'basic')",{},continuing,,,0.09351929423669096,0.8326968539734497
0.03835,0.6666666666666666,33,LinearTBNegotiator@0,"(5, 9, 5, 'basic')",{},continuing,,,0.33399199349130304,0.36424804509910896
0.03835,0.6666666666666666,33,BoulwareTBNegotiator@1,"(9, 1, 7, 'standard')",{},continuing,,,0.10573476702508959,0.8065102745953809
0.039300417,0.6862745098039216,34,LinearTBNegotiator@0,"(0, 5, 9, 'basic')",{},continuing,,,0.314516129032258,0.5531914893617021
0.039300417,0.6862745098039216,34,BoulwareTBNegotiator@1,"(8, 8, 9, 'basic')",{},continuing,,,0.15221377311602857,0.7852336788507001
0.0402755,0.7058823529411765,35,LinearTBNegotiator@0,"(4, 3, 7, 'standard')",{},continuing,,,0.29513219746249736,0.4717221312965994
0.0402755,0.7058823529411765,35,BoulwareTBNegotiator@1,"(6, 3, 9, 'basic')",{},continuing,,,0.14101033366321425,0.7561374795417348
0.041259125,0.7254901960784313,36,LinearTBNegotiator@0,"(9, 7, 4, 'basic')",{},continuing,,,0.275333733073738,0.6221131114748135
0.041259125,0.7254901960784313,36,BoulwareTBNegotiator@1,"(6, 1, 8, 'basic')",{},continuing,,,0.07885304659498209,0.7274049827241317
0.042329459,0.7450980392156863,37,LinearTBNegotiator@0,"(9, 7, 6, 'standard')",{},continuing,,,0.25562047142499245,0.6366612111292962
0.042329459,0.7450980392156863,37,BoulwareTBNegotiator@1,"(6, 6, 9, 'basic')",{},continuing,,,0.1807774827822479,0.6972176759410802
0.043344167,0.7647058823529411,38,LinearTBNegotiator@0,"(6, 4, 9, 'standard')",{'LinearTBNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.23703471649526825,0.6710310965630115
