time,relative_time,step,negotiator,offer,responses,state,text,data,BoulwareTBNegotiator@0,LinearTBNegotiator@1
0.035003792,0.5882352941176471,29,LinearTBNegotiator@1,"(6, 8, 0, 'basic')",{},continuing,,,0.5802469135802469,0.4392462638076674
0.035904667,0.6078431372549019,30,BoulwareTBNegotiator@0,"(3, 10, 0, 'premium')",{},continuing,,,0.8771929824561404,0.10233918128654972
0.035904667,0.6078431372549019,30,LinearTBNegotiator@1,"(7, 9, 4, 'premium')",{},continuing,,,0.6685734817941753,0.4210526315789474
0.036832125,0.6274509803921569,31,BoulwareTBNegotiator@0,"(4, 10, 0, 'premium')",{},continuing,,,0.8596491228070176,0.14554905782975958
0.036832125,0.6274509803921569,31,LinearTBNegotiator@1,"(7, 10, 3, 'premium')",{},continuing,,,0.7828723571396131,0.4018843404808317
0.037777042,0.6470588235294118,32,BoulwareTBNegotiator@0,"(1, 10, 3, 'basic')",{},continuing,,,0.8413518893033558,0.269330734243015
0.037777042,0.6470588235294118,32,LinearTBNegotiator@1,"(1, 1, 2, 'basic')",{},continuing,,,0.3499598528244704,0.3833658219623133
0.038687834,0.6666666666666666,33,BoulwareTBNegotiator@0,"(3, 10, 6, 'premium')",{},continuing,,,0.8215811757705648,0.20760233918128657
0.038687834,0.6666666666666666,33,LinearTBNegotiator@1,"(5, 5, 3, 'standard')",{},continuing,,,0.48690094713311544,0.36452241715399614
0.03963175,0.6862745098039216,34,BoulwareTBNegotiator@0,"(7, 10, 1, 'premium')",{'BoulwareTBNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.7994924177520258,0.3667966211825861
