time,relative_time,step,negotiator,offer,responses,state,text,data,GeniusBOABaselineNegotiator@0,BoulwareTBNegotiator@1
0.018906792,0.43137254901960786,21,BoulwareTBNegotiator@1,"(8, 2, 9, 'basic')",{},continuing,,,0.05291005291005292,0.9682539682539683
0.019334125,0.45098039215686275,22,GeniusBOABaselineNegotiator@0,"(0, 10, 1, 'premium')",{},continuing,,,0.9682539682539681,0.19047619047619047
0.019334125,0.45098039215686275,22,BoulwareTBNegotiator@1,"(8, 2, 9, 'basic')",{},continuing,,,0.05291005291005292,0.9682539682539683
0.019795334,0.47058823529411764,23,GeniusBOABaselineNegotiator@0,"(0, 10, 1, 'premium')",{},continuing,,,0.9682539682539681,0.19047619047619047
0.019795334,0.47058823529411764,23,BoulwareTBNegotiator@1,"(7, 2, 9, 'basic')",{},continuing,,,0.07936507936507937,0.9523809523809524
0.020247042,0.49019607843137253,24,GeniusBOABaselineNegotiator@0,"(1, 10, 1, 'premium')",{},continuing,,,0.9417989417989419,0.20634920634920634
0.020247042,0.49019607843137253,24,BoulwareTBNegotiator@1,"(7, 2, 9, 'basic')",{},continuing,,,0.07936507936507937,0.9523809523809524
0.020692417,0.5098039215686274,25,GeniusBOABaselineNegotiator@0,"(0, 10, 2, 'premium')",{},continuing,,,0.9365079365079365,0.2595117842050396
0.020692417,0.5098039215686274,25,BoulwareTBNegotiator@1,"(6, 2, 9, 'basic')",{},continuing,,,0.10582010582010584,0.9365079365079365
0.021138042,0.5294117647058824,26,GeniusBOABaselineNegotiator@0,"(0, 10, 0, 'standard')",{},continuing,,,0.9206349206349206,0.09523809523809523
0.021138042,0.5294117647058824,26,BoulwareTBNegotiator@1,"(7, 2, 8, 'basic')",{},continuing,,,0.11111111111111113,0.923785473171984
0.021590542,0.5490196078431373,27,GeniusBOABaselineNegotiator@0,"(1, 10, 2, 'premium')",{},continuing,,,0.91005291005291,0.27538480007805555
0.021590542,0.5490196078431373,27,BoulwareTBNegotiator@1,"(5, 2, 9, 'basic')",{},continuing,,,0.1322751322751323,0.9206349206349206
0.022042042,0.5686274509803921,28,GeniusBOABaselineNegotiator@0,"(0, 9, 0, 'standard')",{},continuing,,,0.8941798941798942,0.1111111111111111
0.022042042,0.5686274509803921,28,BoulwareTBNegotiator@1,"(3, 1, 9, 'basic')",{},continuing,,,0.15873015873015878,0.9047619047619048
