time,relative_time,step,negotiator,offer,responses,state,text,data,BoulwareTBNegotiator@0,GeniusBOABaselineNegotiator@1
0.01463525,0.1568627450980392,7,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.0150525,0.17647058823529413,8,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.0150525,0.17647058823529413,8,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.015472083,0.19607843137254902,9,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.015472083,0.19607843137254902,9,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.015883292,0.21568627450980393,10,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.015883292,0.21568627450980393,10,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.016300375,0.23529411764705882,11,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.016300375,0.23529411764705882,11,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.016717375,0.2549019607843137,12,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.016717375,0.2549019607843137,12,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.017128333,0.27450980392156865,13,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.017128333,0.27450980392156865,13,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.1169590643274854,1.0
0.017546417,0.29411764705882354,14,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.017546417,0.29411764705882354,14,GeniusBOABaselineNegotiator@1,"(0, 10, 1, 'standard')",{},continuing,,,0.1345029239766082,0.9924748738923768
0.017962625,0.3137254901960784,15,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.017962625,0.3137254901960784,15,GeniusBOABaselineNegotiator@1,"(0, 10, 1, 'standard')",{},continuing,,,0.1345029239766082,0.9924748738923768
0.018376958,0.3333333333333333,16,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.018376958,0.3333333333333333,16,GeniusBOABaselineNegotiator@1,"(0, 10, 1, 'standard')",{},continuing,,,0.1345029239766082,0.9924748738923768
0.018828208,0.35294117647058826,17,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.018828208,0.35294117647058826,17,GeniusBOABaselineNegotiator@1,"(0, 10, 2, 'standard')",{},continuing,,,0.152046783625731,0.9844627768010787
0.019247417,0.37254901960784315,18,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9824561403508771,0.13742690058479534
0.019247417,0.37254901960784315,18,GeniusBOABaselineNegotiator@1,"(1, 10, 0, 'standard')",{},continuing,,,0.12313190383365824,0.9824561403508771
0.019686792,0.39215686274509803,19,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9824561403508771,0.13742690058479534
0.019686792,0.39215686274509803,19,GeniusBOABaselineNegotiator@1,"(1, 10, 0, 'standard')",{},continuing,,,0.12313190383365824,0.9824561403508771
0.020118375,0.4117647058823529,20,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9824561403508771,0.13742690058479534
0.020118375,0.4117647058823529,20,GeniusBOABaselineNegotiator@1,"(1, 10, 1, 'standard')",{},continuing,,,0.14067576348278105,0.9749310142432539
0.02059075,0.43137254901960786,21,BoulwareTBNegotiator@0,"(9, 2, 9, 'basic')",{},continuing,,,0.9723846653671215,0.09974009096816115
0.02059075,0.43137254901960786,21,GeniusBOABaselineNegotiator@1,"(1, 10, 2, 'standard')",{},continuing,,,0.15821962313190385,0.9669189171519559
0.021021583,0.45098039215686275,22,BoulwareTBNegotiator@0,"(9, 1, 7, 'basic')",{},continuing,,,0.9649122807017545,0.15559416209238722
0.021021583,0.45098039215686275,22,GeniusBOABaselineNegotiator@1,"(2, 10, 0, 'standard')",{},continuing,,,0.14165042235217676,0.9649122807017545
0.021461,0.47058823529411764,23,BoulwareTBNegotiator@0,"(9, 2, 8, 'basic')",{},continuing,,,0.9548408057179987,0.14359974009096818
0.021461,0.47058823529411764,23,GeniusBOABaselineNegotiator@1,"(0, 10, 5, 'standard')",{},continuing,,,0.20467836257309946,0.9561403508771931
0.021882292,0.49019607843137253,24,BoulwareTBNegotiator@0,"(9, 1, 6, 'basic')",{},continuing,,,0.9473684210526316,0.16953439214483385
0.021882292,0.49019607843137253,24,GeniusBOABaselineNegotiator@1,"(3, 10, 0, 'standard')",{},continuing,,,0.17251461988304095,0.9473684210526316
0.022309667,0.5098039215686274,25,BoulwareTBNegotiator@0,"(9, 2, 7, 'basic')",{},continuing,,,0.937296946068876,0.16176700159856006
0.022309667,0.5098039215686274,25,GeniusBOABaselineNegotiator@1,"(1, 10, 5, 'standard')",{},continuing,,,0.2108512020792723,0.9385964912280702
0.022726292,0.5294117647058824,26,BoulwareTBNegotiator@0,"(9, 4, 9, 'basic')",{},continuing,,,0.9269005847953218,0.14912280701754388
0.022726292,0.5294117647058824,26,GeniusBOABaselineNegotiator@1,"(1, 10, 6, 'standard')",{},continuing,,,0.22839506172839508,0.9268443336653016
0.023143667,0.5490196078431373,27,BoulwareTBNegotiator@0,"(9, 2, 6, 'basic')",{},continuing,,,0.9197530864197532,0.17570723165100666
0.023143667,0.5490196078431373,27,GeniusBOABaselineNegotiator@1,"(2, 10, 5, 'standard')",{},continuing,,,0.22936972059779082,0.9210526315789476
0.023558333,0.5686274509803921,28,BoulwareTBNegotiator@0,"(9, 2, 5, 'basic')",{},continuing,,,0.9022092267706303,0.1874593892137752
0.023558333,0.5686274509803921,28,GeniusBOABaselineNegotiator@1,"(3, 10, 5, 'standard')",{},continuing,,,0.26023391812865504,0.9035087719298247
0.023972292,0.5882352941176471,29,BoulwareTBNegotiator@0,"(9, 1, 8, 'standard')",{},continuing,,,0.8888888888888888,0.25438596491228077
0.023972292,0.5882352941176471,29,GeniusBOABaselineNegotiator@1,"(3, 10, 6, 'standard')",{},continuing,,,0.2777777777777778,0.8917566143670561
0.024393083,0.6078431372549019,30,BoulwareTBNegotiator@0,"(9, 9, 9, 'basic')",{},continuing,,,0.8700454840805718,0.48862897985705
0.024393083,0.6078431372549019,30,GeniusBOABaselineNegotiator@1,"(0, 10, 1, 'basic')",{},continuing,,,0.22807017543859653,0.8755158095648914
0.02481425,0.6274509803921569,31,BoulwareTBNegotiator@0,"(9, 9, 8, 'basic')",{},continuing,,,0.852501624431449,0.532488628979857
0.02481425,0.6274509803921569,31,GeniusBOABaselineNegotiator@1,"(1, 10, 1, 'basic')",{},continuing,,,0.23424301494476937,0.8579719499157685
0.025236417,0.6470588235294118,32,BoulwareTBNegotiator@0,"(9, 4, 9, 'standard')",{},continuing,,,0.8333333333333334,0.2660818713450293
0.025236417,0.6470588235294118,32,GeniusBOABaselineNegotiator@1,"(2, 10, 6, 'premium')",{},continuing,,,0.17673814165042234,0.8391250354196876
0.025678083,0.6666666666666666,33,BoulwareTBNegotiator@0,"(9, 7, 5, 'basic')",{},continuing,,,0.8128654970760234,0.4035087719298246
0.025678083,0.6666666666666666,33,GeniusBOABaselineNegotiator@1,"(3, 10, 6, 'premium')",{},continuing,,,0.20760233918128657,0.8215811757705648
0.02610625,0.6862745098039216,34,BoulwareTBNegotiator@0,"(9, 6, 3, 'basic')",{},continuing,,,0.7891487979207279,0.35532199976469436
0.02610625,0.6862745098039216,34,GeniusBOABaselineNegotiator@1,"(4, 10, 2, 'basic')",{},continuing,,,0.34437946718648477,0.797328273877102
0.02653575,0.7058823529411765,35,BoulwareTBNegotiator@0,"(8, 10, 9, 'basic')",{},continuing,,,0.7634827810266407,0.6111111111111112
0.02653575,0.7058823529411765,35,GeniusBOABaselineNegotiator@1,"(7, 10, 4, 'premium')",{},continuing,,,0.4194282001299545,0.7735117533991136
0.026971167,0.7254901960784313,36,BoulwareTBNegotiator@0,"(9, 6, 0, 'basic')",{},continuing,,,0.7365172189733593,0.3794671864847304
0.026971167,0.7254901960784313,36,GeniusBOABaselineNegotiator@1,"(8, 9, 1, 'standard')",{},continuing,,,0.5311890838206628,0.747185725094456
0.027412292,0.7450980392156863,37,BoulwareTBNegotiator@0,"(9, 9, 5, 'standard')",{},continuing,,,0.7063027940220923,0.6933073424301495
0.027412292,0.7450980392156863,37,GeniusBOABaselineNegotiator@1,"(2, 9, 3, 'basic')",{},continuing,,,0.2894736842105263,0.7188697580492948
0.027883583,0.7647058823529411,38,BoulwareTBNegotiator@0,"(9, 5, 5, 'premium')",{},continuing,,,0.6751137102014295,0.32683560753736196
0.027883583,0.7647058823529411,38,GeniusBOABaselineNegotiator@1,"(0, 8, 5, 'premium')",{},continuing,,,0.14100064977257962,0.688434048083171
0.02837675,0.7843137254901961,39,BoulwareTBNegotiator@0,"(7, 3, 8, 'standard')",{},continuing,,,0.6393762183235868,0.31416504223521774
0.02837675,0.7843137254901961,39,GeniusBOABaselineNegotiator@1,"(2, 9, 8, 'basic')",{},continuing,,,0.3771929824561404,0.6552956465237167
0.028845208,0.803921568627451,40,BoulwareTBNegotiator@0,"(7, 9, 5, 'basic')",{},continuing,,,0.6023391812865497,0.6114359974009097
0.028845208,0.803921568627451,40,GeniusBOABaselineNegotiator@1,"(6, 8, 1, 'premium')",{},continuing,,,0.29304743339831063,0.6195054132036178
0.029336,0.8235294117647058,41,BoulwareTBNegotiator@0,"(8, 7, 2, 'standard')",{},continuing,,,0.5617283950617284,0.5663341218303184
0.029336,0.8235294117647058,41,GeniusBOABaselineNegotiator@1,"(0, 7, 3, 'basic')",{},continuing,,,0.27777777777777785,0.5811179711747009
0.0298395,0.8431372549019608,42,BoulwareTBNegotiator@0,"(8, 8, 4, 'premium')",{'BoulwareTBNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.5185185185185185,0.55843702955246
