time,relative_time,step,negotiator,offer,responses,state,text,data,SmartAspirationNegotiator@0,GeniusBOABaselineNegotiator@1
0.010913375,0.1568627450980392,7,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011079708,0.17647058823529413,8,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.023809523809523808
0.011079708,0.17647058823529413,8,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011247958,0.19607843137254902,9,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.023809523809523808
0.011247958,0.19607843137254902,9,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011415958,0.21568627450980393,10,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.023809523809523808
0.011415958,0.21568627450980393,10,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011585333,0.23529411764705882,11,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.023809523809523808
0.011585333,0.23529411764705882,11,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011754292,0.2549019607843137,12,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.023809523809523808
0.011754292,0.2549019607843137,12,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.011923042,0.27450980392156865,13,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.023809523809523808
0.011923042,0.27450980392156865,13,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.012094042,0.29411764705882354,14,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.023809523809523808
0.012094042,0.29411764705882354,14,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.012263875,0.3137254901960784,15,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.023809523809523808
0.012263875,0.3137254901960784,15,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.012433292,0.3333333333333333,16,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.023809523809523808
0.012433292,0.3333333333333333,16,GeniusBOABaselineNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.012602083,0.35294117647058826,17,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.023809523809523808
0.012602083,0.35294117647058826,17,GeniusBOABaselineNegotiator@1,"(8, 1, 9, 'basic')",{},continuing,,,0.026455026455026467,0.9841269841269841
0.012771625,0.37254901960784315,18,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.023809523809523808
0.012771625,0.37254901960784315,18,GeniusBOABaselineNegotiator@1,"(8, 1, 9, 'basic')",{},continuing,,,0.026455026455026467,0.9841269841269841
0.012940917,0.39215686274509803,19,SmartAspirationNegotiator@0,"(0, 10, 0, 'premium')",{},continuing,,,1.0,0.023809523809523808
0.012940917,0.39215686274509803,19,GeniusBOABaselineNegotiator@1,"(8, 1, 9, 'basic')",{},continuing,,,0.026455026455026467,0.9841269841269841
0.013110917,0.4117647058823529,20,SmartAspirationNegotiator@0,"(0, 9, 0, 'premium')",{},continuing,,,0.9735449735449735,0.03968253968253969
0.013110917,0.4117647058823529,20,GeniusBOABaselineNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.031746031746031765,0.9714045207910317
0.013284542,0.43137254901960786,21,SmartAspirationNegotiator@0,"(0, 9, 0, 'premium')",{},continuing,,,0.9735449735449735,0.03968253968253969
0.013284542,0.43137254901960786,21,GeniusBOABaselineNegotiator@1,"(8, 2, 9, 'basic')",{},continuing,,,0.05291005291005292,0.9682539682539683
0.013458792,0.45098039215686275,22,SmartAspirationNegotiator@0,"(0, 10, 1, 'premium')",{},continuing,,,0.9682539682539681,0.19047619047619047
0.013458792,0.45098039215686275,22,GeniusBOABaselineNegotiator@1,"(8, 2, 9, 'basic')",{},continuing,,,0.05291005291005292,0.9682539682539683
0.013635875,0.47058823529411764,23,SmartAspirationNegotiator@0,"(0, 10, 1, 'premium')",{},continuing,,,0.9682539682539681,0.19047619047619047
0.013635875,0.47058823529411764,23,GeniusBOABaselineNegotiator@1,"(7, 2, 9, 'basic')",{},continuing,,,0.07936507936507937,0.9523809523809524
0.013818458,0.49019607843137253,24,SmartAspirationNegotiator@0,"(0, 8, 0, 'premium')",{},continuing,,,0.947089947089947,0.05555555555555555
0.013818458,0.49019607843137253,24,GeniusBOABaselineNegotiator@1,"(7, 2, 9, 'basic')",{},continuing,,,0.07936507936507937,0.9523809523809524
0.013997875,0.5098039215686274,25,SmartAspirationNegotiator@0,"(0, 10, 2, 'premium')",{},continuing,,,0.9365079365079365,0.2595117842050396
0.013997875,0.5098039215686274,25,GeniusBOABaselineNegotiator@1,"(6, 2, 9, 'basic')",{},continuing,,,0.10582010582010584,0.9365079365079365
0.014175125,0.5294117647058824,26,SmartAspirationNegotiator@0,"(0, 10, 2, 'premium')",{},continuing,,,0.9365079365079365,0.2595117842050396
0.014175125,0.5294117647058824,26,GeniusBOABaselineNegotiator@1,"(7, 2, 8, 'basic')",{},continuing,,,0.11111111111111113,0.923785473171984
0.014353583,0.5490196078431373,27,SmartAspirationNegotiator@0,"(0, 9, 2, 'premium')",{},continuing,,,0.91005291005291,0.27538480007805555
0.014353583,0.5490196078431373,27,GeniusBOABaselineNegotiator@1,"(5, 2, 9, 'basic')",{},continuing,,,0.1322751322751323,0.9206349206349206
0.014564917,0.5686274509803921,28,SmartAspirationNegotiator@0,"(0, 10, 3, 'premium')",{},continuing,,,0.9047619047619049,0.3124846584043367
0.014564917,0.5686274509803921,28,GeniusBOABaselineNegotiator@1,"(3, 1, 9, 'basic')",{},continuing,,,0.15873015873015878,0.9047619047619048
0.014748583,0.5882352941176471,29,SmartAspirationNegotiator@0,"(0, 8, 2, 'premium')",{},continuing,,,0.8835978835978835,0.29125781595107136
0.014748583,0.5882352941176471,29,GeniusBOABaselineNegotiator@1,"(9, 8, 9, 'basic')",{},continuing,,,0.18518518518518517,0.888888888888889
0.014956542,0.6078431372549019,30,SmartAspirationNegotiator@0,"(0, 10, 4, 'premium')",{},continuing,,,0.873015873015873,0.3571428571428571
0.014956542,0.6078431372549019,30,GeniusBOABaselineNegotiator@1,"(8, 1, 9, 'standard')",{},continuing,,,0.18518518518518523,0.865079365079365
0.015160542,0.6274509803921569,31,SmartAspirationNegotiator@0,"(1, 10, 4, 'premium')",{},continuing,,,0.8465608465608465,0.373015873015873
0.015160542,0.6274509803921569,31,GeniusBOABaselineNegotiator@1,"(8, 2, 9, 'standard')",{},continuing,,,0.21164021164021168,0.8492063492063492
0.015382,0.6470588235294118,32,SmartAspirationNegotiator@0,"(0, 10, 5, 'premium')",{},continuing,,,0.8412698412698412,0.39648752005948873
0.015382,0.6470588235294118,32,GeniusBOABaselineNegotiator@1,"(7, 8, 8, 'basic')",{},continuing,,,0.2698412698412698,0.8285473779338888
0.015647,0.6666666666666666,33,SmartAspirationNegotiator@0,"(0, 10, 6, 'premium')",{},continuing,,,0.8095238095238095,0.43205781427338685
