time,relative_time,step,negotiator,offer,responses,state,text,data,SmartAspirationNegotiator@0,LinearTBNegotiator@1
0.013022625,0.1568627450980392,7,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.013022625,0.1568627450980392,7,LinearTBNegotiator@1,"(0, 9, 4, 'premium')",{},continuing,,,0.373015873015873,0.8465608465608465
0.013487625,0.17647058823529413,8,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.013487625,0.17647058823529413,8,LinearTBNegotiator@1,"(0, 10, 3, 'standard')",{},continuing,,,0.3839132298329081,0.8253968253968255
0.013964958,0.19607843137254902,9,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.013964958,0.19607843137254902,9,LinearTBNegotiator@1,"(5, 9, 1, 'premium')",{},continuing,,,0.2857142857142857,0.8095238095238095
0.01444825,0.21568627450980393,10,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.01444825,0.21568627450980393,10,LinearTBNegotiator@1,"(0, 5, 0, 'standard')",{},continuing,,,0.1746031746031746,0.7883597883597883
0.014911833,0.23529411764705882,11,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.014911833,0.23529411764705882,11,LinearTBNegotiator@1,"(0, 6, 4, 'premium')",{},continuing,,,0.4206349206349206,0.7671957671957672
0.015385417,0.2549019607843137,12,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.015385417,0.2549019607843137,12,LinearTBNegotiator@1,"(6, 10, 3, 'premium')",{},continuing,,,0.40772275364243193,0.746031746031746
0.015876042,0.27450980392156865,13,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.015876042,0.27450980392156865,13,LinearTBNegotiator@1,"(0, 10, 1, 'basic')",{},continuing,,,0.38095238095238093,0.7301587301587301
0.01636025,0.29411764705882354,14,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.01636025,0.29411764705882354,14,LinearTBNegotiator@1,"(3, 5, 0, 'standard')",{},continuing,,,0.2222222222222222,0.708994708994709
0.016850958,0.3137254901960784,15,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.016850958,0.3137254901960784,15,LinearTBNegotiator@1,"(5, 8, 4, 'premium')",{},continuing,,,0.46825396825396826,0.6878306878306878
0.017350125,0.3333333333333333,16,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.017350125,0.3333333333333333,16,LinearTBNegotiator@1,"(8, 8, 2, 'premium')",{},continuing,,,0.41824194293519834,0.6719576719576719
0.01786475,0.35294117647058826,17,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.01786475,0.35294117647058826,17,LinearTBNegotiator@1,"(0, 4, 6, 'premium')",{},continuing,,,0.5272959095114821,0.6507936507936507
0.018401667,0.37254901960784315,18,SmartAspirationNegotiator@0,"(9, 2, 9, 'basic')",{},continuing,,,0.9841269841269841,0.026455026455026457
0.018401667,0.37254901960784315,18,LinearTBNegotiator@1,"(8, 10, 5, 'premium')",{},continuing,,,0.5234716470436157,0.6296296296296295
0.018948875,0.39215686274509803,19,SmartAspirationNegotiator@0,"(9, 2, 9, 'basic')",{},continuing,,,0.9841269841269841,0.026455026455026457
0.018948875,0.39215686274509803,19,LinearTBNegotiator@1,"(4, 3, 3, 'premium')",{},continuing,,,0.48708783300751124,0.6137566137566137
0.019498,0.4117647058823529,20,SmartAspirationNegotiator@0,"(9, 2, 9, 'basic')",{},continuing,,,0.9841269841269841,0.026455026455026457
0.019498,0.4117647058823529,20,LinearTBNegotiator@1,"(8, 8, 2, 'standard')",{},continuing,,,0.48967051436376974,0.5925925925925926
0.0200555,0.43137254901960786,21,SmartAspirationNegotiator@0,"(9, 3, 9, 'basic')",{},continuing,,,0.9682539682539683,0.052910052910052914
0.0200555,0.43137254901960786,21,LinearTBNegotiator@1,"(4, 5, 6, 'premium')",{},continuing,,,0.5749149571305298,0.5714285714285714
