time,relative_time,step,negotiator,offer,responses,state,text,data,ConcederTBNegotiator@0,SmartAspirationNegotiator@1
0.0,0.0196078431372549,0,ConcederTBNegotiator@0,"(9, 5, 5, 'standard')",{},continuing,,,0.6319330787415893,0.27777777777777773
0.0,0.0196078431372549,0,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.011961625,0.0392156862745098,1,ConcederTBNegotiator@0,"(2, 2, 8, 'basic')",{},continuing,,,0.5622840516457538,0.2240143369175627
0.011961625,0.0392156862745098,1,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.012489375,0.058823529411764705,2,ConcederTBNegotiator@0,"(3, 9, 9, 'basic')",{},continuing,,,0.5155482815057283,0.2820206673264285
0.012489375,0.058823529411764705,2,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.013030041,0.0784313725490196,3,ConcederTBNegotiator@0,"(4, 9, 8, 'basic')",{},continuing,,,0.47935988361520276,0.26409952037302353
0.013030041,0.0784313725490196,3,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.0136285,0.09803921568627451,4,ConcederTBNegotiator@0,"(9, 10, 2, 'standard')",{},continuing,,,0.44971813056919435,0.5331541218637992
0.0136285,0.09803921568627451,4,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.014198458,0.11764705882352941,5,ConcederTBNegotiator@0,"(9, 8, 0, 'premium')",{},continuing,,,0.4238952536824877,0.7651169989224802
0.014198458,0.11764705882352941,5,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.014788,0.13725490196078433,6,ConcederTBNegotiator@0,"(7, 5, 4, 'premium')",{},continuing,,,0.40134569921803964,0.43100358422939067
0.014788,0.13725490196078433,6,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.015387125,0.1568627450980392,7,ConcederTBNegotiator@0,"(3, 6, 7, 'standard')",{},continuing,,,0.38097835970176397,0.35909289496862784
0.015387125,0.1568627450980392,7,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.016028,0.17647058823529413,8,ConcederTBNegotiator@0,"(3, 10, 8, 'standard')",{},continuing,,,0.3624295326422986,0.3772401433691756
0.016028,0.17647058823529413,8,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.016667625,0.19607843137254902,9,ConcederTBNegotiator@0,"(2, 4, 6, 'standard')",{},continuing,,,0.34551736679396255,0.3902605229468811
0.016667625,0.19607843137254902,9,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.017302041,0.21568627450980393,10,ConcederTBNegotiator@0,"(2, 1, 1, 'basic')",{},continuing,,,0.3298781596653937,0.5707885304659498
0.017302041,0.21568627450980393,10,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.017953833,0.23529411764705882,11,ConcederTBNegotiator@0,"(4, 1, 0, 'standard')",{},continuing,,,0.314966357519549,0.7096774193548387
0.017953833,0.23529411764705882,11,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.018607041,0.2549019607843137,12,ConcederTBNegotiator@0,"(2, 4, 5, 'standard')",{},continuing,,,0.3015093653391526,0.4341673329827234
0.018607041,0.2549019607843137,12,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.019270458,0.27450980392156865,13,ConcederTBNegotiator@0,"(6, 7, 0, 'standard')",{},continuing,,,0.2880523731587561,0.7798140198120893
0.019270458,0.27450980392156865,13,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.019948916,0.29411764705882354,14,ConcederTBNegotiator@0,"(4, 3, 0, 'standard')",{},continuing,,,0.2756864884524459,0.7781071078567625
0.019948916,0.29411764705882354,14,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.016366612111292964,0.9999999999999999
0.0206295,0.3137254901960784,15,ConcederTBNegotiator@0,"(5, 4, 2, 'premium')",{},continuing,,,0.26386615748317876,0.6169630319074546
0.0206295,0.3137254901960784,15,SmartAspirationNegotiator@1,"(0, 9, 0, 'premium')",{},continuing,,,0.036006546644844525,0.9916980866812671
0.021303333,0.3333333333333333,16,ConcederTBNegotiator@0,"(4, 9, 6, 'premium')",{},continuing,,,0.2527732314966358,0.4433109899070737
0.021303333,0.3333333333333333,16,SmartAspirationNegotiator@1,"(0, 9, 0, 'premium')",{},continuing,,,0.036006546644844525,0.9916980866812671
0.022042541,0.35294117647058826,17,ConcederTBNegotiator@0,"(1, 2, 4, 'premium')",{},continuing,,,0.2420440080014548,0.5277777777777778
0.022042541,0.35294117647058826,17,SmartAspirationNegotiator@1,"(0, 9, 0, 'premium')",{},continuing,,,0.036006546644844525,0.9916980866812671
0.022749375,0.37254901960784315,18,ConcederTBNegotiator@0,"(2, 6, 1, 'basic')",{},continuing,,,0.23167848699763594,0.6789853680869073
0.022749375,0.37254901960784315,18,SmartAspirationNegotiator@1,"(0, 8, 0, 'premium')",{},continuing,,,0.05564648117839607,0.9828589344063511
0.023463208,0.39215686274509803,19,ConcederTBNegotiator@0,"(4, 9, 4, 'standard')",{},continuing,,,0.22185851973086018,0.4952823160719482
