time,relative_time,step,negotiator,offer,responses,state,text,data,LinearTBNegotiator@0,SmartAspirationNegotiator@1
0.015555959,0.2549019607843137,12,LinearTBNegotiator@0,"(6, 10, 3, 'premium')",{},continuing,,,0.746031746031746,0.40772275364243193
0.015555959,0.2549019607843137,12,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.016052459,0.27450980392156865,13,LinearTBNegotiator@0,"(0, 10, 1, 'basic')",{},continuing,,,0.7301587301587301,0.38095238095238093
0.016052459,0.27450980392156865,13,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.0165585,0.29411764705882354,14,LinearTBNegotiator@0,"(3, 5, 0, 'standard')",{},continuing,,,0.708994708994709,0.2222222222222222
0.0165585,0.29411764705882354,14,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.017069042,0.3137254901960784,15,LinearTBNegotiator@0,"(5, 8, 4, 'premium')",{},continuing,,,0.6878306878306878,0.46825396825396826
0.017069042,0.3137254901960784,15,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.017584125,0.3333333333333333,16,LinearTBNegotiator@0,"(8, 8, 2, 'premium')",{},continuing,,,0.6719576719576719,0.41824194293519834
0.017584125,0.3333333333333333,16,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.018109167,0.35294117647058826,17,LinearTBNegotiator@0,"(0, 4, 6, 'premium')",{},continuing,,,0.6507936507936507,0.5272959095114821
0.018109167,0.35294117647058826,17,SmartAspirationNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.0,1.0
0.018642542,0.37254901960784315,18,LinearTBNegotiator@0,"(8, 10, 5, 'premium')",{},continuing,,,0.6296296296296295,0.5234716470436157
0.018642542,0.37254901960784315,18,SmartAspirationNegotiator@1,"(9, 2, 9, 'basic')",{},continuing,,,0.026455026455026457,0.9841269841269841
0.019192709,0.39215686274509803,19,LinearTBNegotiator@0,"(4, 3, 3, 'premium')",{},continuing,,,0.6137566137566137,0.48708783300751124
0.019192709,0.39215686274509803,19,SmartAspirationNegotiator@1,"(9, 2, 9, 'basic')",{},continuing,,,0.026455026455026457,0.9841269841269841
0.019760084,0.4117647058823529,20,LinearTBNegotiator@0,"(8, 8, 2, 'standard')",{},continuing,,,0.5925925925925926,0.48967051436376974
0.019760084,0.4117647058823529,20,SmartAspirationNegotiator@1,"(9, 2, 9, 'basic')",{},continuing,,,0.026455026455026457,0.9841269841269841
0.020332542,0.43137254901960786,21,LinearTBNegotiator@0,"(4, 5, 6, 'premium')",{},continuing,,,0.5714285714285714,0.5749149571305298
