strategy,utility,utility,utility,utility,utility,utility,utility,utility,reserved_value,reserved_value,reserved_value,reserved_value,reserved_value,reserved_value,reserved_value,reserved_value,advantage,advantage,advantage,advantage,advantage,advantage,advantage,advantage,partner_welfare,partner_welfare,partner_welfare,partner_welfare,partner_welfare,partner_welfare,partner_welfare,partner_welfare,welfare,welfare,welfare,welfare,welfare,welfare,welfare,welfare,time,time,time,time,time,time,time,time,nash_optimality,nash_optimality,nash_optimality,nash_optimality,nash_optimality,nash_optimality,nash_optimality,nash_optimality,kalai_optimality,kalai_optimality,kalai_optimality,kalai_optimality,kalai_optimality,kalai_optimality,kalai_optimality,kalai_optimality,ks_optimality,ks_optimality,ks_optimality,ks_optimality,ks_optimality,ks_optimality,ks_optimality,ks_optimality,max_welfare_optimality,max_welfare_optimality,max_welfare_optimality,max_welfare_optimality,max_welfare_optimality,max_welfare_optimality,max_welfare_optimality,max_welfare_optimality,pareto_optimality,pareto_optimality,pareto_optimality,pareto_optimality,pareto_optimality,pareto_optimality,pareto_optimality,pareto_optimality,fairness,fairness,fairness,fairness,fairness,fairness,fairness,fairness,modified_kalai_optimality,modified_kalai_optimality,modified_kalai_optimality,modified_kalai_optimality,modified_kalai_optimality,modified_kalai_optimality,modified_kalai_optimality,modified_kalai_optimality,modified_ks_optimality,modified_ks_optimality,modified_ks_optimality,modified_ks_optimality,modified_ks_optimality,modified_ks_optimality,modified_ks_optimality,modified_ks_optimality
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
SmartAspirationNegotiator,240.0,0.7074503172859555,0.13867338838777646,0.4678362573099415,0.5915181045891784,0.7383040935672514,0.7944384317850595,0.9682539682539681,240.0,0.0014965798236758158,0.0011754236582693142,0.0006426653306037134,0.0007709316605162776,0.0009205314184342263,0.0015196098323317594,0.004370114375307104,240.0,0.7069613950504912,0.13904845350150338,0.4655004330689005,0.5910417221174157,0.7377407540149542,0.7940531888929396,0.9681841882567576,240.0,0.48837708836517024,0.21880459408355202,0.11695906432748539,0.28508771929824556,0.5413718195948166,0.6635968269890713,0.7725532264198727,240.0,0.5979137028255629,0.09157318866982006,0.4767050494322928,0.5138397597217089,0.5888768635701189,0.6136093659257694,0.7561596541456088,240.0,0.014134405528845187,0.001289595944821513,0.011067333747632802,0.013203974420321174,0.014224108686903492,0.015100299089681357,0.017135288449935615,240.0,0.8538099243342183,0.15737898206999645,0.5487427081223939,0.7260400905445881,0.9596768989588544,0.9766081871345029,1.0,240.0,0.8575427740351792,0.15921085275907615,0.5487427081223939,0.7519186022843661,0.9704295597377377,0.9814056428012624,1.0,240.0,0.8581920639309961,0.15924417488732495,0.5318374353927556,0.7393675598672658,0.9704295597377377,0.9814056428012624,1.0,240.0,0.9323940640903127,0.08903046707877298,0.7166612611675568,0.865860867709407,0.9828443062556709,0.9999999999999998,1.0,240.0,0.9903227371995816,0.017534412695870947,0.9239956174677784,0.9845829745045027,1.0,1.0,1.0,240.0,0.8661428989378263,0.15806668363404627,0.5487427081223939,0.7519186022843661,0.9704295597377377,1.0,1.0,240.0,0.858679393365694,0.15928024775010813,0.5318374353927556,0.7393675598672658,0.9705948968279332,0.9814056428012624,1.0,240.0,0.858679393365694,0.15928024775010813,0.5318374353927556,0.7393675598672658,0.9705948968279332,0.9814056428012624,1.0
BoulwareTBNegotiator,240.0,0.6980224865799846,0.14373494464122386,0.4970760233918128,0.578853046594982,0.6893956066989457,0.8059685196632258,0.9682539682539681,240.0,0.001496579823675816,0.0011754236582693142,0.0006426653306037134,0.0007709316605162776,0.0009205314184342263,0.0015196098323317594,0.004370114375307104,240.0,0.697533371598557,0.1440579198654516,0.49486854114203777,0.5784051127895757,0.6890803875374053,0.8057405535348671,0.9681841882567576,240.0,0.45330265740034786,0.1822264036408992,0.11695906432748539,0.2865497076023391,0.5029239766081871,0.582010582010582,0.7543859649122808,240.0,0.5756625719901662,0.07527795705613849,0.45403290652913986,0.5248886894391355,0.5716374269005848,0.603292588850304,0.7561596541456088,240.0,0.018338573760168706,0.0020124863357000207,0.012982365267816931,0.016795316347270273,0.018933504878077656,0.019953713606810197,0.021772924112156034,240.0,0.8351280110259132,0.14281505732132224,0.5699318647760668,0.7157177189149243,0.9031710081805966,0.9619726395465598,1.0,240.0,0.8365948121176229,0.14312915348039656,0.5699318647760668,0.7441159507431945,0.9126584534033798,0.9710068129245129,1.0,240.0,0.838213682889801,0.1441541461607354,0.5527488392164512,0.7325810824533303,0.9192141959561366,0.9726563673276967,1.0,240.0,0.9004010763582803,0.08715831849509739,0.7121218000501757,0.8546350332788867,0.915539679875679,0.9990919435291352,1.0,240.0,0.9686908900090546,0.046554487823648426,0.7817356951733825,0.9545865663215625,0.9878762575568232,1.0,1.0,240.0,0.844177046792351,0.1416352884589412,0.5699318647760668,0.7441159507431945,0.9207548596110653,0.9726563673276967,1.0,240.0,0.8387010123244989,0.14428955115883527,0.5527488392164512,0.7325810824533303,0.9192141959561366,0.9770423322399773,1.0,240.0,0.8387010123244989,0.14428955115883527,0.5527488392164512,0.7325810824533303,0.9192141959561366,0.9770423322399773,1.0
GeniusBOABaselineNegotiator,240.0,0.6929179054552849,0.1453522841748459,0.49405692864529305,0.559779077322937,0.6733291683531903,0.8043454117570329,0.9682539682539681,240.0,0.001496579823675816,0.0011754236582693142,0.0006426653306037134,0.0007709316605162776,0.0009205314184342263,0.0015196098323317594,0.004370114375307104,240.0,0.6924219866600405,0.14567458411409534,0.49340085060618105,0.5594471236269243,0.6730130778980492,0.8041160207084241,0.9681841882567576,240.0,0.4770600093171654,0.19459078672163543,0.11695906432748537,0.2865497076023391,0.5457355882887797,0.5935672514619883,0.7894736842105263,240.0,0.584988957386225,0.08396371082191703,0.45403290652913986,0.5221642661399858,0.5708538705317934,0.6107436113227122,0.7561596541456088,240.0,0.007388261352995566,0.003336904978442112,0.005748917057644576,0.006518292138935067,0.007091335050063208,0.007331746252020821,0.038615167431999,240.0,0.8452207996242193,0.13668394962760186,0.5699318647760668,0.7553381161879891,0.8625646620321361,0.9617153631935871,1.0,240.0,0.8485305825374069,0.13828921172790046,0.5699318647760668,0.7533796468441853,0.8625646620321361,0.9791863986547235,1.0,240.0,0.8488600964783886,0.14033530612425574,0.5527488392164512,0.7549702307074616,0.8513976513554027,0.9791863986547235,1.0,240.0,0.9129548095915784,0.08369660719118277,0.7121218000501757,0.8600068044762088,0.9247507156011465,0.9902592654235314,1.0,240.0,0.9740599321556594,0.04038123142922314,0.7817356951733825,0.9587829391141542,0.9912092750886039,1.0,1.0,240.0,0.8552273038230069,0.13700484439323776,0.5699318647760668,0.7628123164418408,0.8625646620321361,0.9791863986547235,1.0,240.0,0.8493474259130864,0.14043526075824042,0.5527488392164512,0.7549702307074616,0.8513976513554027,0.9791863986547235,1.0,240.0,0.8493474259130864,0.14043526075824042,0.5527488392164512,0.7549702307074616,0.8513976513554027,0.9791863986547235,1.0
LinearTBNegotiator,240.0,0.4796720077678246,0.1958507343184084,0.23703471649526825,0.30187306783051465,0.45843126583128524,0.6114459673156949,0.8700454840805718,240.0,0.001496579823675816,0.001175423658269314,0.0006426653306037134,0.0007709316605162776,0.0009205314184342263,0.0015196098323317594,0.004370114375307104,240.0,0.4788534870132007,0.19624650777022848,0.23604534675101607,0.30134389104244036,0.45796270742965917,0.6111827283315694,0.869948689279566,240.0,0.6516997966689464,0.1709197602922692,0.26900584795321636,0.5361252593850218,0.7076023391812865,0.7793597066154879,0.8700454840805718,240.0,0.5656859022183854,0.07766444590940616,0.45403290652913986,0.4999999999999999,0.5653151025006916,0.5995921545852911,0.7558479532163743,240.0,0.01718599521118449,0.005557396381582591,0.0076039552222937346,0.013231614109827206,0.01892329176189378,0.02099141363578383,0.05946637719171122,240.0,0.795908252790322,0.08355961359998215,0.6988246083002407,0.7350807129090169,0.7678606227682558,0.7978060555542934,0.9999999999999998,240.0,0.7988600817396666,0.0844604682774193,0.6988246083002407,0.7552784600187009,0.7625130806021299,0.7978060555542934,0.9999999999999998,240.0,0.8004604276542946,0.08694894612487952,0.6843837722421124,0.7427200277162486,0.7742903651194961,0.8028481415680127,1.0,240.0,0.8848243982580144,0.09462151741943105,0.7392661263016912,0.7749341275980333,0.8984044946650847,0.9762688190810784,0.9999999999999999,240.0,0.9722081825425799,0.03956170162767775,0.8278591037218082,0.9454102745825437,0.9912092750886039,1.0,1.0,240.0,0.807494079540425,0.08425581379160067,0.6988246083002407,0.756164987707006,0.7805360810361862,0.8028481415680127,1.0,240.0,0.8009477570889925,0.08707654415718652,0.6843837722421124,0.7427200277162486,0.7742903651194961,0.8028481415680127,1.0,240.0,0.8009477570889925,0.08707654415718652,0.6843837722421124,0.7427200277162486,0.7742903651194961,0.8028481415680127,1.0
ConcederTBNegotiator,240.0,0.3000933808716144,0.1725949347566283,0.11695906432748537,0.1490748497922465,0.21328784925276156,0.4557096505584747,0.6759410801963993,240.0,0.0014965798236758158,0.001175423658269314,0.0006426653306037134,0.0007709316605162776,0.0009205314184342263,0.0015196098323317594,0.004370114375307104,240.0,0.2990029792155741,0.17300831375524342,0.11308313619125247,0.1481335846847308,0.21268740688254245,0.45481927838065495,0.675732684835095,240.0,0.8077165462090338,0.14305484044404182,0.44971813056919435,0.7251461988304093,0.8771929824561403,0.9055495428961706,0.9682539682539681,240.0,0.5539049635403241,0.05446720627008008,0.4914361262164968,0.5003420450150674,0.5419103313840156,0.5812034821136381,0.7309941520467836,240.0,0.017092293044940258,0.007362643947762153,0.005348958948161453,0.010802029981277883,0.019917601952329278,0.022553293194505386,0.052730698604136705,240.0,0.7007202904482611,0.1252812417922025,0.5487427081223939,0.5900482394617074,0.638087943421516,0.8213816800521802,0.976608187134503,240.0,0.7029124429576112,0.1267573510624801,0.5487427081223939,0.601689676597047,0.627175323667607,0.8150382970349164,0.976608187134503,240.0,0.7032106055948135,0.1281027879523079,0.5318374353927556,0.6055037501538055,0.6257309941520469,0.8218283087855961,0.976608187134503,240.0,0.870020312377372,0.091288861315525,0.7166612611675568,0.7806795632742511,0.8566622079986319,0.9646135812888483,1.0,240.0,0.9774173217336357,0.046180116534829264,0.8338690225980921,0.9812841308018952,1.0,1.0,1.0,240.0,0.7114887748174545,0.12534800149794714,0.5487427081223939,0.613828366168784,0.641409447138474,0.8218283087855961,0.976608187134503,240.0,0.7036979350295113,0.1282034861427842,0.5318374353927556,0.6055037501538055,0.6257309941520469,0.8218283087855961,0.976608187134503,240.0,0.7036979350295113,0.1282034861427842,0.5318374353927556,0.6055037501538055,0.6257309941520469,0.8218283087855961,0.976608187134503
