profile_id,n_steps,strategy_buyer,strategy_seller,agreement_mean,agreement_std,agreement_count,rounds_mean,rounds_std,rounds_count,u_buyer_mean,u_buyer_std,u_buyer_count,u_seller_mean,u_seller_std,u_seller_count,welfare_mean,welfare_std,welfare_count,frontier_optimal_welfare_mean,frontier_optimal_welfare_std,frontier_optimal_welfare_count,pareto_distance_mean,pareto_distance_std,pareto_distance_count,nash_distance_mean,nash_distance_std,nash_distance_count,kalai_distance_mean,kalai_distance_std,kalai_distance_count,ks_distance_mean,ks_distance_std,ks_distance_count,money_left_on_table_mean,money_left_on_table_std,money_left_on_table_count,welfare_regret_mean,welfare_regret_std,welfare_regret_count,nash_gap_mean,nash_gap_std,nash_gap_count,agreement_ci95,rounds_ci95,u_buyer_ci95,u_seller_ci95,welfare_ci95,frontier_optimal_welfare_ci95,pareto_distance_ci95,nash_distance_ci95,kalai_distance_ci95,ks_distance_ci95,money_left_on_table_ci95,welfare_regret_ci95,nash_gap_ci95,agreement_boot_ci_low,agreement_boot_ci_high,rounds_boot_ci_low,rounds_boot_ci_high,u_buyer_boot_ci_low,u_buyer_boot_ci_high,u_seller_boot_ci_low,u_seller_boot_ci_high,welfare_boot_ci_low,welfare_boot_ci_high,frontier_optimal_welfare_boot_ci_low,frontier_optimal_welfare_boot_ci_high,pareto_distance_boot_ci_low,pareto_distance_boot_ci_high,nash_distance_boot_ci_low,nash_distance_boot_ci_high,kalai_distance_boot_ci_low,kalai_distance_boot_ci_high,ks_distance_boot_ci_low,ks_distance_boot_ci_high,money_left_on_table_boot_ci_low,money_left_on_table_boot_ci_high,welfare_regret_boot_ci_low,welfare_regret_boot_ci_high,nash_gap_boot_ci_low,nash_gap_boot_ci_high
A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0.6,0.49613893835683387,40,7.925,4.334639842490096,40,0.2993228685749461,0.2452826007188871,40,0.3028316405047707,0.2481839980192195,40,0.6021545090797168,0.49346659873810667,40,1.0,0.0,40,0.28132410704976263,0.3489396095146335,40,0.28628625990019446,0.3448364141026709,40,0.28628625990019446,0.3448364141026709,40,0.28628625990019446,0.3448364141026709,40,0.3978454909202832,0.4934665987381066,40,0.3978454909202832,0.4934665987381066,40,0.3978454909202832,0.4934665987381066,40,0.15375504994833628,1.3433188044006565,0.07601386549077103,0.07691301782965021,0.15292688332042126,0.0,0.1081375053277683,0.10686591189548596,0.10686591189548596,0.10686591189548596,0.15292688332042123,0.15292688332042123,0.15292688332042123,0.45,0.75,6.574375000000002,9.25,0.2251654355186211,0.3734803016312711,0.2277970144659895,0.3778662665435518,0.4529624499846106,0.7513465681748228,1.0,1.0,0.17582756690610168,0.38682064719342346,0.18203025796914152,0.39054226183124746,0.18203025796914155,0.39054226183124746,0.18203025796914152,0.39054226183124746,0.24865343182517705,0.5470375500153895,0.24865343182517705,0.5470375500153895,0.24865343182517705,0.5470375500153895
A,12,BoulwareTBNegotiator,ConcederTBNegotiator,0.65,0.48304589153964794,40,6.05,3.0377960972068423,40,0.5711180363188674,0.4224235578137964,40,0.08076715912588488,0.058020516827746255,40,0.6518851954447522,0.4804440746415429,40,1.0,0.0,40,0.2461585936685422,0.3397311352536197,40,0.590201191298488,0.08405673017704501,40,0.590201191298488,0.08405673017704501,40,0.590201191298488,0.08405673017704501,40,0.3481148045552478,0.48044407464154276,40,0.3481148045552478,0.48044407464154276,40,0.3481148045552478,0.48044407464154276,40,0.14969747270189077,0.9414227639657009,0.13091041684033458,0.01798074445118894,0.1488911612915236,0.0,0.10528376958866403,0.026049450562515727,0.026049450562515727,0.026049450562515727,0.14889116129152355,0.14889116129152355,0.14889116129152355,0.5,0.8,5.125,6.95,0.43994305940289313,0.7022930132348414,0.06275007694675284,0.09878424130501692,0.5026931363496461,0.8010772545398585,1.0,1.0,0.14066205352488126,0.35165513381220315,0.5640990967617376,0.6163032858352384,0.5640990967617376,0.6163032858352384,0.5640990967617376,0.6163032858352384,0.1989227454601416,0.49730686365035404,0.1989227454601416,0.49730686365035404,0.1989227454601416,0.49730686365035404
A,12,BoulwareTBNegotiator,GeniusBOABaselineNegotiator,0.6,0.49613893835683387,40,7.925,4.334639842490096,40,0.2993228685749461,0.2452826007188871,40,0.3028316405047707,0.2481839980192195,40,0.6021545090797168,0.49346659873810667,40,1.0,0.0,40,0.28132410704976263,0.3489396095146335,40,0.28628625990019446,0.3448364141026709,40,0.28628625990019446,0.3448364141026709,40,0.28628625990019446,0.3448364141026709,40,0.3978454909202832,0.4934665987381066,40,0.3978454909202832,0.4934665987381066,40,0.3978454909202832,0.4934665987381066,40,0.15375504994833628,1.3433188044006565,0.07601386549077103,0.07691301782965021,0.15292688332042126,0.0,0.1081375053277683,0.10686591189548596,0.10686591189548596,0.10686591189548596,0.15292688332042123,0.15292688332042123,0.15292688332042123,0.45,0.75,6.525,9.2,0.2251654355186211,0.3734803016312711,0.2277970144659895,0.3778662665435518,0.4529624499846106,0.7513465681748228,1.0,1.0,0.17582756690610168,0.3868206471934235,0.18203025796914152,0.39054226183124746,0.18203025796914152,0.39054226183124746,0.18203025796914152,0.39054226183124746,0.24865343182517705,0.5470375500153895,0.24865343182517705,0.5470375500153895,0.24865343182517705,0.5470375500153895
A,12,BoulwareTBNegotiator,LinearTBNegotiator,0.625,0.4902903378454601,40,7.325,3.9052069120138846,40,0.4249865343182518,0.331274196415896,40,0.2020333179439827,0.15637530396810032,40,0.6270198522622344,0.48764950038399635,40,1.0,0.0,40,0.26374135035915247,0.34482622872375107,40,0.4188086269351496,0.22318144884979738,40,0.4188086269351496,0.22318144884979738,40,0.4188086269351496,0.22318144884979738,40,0.37298014773776555,0.4876495003839963,40,0.37298014773776555,0.4876495003839963,40,0.37298014773776555,0.4876495003839963,40,0.15194254987178035,1.2102361604672716,0.10266293709018953,0.0484612087733556,0.15112414586354514,0.0,0.10686275541385652,0.06916464756644915,0.06916464756644915,0.06916464756644915,0.1511241458635451,0.1511241458635451,0.1511241458635451,0.475,0.775,6.1243750000000015,8.5,0.3236361188057864,0.5263369498307171,0.1541916743613419,0.24987496152662353,0.47782779316712826,0.7762119113573405,1.0,1.0,0.1582448102154915,0.3692378905028133,0.35052823316972803,0.48708902070057125,0.35052823316972803,0.48708902070057125,0.35052823316972803,0.48708902070057125,0.22378808864265937,0.5221722068328717,0.22378808864265937,0.5221722068328717,0.22378808864265937,0.5221722068328717
A,12,BoulwareTBNegotiator,SmartAspirationNegotiator,0.6,0.49613893835683387,40,7.925,4.334639842490096,40,0.2993228685749461,0.2452826007188871,40,0.3028316405047707,0.2481839980192195,40,0.6021545090797168,0.49346659873810667,40,1.0,0.0,40,0.28132410704976263,0.3489396095146335,40,0.28628625990019446,0.3448364141026709,40,0.28628625990019446,0.3448364141026709,40,0.28628625990019446,0.3448364141026709,40,0.3978454909202832,0.4934665987381066,40,0.3978454909202832,0.4934665987381066,40,0.3978454909202832,0.4934665987381066,40,0.15375504994833628,1.3433188044006565,0.07601386549077103,0.07691301782965021,0.15292688332042126,0.0,0.1081375053277683,0.10686591189548596,0.10686591189548596,0.10686591189548596,0.15292688332042123,0.15292688332042123,0.15292688332042123,0.45,0.75,6.6243750000000015,9.150624999999996,0.2251654355186211,0.3734803016312711,0.2277970144659895,0.3778662665435518,0.4529624499846106,0.7513465681748228,1.0,1.0,0.17582756690610168,0.3868206471934235,0.18203025796914155,0.39054226183124746,0.18203025796914152,0.39054226183124746,0.18203025796914152,0.39054226183124746,0.24865343182517705,0.5470375500153895,0.24865343182517705,0.5470375500153895,0.24865343182517705,0.5470375500153895
A,12,ConcederTBNegotiator,BoulwareTBNegotiator,0.65,0.48304589153964794,40,6.05,3.0377960972068423,40,0.07696598953524161,0.055195687052660605,40,0.5749192059095105,0.42524838758888206,40,0.6518851954447522,0.48044407464154276,40,1.0,0.0,40,0.24615859366854229,0.3397311352536197,40,0.6009525224744239,0.07606690501840199,40,0.6009525224744239,0.07606690501840199,40,0.6009525224744239,0.07606690501840199,40,0.34811480455524785,0.4804440746415427,40,0.34811480455524785,0.4804440746415427,40,0.34811480455524785,0.4804440746415427,40,0.14969747270189077,0.9414227639657009,0.01710532063421882,0.1317858406573047,0.14889116129152355,0.0,0.10528376958866403,0.02357337809294857,0.02357337809294857,0.02357337809294857,0.14889116129152355,0.14889116129152355,0.14889116129152355,0.5,0.8,5.075,6.875,0.0598261003385657,0.09410587873191752,0.4428670360110803,0.7069713758079408,0.502693136349646,0.8010772545398582,1.0,1.0,0.14066205352488134,0.3516551338122032,0.5773315043628895,0.6245735405859583,0.5812683407148118,0.6245735405859583,0.5773315043628895,0.6245735405859583,0.19892274546014166,0.49730686365035404,0.19892274546014166,0.49730686365035404,0.19892274546014166,0.49730686365035404
A,12,ConcederTBNegotiator,ConcederTBNegotiator,0.925,0.2667467828369185,40,0.925,0.2667467828369185,40,0.4599973068636503,0.13187504460812566,40,0.46540666358879657,0.13343496731477433,40,0.9254039704524468,0.2653100119229,40,1.0,0.0,40,0.05274827007183062,0.1876057512249825,40,0.06039825571624641,0.18539968737698626,40,0.06039825571624641,0.18539968737698626,40,0.06039825571624641,0.18539968737698626,40,0.0745960295475532,0.2653100119229,40,0.0745960295475532,0.2653100119229,40,0.0745960295475532,0.2653100119229,40,0.0826656844441234,0.0826656844441234,0.04086849973480245,0.041351924790031254,0.0822204245248337,0.0,0.05813962464975113,0.05745595838025562,0.05745595838025562,0.05745595838025562,0.0822204245248337,0.0822204245248337,0.0822204245248337,0.825,1.0,0.825,1.0,0.41055901815943363,0.4970760233918128,0.4153835795629425,0.5029239766081871,0.8508079409048935,0.9999999999999998,1.0,1.0,1.5700924586837752e-16,0.12307929683427121,0.008270254750719934,0.1125262566817729,0.008270254750719934,0.12990225700361507,0.008270254750719934,0.12990225700361505,1.1102230246251565e-16,0.17405740227762395,1.1102230246251565e-16,0.17405740227762395,1.1102230246251565e-16,0.17405740227762395
A,12,ConcederTBNegotiator,GeniusBOABaselineNegotiator,0.65,0.48304589153964794,40,6.05,3.0377960972068423,40,0.07696598953524161,0.055195687052660605,40,0.5749192059095105,0.42524838758888206,40,0.6518851954447522,0.48044407464154276,40,1.0,0.0,40,0.24615859366854229,0.3397311352536197,40,0.6009525224744239,0.07606690501840199,40,0.6009525224744239,0.07606690501840199,40,0.6009525224744239,0.07606690501840199,40,0.34811480455524785,0.4804440746415427,40,0.34811480455524785,0.4804440746415427,40,0.34811480455524785,0.4804440746415427,40,0.14969747270189077,0.9414227639657009,0.01710532063421882,0.1317858406573047,0.14889116129152355,0.0,0.10528376958866403,0.02357337809294857,0.02357337809294857,0.02357337809294857,0.14889116129152355,0.14889116129152355,0.14889116129152355,0.5,0.8,5.099375000000001,6.95,0.05982610033856571,0.09410587873191752,0.4428670360110803,0.7069713758079408,0.5026931363496459,0.8010772545398582,1.0,1.0,0.14066205352488134,0.3516551338122032,0.5773315043628895,0.6245735405859583,0.5773315043628895,0.6245735405859583,0.5773315043628895,0.6245735405859583,0.19892274546014166,0.49730686365035404,0.19892274546014166,0.49730686365035404,0.22378808864265937,0.49730686365035404
A,12,ConcederTBNegotiator,LinearTBNegotiator,0.75,0.4385290096535146,40,3.275,1.3584965294445257,40,0.19804170514004305,0.11422135254517901,40,0.5533048630347799,0.32194562027579116,40,0.7513465681748229,0.4361669728209702,40,1.0,0.0,40,0.17582756690610168,0.30842195514047915,40,0.43013790049073714,0.15972534349844564,40,0.43013790049073714,0.15972534349844564,40,0.43013790049073714,0.15972534349844564,40,0.24865343182517705,0.4361669728209702,40,0.24865343182517705,0.4361669728209702,40,0.24865343182517705,0.4361669728209702,40,0.13590154807518112,0.4210024361949124,0.03539756388384795,0.09977198139314426,0.13516954527699224,0.0,0.09558095414732674,0.04949939677976982,0.04949939677976982,0.04949939677976982,0.13516954527699224,0.13516954527699224,0.13516954527699224,0.6,0.875,2.825,3.65,0.16548361034164355,0.23059979993844254,0.46153624192059095,0.6450734841489688,0.6270198522622344,0.8756732840874113,1.0,1.0,0.08791378345305091,0.26374135035915247,0.3846091726351256,0.484772373917471,0.3846091726351256,0.47566662834634876,0.3846091726351256,0.47566662834634865,0.12432671591258856,0.37298014773776555,0.12432671591258856,0.37298014773776555,0.12432671591258856,0.37298014773776555
A,12,ConcederTBNegotiator,SmartAspirationNegotiator,0.65,0.48304589153964794,40,6.05,3.0377960972068423,40,0.07696598953524161,0.055195687052660605,40,0.5749192059095105,0.42524838758888206,40,0.6518851954447522,0.48044407464154276,40,1.0,0.0,40,0.24615859366854229,0.3397311352536197,40,0.6009525224744239,0.07606690501840199,40,0.6009525224744239,0.07606690501840199,40,0.6009525224744239,0.07606690501840199,40,0.34811480455524785,0.4804440746415427,40,0.34811480455524785,0.4804440746415427,40,0.34811480455524785,0.4804440746415427,40,0.14969747270189077,0.9414227639657009,0.01710532063421882,0.1317858406573047,0.14889116129152355,0.0,0.10528376958866403,0.02357337809294857,0.02357337809294857,0.02357337809294857,0.14889116129152355,0.14889116129152355,0.14889116129152355,0.5,0.8,5.1,6.925,0.05982610033856571,0.09410587873191752,0.4428670360110803,0.7069713758079408,0.502693136349646,0.8010772545398582,1.0,1.0,0.14066205352488134,0.3516551338122032,0.5773315043628895,0.6245735405859583,0.5773315043628895,0.6245735405859583,0.5773315043628895,0.6245735405859583,0.19892274546014166,0.49730686365035404,0.19892274546014166,0.49730686365035404,0.19892274546014166,0.49730686365035404
