profile_id,n_steps,role,strategy,agreement_mean,agreement_std,agreement_count,rounds_mean,rounds_std,rounds_count,own_utility_mean,own_utility_std,own_utility_count,welfare_mean,welfare_std,welfare_count,pareto_distance_mean,pareto_distance_std,pareto_distance_count,nash_distance_mean,nash_distance_std,nash_distance_count,kalai_distance_mean,kalai_distance_std,kalai_distance_count,ks_distance_mean,ks_distance_std,ks_distance_count,money_left_on_table_mean,money_left_on_table_std,money_left_on_table_count,welfare_regret_mean,welfare_regret_std,welfare_regret_count,nash_gap_mean,nash_gap_std,nash_gap_count,agreement_ci95,rounds_ci95,own_utility_ci95,welfare_ci95,pareto_distance_ci95,nash_distance_ci95,kalai_distance_ci95,ks_distance_ci95,money_left_on_table_ci95,welfare_regret_ci95,nash_gap_ci95,agreement_boot_ci_low,agreement_boot_ci_high,rounds_boot_ci_low,rounds_boot_ci_high,own_utility_boot_ci_low,own_utility_boot_ci_high,welfare_boot_ci_low,welfare_boot_ci_high,pareto_distance_boot_ci_low,pareto_distance_boot_ci_high,nash_distance_boot_ci_low,nash_distance_boot_ci_high,kalai_distance_boot_ci_low,kalai_distance_boot_ci_high,ks_distance_boot_ci_low,ks_distance_boot_ci_high,money_left_on_table_boot_ci_low,money_left_on_table_boot_ci_high,welfare_regret_boot_ci_low,welfare_regret_boot_ci_high,nash_gap_boot_ci_low,nash_gap_boot_ci_high
A,12,buyer,BoulwareTBNegotiator,0.615,0.4878163836123209,200,7.43,4.0468487647332605,200,0.3788146352723915,0.32175002323914115,200,0.6170737149892274,0.4851888715430024,200,0.2707744530353965,0.34308627130995134,200,0.37357371958684427,0.30902752700050695,200,0.37357371958684427,0.30902752700050695,200,0.37357371958684427,0.30902752700050695,200,0.3829262850107726,0.48518887154300244,200,0.3829262850107726,0.48518887154300244,200,0.3829262850107726,0.48518887154300244,200,0.06760790147392938,0.5608646239799412,0.044592278162747884,0.06724374687996391,0.04754933127915375,0.042829030143412,0.042829030143412,0.042829030143412,0.06724374687996393,0.06724374687996393,0.06724374687996393,0.545,0.685,6.89,7.995,0.33246770160049244,0.42267944944598335,0.5474507540781779,0.6817236072637735,0.2250592856398101,0.3164896204309829,0.32962409376811586,0.4167616340366227,0.33340271917120406,0.41375402403907896,0.329833213987658,0.4151458380632684,0.31330332409972306,0.4525492459218221,0.3182763927362266,0.45254924592182205,0.3131789973838106,0.4525492459218221
A,12,buyer,ConcederTBNegotiator,0.725,0.4476347667709811,200,4.47,3.181147354723184,200,0.17778739612188363,0.17313853882923502,200,0.7264812249923053,0.44522368384746835,200,0.19341032359671181,0.3148261276156872,200,0.4586787447260511,0.24370674732177347,200,0.4586787447260511,0.24370674732177347,200,0.4586787447260511,0.24370674732177347,200,0.2735187750076948,0.4452236838474685,200,0.2735187750076948,0.4452236838474685,200,0.2735187750076948,0.4452236838474685,200,0.062039013499409386,0.4408845298297685,0.02399577723861296,0.061704854454706484,0.04363267518742374,0.03377603195581993,0.03377603195581993,0.03377603195581993,0.061704854454706505,0.061704854454706505,0.061704854454706505,0.665,0.785,4.055,4.885,0.15476877500769465,0.2028567924746075,0.6618313327177592,0.7861580486303477,0.15121170753924745,0.2391254909922982,0.42552792584054006,0.4908222289851264,0.42362802850479125,0.49360202098791794,0.4245462333671868,0.4920241004481641,0.21384195136965226,0.3381686672822407,0.21384195136965226,0.3381686672822407,0.20886888273314874,0.3381686672822407
A,12,buyer,GeniusBOABaselineNegotiator,0.615,0.4878163836123209,200,7.43,4.0468487647332605,200,0.3788146352723915,0.32175002323914115,200,0.6170737149892274,0.4851888715430024,200,0.2707744530353965,0.34308627130995134,200,0.37357371958684427,0.30902752700050695,200,0.37357371958684427,0.30902752700050695,200,0.37357371958684427,0.30902752700050695,200,0.3829262850107726,0.48518887154300244,200,0.3829262850107726,0.48518887154300244,200,0.3829262850107726,0.48518887154300244,200,0.06760790147392938,0.5608646239799412,0.044592278162747884,0.06724374687996391,0.04754933127915375,0.042829030143412,0.042829030143412,0.042829030143412,0.06724374687996393,0.06724374687996393,0.06724374687996393,0.545,0.68,6.9048750000000005,7.955,0.3346153912742382,0.4234014985380117,0.5524238227146814,0.6817236072637735,0.22154273430168808,0.3164896204309829,0.3294620016522662,0.4163603150475795,0.3300488037504598,0.41676844219369547,0.3318591774897921,0.416556987558269,0.31815206602031415,0.4525492459218221,0.3182763927362266,0.4525492459218221,0.31330332409972306,0.4475761772853186
A,12,buyer,LinearTBNegotiator,0.665,0.4731748855991926,200,6.13,3.644104483605977,200,0.25938173284087407,0.2409225780164916,200,0.6668044013542628,0.470626236630899,200,0.2356089396541762,0.3327887554239159,200,0.42739614732336956,0.2230816834175751,200,0.42739614732336956,0.2230816834175751,200,0.42739614732336956,0.2230816834175751,200,0.3331955986457373,0.4706262366308989,200,0.3331955986457373,0.4706262366308989,200,0.3331955986457373,0.4706262366308989,200,0.06557869337769415,0.5050471143751774,0.03339016577665562,0.06522546865189863,0.046122168389924945,0.030917543936203273,0.030917543936203273,0.030917543936203273,0.06522546865189861,0.06522546865189861,0.06522546865189861,0.6,0.725,5.6,6.64,0.2267806440443213,0.2920094163588796,0.6021545090797169,0.7314542936288089,0.18989377225858972,0.2813241070497626,0.39711264823499554,0.45781530925059294,0.39668682486592205,0.45748251615032975,0.39768900207762437,0.4563347873322793,0.2685457063711912,0.39784549092028326,0.2735187750076947,0.3978454909202832,0.2685457063711912,0.3978454909202832
A,12,buyer,SmartAspirationNegotiator,0.65,0.4781665150137575,200,8.2,3.4901152592161004,200,0.3981940597106802,0.3216598595175591,200,0.6518851954447521,0.47559097976822323,200,0.24615859366854229,0.3362994196433554,200,0.37740753656246634,0.2894458108630971,200,0.37740753656246634,0.2894458108630971,200,0.37740753656246634,0.2894458108630971,200,0.3481148045552478,0.47559097976822323,200,0.3481148045552478,0.47559097976822323,200,0.3481148045552478,0.47559097976822323,200,0.06627049791930313,0.48370529671521256,0.04457978210847414,0.0659135469455919,0.04660872162722774,0.04011514274687762,0.04011514274687762,0.04011514274687762,0.0659135469455919,0.0659135469455919,0.0659135469455919,0.585,0.715,7.655,8.66,0.3526386869036627,0.441406798245614,0.5872353031702062,0.7165350877192982,0.20044342627295586,0.29539031240225067,0.3366577761266964,0.4145236154816201,0.3361632115839927,0.4196054086792551,0.3370351373319388,0.41632936411326144,0.2834649122807018,0.41276469682979383,0.2834649122807018,0.41276469682979383,0.27849184364419827,0.41276469682979383
A,12,seller,BoulwareTBNegotiator,0.615,0.4878163836123209,200,7.59,3.9560271426987015,200,0.39545206217297624,0.33594449451956815,200,0.6170737149892274,0.48518887154300255,200,0.2707744530353965,0.3430862713099514,200,0.39623421760381666,0.30155619583393584,200,0.39623421760381666,0.30155619583393584,200,0.39623421760381666,0.30155619583393584,200,0.3829262850107726,0.4851888715430026,200,0.3829262850107726,0.4851888715430026,200,0.3829262850107726,0.4851888715430026,200,0.06760790147392938,0.5482773893554175,0.04655953151470642,0.06724374687996394,0.04754933127915375,0.04179355647266693,0.04179355647266693,0.04179355647266693,0.06724374687996394,0.06724374687996394,0.06724374687996394,0.545,0.685,7.04,8.145,0.35065270083102495,0.43991744575253927,0.5474507540781779,0.6817236072637735,0.2250592856398101,0.3200061717691049,0.3553911126717458,0.4369458859237851,0.35498535721967295,0.43513059078967525,0.3514823089638686,0.4370245379973703,0.3182763927362266,0.4525492459218222,0.31815206602031415,0.4477005040012305,0.3182763927362266,0.4525492459218221
A,12,seller,ConcederTBNegotiator,0.745,0.4369549727846178,200,4.6,3.1749648832782773,200,0.18793821175746384,0.17590907400569814,200,0.7463734995383194,0.43460141414388803,200,0.17934411824422367,0.3073149188489646,200,0.44130443747327497,0.244424310101161,200,0.44130443747327497,0.244424310101161,200,0.44130443747327497,0.244424310101161,200,0.2536265004616806,0.434601414143888,200,0.2536265004616806,0.434601414143888,200,0.2536265004616806,0.434601414143888,200,0.060558869568520565,0.4400276830030641,0.024379753823928374,0.06023268298266364,0.0425916747632677,0.033875481083237395,0.033875481083237395,0.033875481083237395,0.06023268298266364,0.06023268298266364,0.06023268298266364,0.685,0.805,4.14,5.035125,0.16370752539242847,0.2125289704524469,0.686696675900277,0.8060503231763618,0.13362895084863727,0.221542734301688,0.40666586803981236,0.4739804629051613,0.40655821765073774,0.47307721087175997,0.40720360390551574,0.4752681575989926,0.1939496768236381,0.31330332409972306,0.19394967682363812,0.31330332409972306,0.19394967682363812,0.31330332409972306
A,12,seller,GeniusBOABaselineNegotiator,0.615,0.4878163836123209,200,7.59,3.9560271426987015,200,0.39545206217297624,0.33594449451956815,200,0.6170737149892274,0.48518887154300255,200,0.2707744530353965,0.3430862713099514,200,0.3962342176038166,0.30155619583393584,200,0.3962342176038166,0.30155619583393584,200,0.3962342176038166,0.30155619583393584,200,0.3829262850107726,0.4851888715430026,200,0.3829262850107726,0.4851888715430026,200,0.3829262850107726,0.4851888715430026,200,0.06760790147392938,0.5482773893554175,0.04655953151470642,0.06724374687996394,0.04754933127915375,0.04179355647266693,0.04179355647266693,0.04179355647266693,0.06724374687996394,0.06724374687996394,0.06724374687996394,0.545,0.68,7.03,8.13025,0.3512988419513696,0.4399845529393659,0.5524238227146815,0.6817236072637735,0.2250592856398101,0.3200061717691049,0.35047418076759695,0.43914156035256613,0.35457113781962046,0.4374452398325189,0.35625744624320604,0.43955899153527667,0.31330332409972306,0.4475761772853186,0.3182763927362266,0.4525492459218221,0.31827639273622654,0.4475761772853186
A,12,seller,LinearTBNegotiator,0.68,0.4676467334823193,200,6.29,3.601493269304307,200,0.31132963988919665,0.25462579059243967,200,0.6817236072637733,0.46512786064885026,200,0.22505928563981012,0.3289007492791294,200,0.3796303469307641,0.23674031454822198,200,0.3796303469307641,0.23674031454822198,200,0.3796303469307641,0.23674031454822198,200,0.31827639273622665,0.4651278606488502,200,0.31827639273622665,0.4651278606488502,200,0.31827639273622665,0.4651278606488502,200,0.06481253058323687,0.4991415013720657,0.03528933414580838,0.06446343261918433,0.04558331822991134,0.032810533632267665,0.032810533632267665,0.032810533632267665,0.06446343261918432,0.06446343261918432,0.06446343261918432,0.615,0.745,5.7798750000000005,6.79,0.2760098107109879,0.34593396044936897,0.6170737149892274,0.7513465681748228,0.1793441182442237,0.2707744530353965,0.3470284008886336,0.4130641128625641,0.3484291021280694,0.41229144950938146,0.345776634598977,0.4125592693712022,0.2536265004616806,0.3878993536472761,0.2536265004616806,0.3829262850107726,0.26357263773468764,0.3829262850107726
A,12,seller,SmartAspirationNegotiator,0.615,0.4878163836123209,200,7.59,3.9560271426987015,200,0.39615381655894116,0.33622451466112324,200,0.6170737149892274,0.48518887154300255,200,0.2707744530353965,0.3430862713099514,200,0.397226648173903,0.30039218572805854,200,0.397226648173903,0.30039218572805854,200,0.397226648173903,0.30039218572805854,200,0.3829262850107726,0.4851888715430026,200,0.3829262850107726,0.4851888715430026,200,0.3829262850107726,0.4851888715430026,200,0.06760790147392938,0.5482773893554175,0.04659834032633506,0.06724374687996394,0.04754933127915375,0.04163223290257676,0.04163223290257676,0.04163223290257676,0.06724374687996394,0.06724374687996394,0.06724374687996394,0.545,0.68,7.024875000000001,8.130125,0.34957009849184373,0.44522330909510616,0.5524238227146815,0.6818479339796854,0.22154273430168803,0.3164896204309829,0.35710645583246414,0.4379714987093812,0.3554040696986689,0.44153933660753425,0.3545351914750418,0.43774279464807064,0.3182763927362266,0.4525492459218221,0.31330332409972306,0.4525492459218221,0.3182763927362266,0.44757617728531857
