run_id,seed,profile_id,n_steps,strategy_buyer,strategy_seller,agreement,agreement_outcome,rounds,u_buyer,u_seller,welfare,frontier_optimal_welfare,pareto_distance,nash_distance,kalai_distance,ks_distance,money_left_on_table,welfare_regret,nash_gap
20,20,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
21,21,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0,,3,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
22,22,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0,,1,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
23,23,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0,,5,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
24,24,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
25,25,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
26,26,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
27,27,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0,,10,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
28,28,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
29,29,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0,,0,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
30,30,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
31,31,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
32,32,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
33,33,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0,,4,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
34,34,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
35,35,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0,,1,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
36,36,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,1,"[7, 5, 2, ""standard""]",11,0.4970760233918128,0.5029239766081871,0.9999999999999999,1.0,1.5700924586837752e-16,0.008270254750719934,0.008270254750719934,0.008270254750719934,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
37,37,A,12,BoulwareTBNegotiator,BoulwareTBNegotiator,0,,2,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
